﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1638000178PV-5000W-V 10D1638000178胡聰明#1,10D1636000153PV-5000W-V 10D1636000153胡聰明#2
2017-11-10,00:00:00,0,0
2017-11-10,00:20:00,0,0
2017-11-10,00:40:00,0,0
2017-11-10,01:00:00,0,0
2017-11-10,01:20:00,0,0
2017-11-10,01:40:00,0,0
2017-11-10,02:00:00,0,0
2017-11-10,02:20:00,0,0
2017-11-10,02:40:00,0,0
2017-11-10,03:00:00,0,0
2017-11-10,03:20:00,0,0
2017-11-10,03:40:00,0,0
2017-11-10,04:00:00,0,0
2017-11-10,04:20:00,0,0
2017-11-10,04:40:00,0,0
2017-11-10,05:00:00,0,0
2017-11-10,05:20:00,0,0
2017-11-10,05:40:00,0,0
2017-11-10,06:00:00,0,0
2017-11-10,06:20:00,0.01935,0.01915
2017-11-10,06:40:00,0.15635,0.16785
2017-11-10,07:00:00,0.38345,0.4036
2017-11-10,07:20:00,0.6204,0.6423
2017-11-10,07:40:00,0.56275,0.5736
2017-11-10,08:00:00,0.7109,0.7228
2017-11-10,08:20:00,1.16625,1.18325
2017-11-10,08:40:00,0.94175,0.9569
2017-11-10,09:00:00,1.05185,1.0687
2017-11-10,09:20:00,1.15815,1.1704
2017-11-10,09:40:00,1.1051,1.11805
2017-11-10,10:00:00,1.58195,1.6103
2017-11-10,10:20:00,2.1542,2.19595
2017-11-10,10:40:00,2.08205,2.1084
2017-11-10,11:00:00,1.99825,2.02245
2017-11-10,11:20:00,1.28695,1.30345
2017-11-10,11:40:00,1.20005,1.2159
2017-11-10,12:00:00,1.3385,1.3578
2017-11-10,12:20:00,0.9581,0.97255
2017-11-10,12:40:00,1.5804,1.60975
2017-11-10,13:00:00,1.99765,2.0421
2017-11-10,13:20:00,1.29245,1.31415
2017-11-10,13:40:00,0.9048,0.9184
2017-11-10,14:00:00,1.17985,1.19255
2017-11-10,14:20:00,0.92355,0.9314
2017-11-10,14:40:00,0.54885,0.5557
2017-11-10,15:00:00,0.4735,0.48025
2017-11-10,15:20:00,0.3077,0.31335
2017-11-10,15:40:00,0.3776,0.3855
2017-11-10,16:00:00,0.3194,0.3262
2017-11-10,16:20:00,0.2205,0.22745
2017-11-10,16:40:00,0.10945,0.11565
2017-11-10,17:00:00,0.01035,0.0105
2017-11-10,17:20:00,0,0
2017-11-10,17:40:00,0,0
2017-11-10,18:00:00,0,0
2017-11-10,18:20:00,0,0
2017-11-10,18:40:00,0,0
2017-11-10,19:00:00,0,0
2017-11-10,19:20:00,0,0
2017-11-10,19:40:00,0,0
2017-11-10,20:00:00,0,0
2017-11-10,20:20:00,0,0
2017-11-10,20:40:00,0,0
2017-11-10,21:00:00,0,0
2017-11-10,21:20:00,0,0
2017-11-10,21:40:00,0,0
2017-11-10,22:00:00,0,0
2017-11-10,22:20:00,0,0
2017-11-10,22:40:00,0,0
2017-11-10,23:00:00,0,0
2017-11-10,23:20:00,0,0
2017-11-10,23:40:00,0,0
