﻿﻿﻿﻿﻿﻿﻿inDate,inTime,6151434000113PV-15000T-U 6151434000113 仁德懷恩,6151434000114PV-15000T-U 6151434000114 仁德懷恩
2017-11-27,00:00:00,0,0
2017-11-27,00:20:00,0,0
2017-11-27,00:40:00,0,0
2017-11-27,01:00:00,0,0
2017-11-27,01:20:00,0,0
2017-11-27,01:40:00,0,0
2017-11-27,02:00:00,0,0
2017-11-27,02:20:00,0,0
2017-11-27,02:40:00,0,0
2017-11-27,03:00:00,0,0
2017-11-27,03:20:00,0,0
2017-11-27,03:40:00,0,0
2017-11-27,04:00:00,0,0
2017-11-27,04:20:00,0,0
2017-11-27,04:40:00,0,0
2017-11-27,05:00:00,0,0
2017-11-27,05:20:00,0,0
2017-11-27,05:40:00,0,0
2017-11-27,06:00:00,0,0
2017-11-27,06:20:00,0,0
2017-11-27,06:40:00,0.1315,0.12515
2017-11-27,07:00:00,0.7999,0.791
2017-11-27,07:20:00,1.245,1.2111
2017-11-27,07:40:00,2.32045,2.2432
2017-11-27,08:00:00,4.37695,4.3419
2017-11-27,08:20:00,3.7905,3.8499
2017-11-27,08:40:00,2.89385,2.94045
2017-11-27,09:00:00,3.708,3.6233
2017-11-27,09:20:00,4.81745,4.91345
2017-11-27,09:40:00,5.72195,5.70515
2017-11-27,10:00:00,5.7468,5.7182
2017-11-27,10:20:00,7.31035,7.2331
2017-11-27,10:40:00,8.9384,8.85965
2017-11-27,11:00:00,7.8531,7.7777
2017-11-27,11:20:00,8.87735,8.787
2017-11-27,11:40:00,8.8785,8.7655
2017-11-27,12:00:00,8.42215,8.29045
2017-11-27,12:20:00,7.62285,7.50855
2017-11-27,12:40:00,6.38565,6.38295
2017-11-27,13:00:00,6.2006,6.1919
2017-11-27,13:20:00,4.795,4.81115
2017-11-27,13:40:00,6.0034,5.93825
2017-11-27,14:00:00,5.2885,5.2456
2017-11-27,14:20:00,6.0386,6.0183
2017-11-27,14:40:00,4.2889,4.295
2017-11-27,15:00:00,3.6962,3.7985
2017-11-27,15:20:00,2.6292,3.0641
2017-11-27,15:40:00,1.7035,1.95105
2017-11-27,16:00:00,1.04725,1.2401
2017-11-27,16:20:00,0.53745,0.6457
2017-11-27,16:40:00,0.15015,0.18175
2017-11-27,17:00:00,0.00045,0.00085
2017-11-27,17:20:00,0,0
2017-11-27,17:40:00,0,0
2017-11-27,18:00:00,0,0
2017-11-27,18:20:00,0,0
2017-11-27,18:40:00,0,0
2017-11-27,19:00:00,0,0
2017-11-27,19:20:00,0,0
2017-11-27,19:40:00,0,0
2017-11-27,20:00:00,0,0
2017-11-27,20:20:00,0,0
2017-11-27,20:40:00,0,0
2017-11-27,21:00:00,0,0
2017-11-27,21:20:00,0,0
2017-11-27,21:40:00,0,0
2017-11-27,22:00:00,0,0
2017-11-27,22:20:00,0,0
2017-11-27,22:40:00,0,0
2017-11-27,23:00:00,0,0
2017-11-27,23:20:00,0,0
2017-11-27,23:40:00,0,0
