0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0058,0.0057,0.0042,0.00525,0.0048,0.00555,0,0,0,0,0.0053,0.00535,0.00495,0.0051,0.00305
0,0,0,0,0,0,0.3488,0.35885,0.32845,0.3399,0.34025,0.35775,0,0,0,0,0.34395,0.3506,0.33075,0.3728,0.3358
0.22215,0.2177,0.20405,0.2062,0.21915,0.22345,0.6967,0.70905,0.6648,0.67235,0.6783,0.724,0.21525,0.2324,0.23335,0.21935,0.68945,0.7001,0.6802,0.73965,0.68095
1.27025,1.24275,1.16735,1.1802,1.26315,1.27955,1.26235,1.26855,1.2143,1.2218,1.23945,1.3067,1.23545,1.3221,1.32845,1.2511,1.24755,1.26495,1.23975,1.33135,1.24445
2.0502,2.00015,1.8847,1.92765,2.0543,2.05185,2.04125,2.04845,1.9721,1.981,1.999,2.09245,2.0135,2.14,2.14955,2.04395,2.03235,2.0624,2.02185,2.14905,1.9944
2.6494,2.5395,2.40645,2.4503,2.7452,2.6612,2.66285,2.68265,2.608,2.62415,2.6627,2.78455,2.6711,2.83275,2.8481,2.70785,2.714,2.7452,2.6878,2.83825,2.67065
3.40915,3.25615,3.12805,3.18125,3.53845,3.43585,3.41295,3.4481,3.3518,3.3977,3.44075,3.5847,3.39225,3.5624,3.58355,3.4248,3.4328,3.48095,3.4234,3.6057,3.44085
