﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1638000178PV-5000W-V 10D1638000178胡聰明#1,10D1636000153PV-5000W-V 10D1636000153胡聰明#2
2018-02-13,00:00:00,0,0
2018-02-13,00:20:00,0,0
2018-02-13,00:40:00,0,0
2018-02-13,01:00:00,0,0
2018-02-13,01:20:00,0,0
2018-02-13,01:40:00,0,0
2018-02-13,02:00:00,0,0
2018-02-13,02:20:00,0,0
2018-02-13,02:40:00,0,0
2018-02-13,03:00:00,0,0
2018-02-13,03:20:00,0,0
2018-02-13,03:40:00,0,0
2018-02-13,04:00:00,0,0
2018-02-13,04:20:00,0,0
2018-02-13,04:40:00,0,0
2018-02-13,05:00:00,0,0
2018-02-13,05:20:00,0,0
2018-02-13,05:40:00,0,0
2018-02-13,06:00:00,0,0
2018-02-13,06:20:00,0.0005,0.00105
2018-02-13,06:40:00,0.06065,0.065
2018-02-13,07:00:00,0.2405,0.2544
2018-02-13,07:20:00,0.44805,0.4741
2018-02-13,07:40:00,0.77005,0.81075
2018-02-13,08:00:00,1.1349,1.17995
2018-02-13,08:20:00,1.5059,1.55265
2018-02-13,08:40:00,1.86355,1.8908
2018-02-13,09:00:00,2.16615,2.1982
2018-02-13,09:20:00,2.45285,2.4893
2018-02-13,09:40:00,2.66035,2.7019
2018-02-13,10:00:00,2.8493,2.8895
2018-02-13,10:20:00,3.00825,3.06375
2018-02-13,10:40:00,3.13525,3.19295
2018-02-13,11:00:00,3.19025,3.26175
2018-02-13,11:20:00,3.2693,3.31595
2018-02-13,11:40:00,3.2889,3.31705
2018-02-13,12:00:00,3.3166,3.3757
2018-02-13,12:20:00,3.2339,3.2946
2018-02-13,12:40:00,3.17005,3.21545
2018-02-13,13:00:00,3.11425,3.15405
2018-02-13,13:20:00,2.92585,2.94705
2018-02-13,13:40:00,2.7799,2.80405
2018-02-13,14:00:00,2.62095,2.648
2018-02-13,14:20:00,2.41855,2.4427
2018-02-13,14:40:00,2.17045,2.18885
2018-02-13,15:00:00,1.8769,1.89365
2018-02-13,15:20:00,1.5787,1.5955
2018-02-13,15:40:00,1.258,1.27215
2018-02-13,16:00:00,0.9164,0.8503
2018-02-13,16:20:00,0.51065,0.4843
2018-02-13,16:40:00,0.31755,0.32145
2018-02-13,17:00:00,0.2032,0.2111
2018-02-13,17:20:00,0.0861,0.0929
2018-02-13,17:40:00,0.00955,0.0087
2018-02-13,18:00:00,0,0
2018-02-13,18:20:00,0,0
2018-02-13,18:40:00,0,0
2018-02-13,19:00:00,0,0
2018-02-13,19:20:00,0,0
2018-02-13,19:40:00,0,0
2018-02-13,20:00:00,0,0
2018-02-13,20:20:00,0,0
2018-02-13,20:40:00,0,0
2018-02-13,21:00:00,0,0
2018-02-13,21:20:00,0,0
2018-02-13,21:40:00,0,0
2018-02-13,22:00:00,0,0
2018-02-13,22:20:00,0,0
2018-02-13,22:40:00,0,0
2018-02-13,23:00:00,0,0
2018-02-13,23:20:00,0,0
2018-02-13,23:40:00,0,0
