﻿﻿﻿﻿﻿﻿﻿inDate,inTime,61C164300023061C1643000230建泰二期,61C1643000218U 61C1643000218建泰二期,61C1643000224U 61C1643000224建泰二期,61C1643000225U 61C1643000225建泰二期,61C1643000226U 61C1643000226建泰二期,61C1643000227U 61C1643000227建泰二期,61C1643000229U 61C1643000229建泰二期
2018-02-20,00:00:00,0,0,0,0,0,0,0
2018-02-20,00:20:00,0,0,0,0,0,0,0
2018-02-20,00:40:00,0,0,0,0,0,0,0
2018-02-20,01:00:00,0,0,0,0,0,0,0
2018-02-20,01:20:00,0,0,0,0,0,0,0
2018-02-20,01:40:00,0,0,0,0,0,0,0
2018-02-20,02:00:00,0,0,0,0,0,0,0
2018-02-20,02:20:00,0,0,0,0,0,0,0
2018-02-20,02:40:00,0,0,0,0,0,0,0
2018-02-20,03:00:00,0,0,0,0,0,0,0
2018-02-20,03:20:00,0,0,0,0,0,0,0
2018-02-20,03:40:00,0,0,0,0,0,0,0
2018-02-20,04:00:00,0,0,0,0,0,0,0
2018-02-20,04:20:00,0,0,0,0,0,0,0
2018-02-20,04:40:00,0,0,0,0,0,0,0
2018-02-20,05:00:00,0,0,0,0,0,0,0
2018-02-20,05:20:00,0,0,0,0,0,0,0
2018-02-20,05:40:00,0,0,0,0,0,0,0
2018-02-20,06:00:00,0,0,0,0,0,0,0
2018-02-20,06:20:00,0.01535,0,0,0.01665,0.01635,0.01545,0.01565
2018-02-20,06:40:00,0.22195,0.19765,0.20125,0.22935,0.22345,0.2207,0.2266
2018-02-20,07:00:00,0.50155,0.4907,0.4856,0.5115,0.50465,0.48795,0.5097
2018-02-20,07:20:00,0.91455,0.88095,0.885,0.9354,0.92815,0.9023,0.9205
2018-02-20,07:40:00,1.7817,1.6923,1.6929,1.78885,1.78165,1.73645,1.76345
2018-02-20,08:00:00,2.83575,2.57805,2.7033,2.79795,2.79575,2.63715,2.7696
2018-02-20,08:20:00,3.749,3.55815,3.56795,3.6372,3.6486,3.62675,3.6146
2018-02-20,08:40:00,4.5292,4.30065,4.3172,4.38335,4.39805,4.37975,4.35845
2018-02-20,09:00:00,5.03685,4.77965,4.83125,4.8871,4.91455,4.89825,4.8772
2018-02-20,09:20:00,5.33375,5.0739,5.1255,5.2144,5.23105,5.19965,5.1798
2018-02-20,09:40:00,6.14035,5.86405,5.94185,6.0306,6.0408,6.0178,6.01925
2018-02-20,10:00:00,6.34945,5.71965,5.9878,6.08375,6.0735,6.0865,6.10345
2018-02-20,10:20:00,7.1115,6.4298,6.85925,6.9112,6.9436,6.94975,6.91645
2018-02-20,10:40:00,7.29635,6.9666,7.03705,7.0314,7.09455,7.09815,7.0487
2018-02-20,11:00:00,6.9884,6.70645,6.58895,6.70835,6.6862,6.73715,6.81465
2018-02-20,11:20:00,6.3862,6.0332,5.8642,5.9668,6.01155,6.01835,6.1129
2018-02-20,11:40:00,6.2831,6.0177,6.02815,6.1225,6.1563,5.8053,6.1969
2018-02-20,12:00:00,5.2038,4.9575,4.9661,5.0777,5.1079,5.0661,5.1087
2018-02-20,12:20:00,6.6002,6.2875,6.3105,5.94335,5.9958,6.42405,6.4335
2018-02-20,12:40:00,6.7821,6.46535,6.3827,6.50285,6.5037,6.51995,6.58355
2018-02-20,13:00:00,7.0139,6.6677,6.5997,6.7081,6.7108,6.701,6.73125
2018-02-20,13:20:00,7.639,7.28745,7.3657,7.37555,7.40195,7.42805,7.3925
2018-02-20,13:40:00,7.38335,7.04845,7.07015,7.09215,7.11615,7.14565,7.13115
2018-02-20,14:00:00,7.0897,6.7347,6.77345,6.78635,6.82345,6.8421,6.535
2018-02-20,14:20:00,6.533,5.9308,6.005,6.1361,6.1363,6.1437,6.24505
2018-02-20,14:40:00,5.84765,5.56085,5.64795,5.6973,5.7208,5.7015,5.70695
2018-02-20,15:00:00,4.1084,3.9354,3.93335,3.7885,4.02455,3.99735,4.0652
2018-02-20,15:20:00,3.45075,2.99165,2.9883,3.26245,3.24335,3.04315,3.27015
2018-02-20,15:40:00,2.5384,2.40235,2.39325,2.4838,2.4752,2.4361,2.4892
2018-02-20,16:00:00,1.8999,1.69445,1.7076,1.81095,1.7616,1.7287,1.7708
2018-02-20,16:20:00,1.10005,1.06,1.0614,1.0905,1.09075,1.0714,1.09425
2018-02-20,16:40:00,0.7398,0.7185,0.7176,0.73925,0.73735,0.7249,0.74095
2018-02-20,17:00:00,0.6668,0.628,0.6504,0.6671,0.66615,0.65465,0.6689
2018-02-20,17:20:00,0.32475,0.2997,0.29325,0.292,0.2908,0.2943,0.32315
2018-02-20,17:40:00,0.10825,0.115,0.06885,0.06665,0.06985,0.0763,0.08785
2018-02-20,18:00:00,0,0,0,0,0,0,0
2018-02-20,18:20:00,0,0,0,0,0,0,0
2018-02-20,18:40:00,0,0,0,0,0,0,0
2018-02-20,19:00:00,0,0,0,0,0,0,0
2018-02-20,19:20:00,0,0,0,0,0,0,0
2018-02-20,19:40:00,0,0,0,0,0,0,0
2018-02-20,20:00:00,0,0,0,0,0,0,0
2018-02-20,20:20:00,0,0,0,0,0,0,0
2018-02-20,20:40:00,0,0,0,0,0,0,0
2018-02-20,21:00:00,0,0,0,0,0,0,0
2018-02-20,21:20:00,0,0,0,0,0,0,0
2018-02-20,21:40:00,0,0,0,0,0,0,0
2018-02-20,22:00:00,0,0,0,0,0,0,0
2018-02-20,22:20:00,0,0,0,0,0,0,0
2018-02-20,22:40:00,0,0,0,0,0,0,0
2018-02-20,23:00:00,0,0,0,0,0,0,0
2018-02-20,23:20:00,0,0,0,0,0,0,0
2018-02-20,23:40:00,0,0,0,0,0,0,0
