﻿﻿﻿﻿﻿﻿﻿inDate,inTime,6151434000113PV-15000T-U 6151434000113 仁德懷恩,6151434000114PV-15000T-U 6151434000114 仁德懷恩
2017-12-31,00:00:00,0,0
2017-12-31,00:20:00,0,0
2017-12-31,00:40:00,0,0
2017-12-31,01:00:00,0,0
2017-12-31,01:20:00,0,0
2017-12-31,01:40:00,0,0
2017-12-31,02:00:00,0,0
2017-12-31,02:20:00,0,0
2017-12-31,02:40:00,0,0
2017-12-31,03:00:00,0,0
2017-12-31,03:20:00,0,0
2017-12-31,03:40:00,0,0
2017-12-31,04:00:00,0,0
2017-12-31,04:20:00,0,0
2017-12-31,04:40:00,0,0
2017-12-31,05:00:00,0,0
2017-12-31,05:20:00,0,0
2017-12-31,05:40:00,0,0
2017-12-31,06:00:00,0,0
2017-12-31,06:20:00,0,0
2017-12-31,06:40:00,0.00465,0.0038
2017-12-31,07:00:00,0.22825,0.2246
2017-12-31,07:20:00,0.8537,0.84955
2017-12-31,07:40:00,1.18415,1.20495
2017-12-31,08:00:00,1.8782,1.8743
2017-12-31,08:20:00,2.6425,2.6276
2017-12-31,08:40:00,3.52025,3.50705
2017-12-31,09:00:00,4.35685,4.3527
2017-12-31,09:20:00,4.91025,4.89615
2017-12-31,09:40:00,5.5604,5.54005
2017-12-31,10:00:00,5.84165,5.82745
2017-12-31,10:20:00,6.5143,6.5001
2017-12-31,10:40:00,7.05995,7.0588
2017-12-31,11:00:00,7.0929,7.04315
2017-12-31,11:20:00,7.42145,7.41745
2017-12-31,11:40:00,7.68985,7.74295
2017-12-31,12:00:00,7.19745,7.24455
2017-12-31,12:20:00,7.27985,7.286
2017-12-31,12:40:00,6.9138,6.9328
2017-12-31,13:00:00,6.57595,6.58385
2017-12-31,13:20:00,4.72625,4.80795
2017-12-31,13:40:00,3.20685,3.31205
2017-12-31,14:00:00,2.3944,2.48785
2017-12-31,14:20:00,1.98225,2.06165
2017-12-31,14:40:00,1.62435,1.6972
2017-12-31,15:00:00,1.219,1.2718
2017-12-31,15:20:00,1.0189,1.05525
2017-12-31,15:40:00,0.9471,0.9893
2017-12-31,16:00:00,0.73545,0.7684
2017-12-31,16:20:00,0.4336,0.45765
2017-12-31,16:40:00,0.12115,0.1323
2017-12-31,17:00:00,0.00455,0.00545
2017-12-31,17:20:00,0,0
2017-12-31,17:40:00,0,0
2017-12-31,18:00:00,0,0
2017-12-31,18:20:00,0,0
2017-12-31,18:40:00,0,0
2017-12-31,19:00:00,0,0
2017-12-31,19:20:00,0,0
2017-12-31,19:40:00,0,0
2017-12-31,20:00:00,0,0
2017-12-31,20:20:00,0,0
2017-12-31,20:40:00,0,0
2017-12-31,21:00:00,0,0
2017-12-31,21:20:00,0,0
2017-12-31,21:40:00,0,0
2017-12-31,22:00:00,0,0
2017-12-31,22:20:00,0,0
2017-12-31,22:40:00,0,0
2017-12-31,23:00:00,0,0
2017-12-31,23:20:00,0,0
2017-12-31,23:40:00,0,0
