﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1636000154PV-5000W-V 10D1636000154顏阿甚#1,10D1636000147PV-5000W-V 10D1636000147-六甲顏阿甚-2
2017-12-16,00:00:00,0,0
2017-12-16,00:20:00,0,0
2017-12-16,00:40:00,0,0
2017-12-16,01:00:00,0,0
2017-12-16,01:20:00,0,0
2017-12-16,01:40:00,0,0
2017-12-16,02:00:00,0,0
2017-12-16,02:20:00,0,0
2017-12-16,02:40:00,0,0
2017-12-16,03:00:00,0,0
2017-12-16,03:20:00,0,0
2017-12-16,03:40:00,0,0
2017-12-16,04:00:00,0,0
2017-12-16,04:20:00,0,0
2017-12-16,04:40:00,0,0
2017-12-16,05:00:00,0,0
2017-12-16,05:20:00,0,0
2017-12-16,05:40:00,0,0
2017-12-16,06:00:00,0,0
2017-12-16,06:20:00,0,0
2017-12-16,06:40:00,0.02215,0.0299
2017-12-16,07:00:00,0.11895,0.128
2017-12-16,07:20:00,0.1916,0.19785
2017-12-16,07:40:00,0.24525,0.24965
2017-12-16,08:00:00,0.1774,0.18425
2017-12-16,08:20:00,0.2095,0.21545
2017-12-16,08:40:00,0.33775,0.3388
2017-12-16,09:00:00,0.76115,0.7529
2017-12-16,09:20:00,0.92035,0.9072
2017-12-16,09:40:00,1.2107,1.1907
2017-12-16,10:00:00,1.00815,0.9923
2017-12-16,10:20:00,0.8048,0.7923
2017-12-16,10:40:00,0.58465,0.5807
2017-12-16,11:00:00,0.6247,0.61775
2017-12-16,11:20:00,0.792,0.7828
2017-12-16,11:40:00,0.861,0.8499
2017-12-16,12:00:00,0.6294,0.62265
2017-12-16,12:20:00,0.76465,0.7578
2017-12-16,12:40:00,1.00965,0.9928
2017-12-16,13:00:00,0.7408,0.73055
2017-12-16,13:20:00,0.73635,0.7293
2017-12-16,13:40:00,2.6083,2.5493
2017-12-16,14:00:00,2.0782,2.0271
2017-12-16,14:20:00,1.1194,1.09215
2017-12-16,14:40:00,0.3773,0.378
2017-12-16,15:00:00,0.2733,0.2777
2017-12-16,15:20:00,0.2593,0.2633
2017-12-16,15:40:00,0.2144,0.22015
2017-12-16,16:00:00,0.17765,0.1842
2017-12-16,16:20:00,0.15705,0.164
2017-12-16,16:40:00,0.0297,0.0448
2017-12-16,17:00:00,0.00165,0.0043
2017-12-16,17:20:00,0,0
2017-12-16,17:40:00,0,0
2017-12-16,18:00:00,0,0
2017-12-16,18:20:00,0,0
2017-12-16,18:40:00,0,0
2017-12-16,19:00:00,0,0
2017-12-16,19:20:00,0,0
2017-12-16,19:40:00,0,0
2017-12-16,20:00:00,0,0
2017-12-16,20:20:00,0,0
2017-12-16,20:40:00,0,0
2017-12-16,21:00:00,0,0
2017-12-16,21:20:00,0,0
2017-12-16,21:40:00,0,0
2017-12-16,22:00:00,0,0
2017-12-16,22:20:00,0,0
2017-12-16,22:40:00,0,0
2017-12-16,23:00:00,0,0
2017-12-16,23:20:00,0,0
2017-12-16,23:40:00,0,0
