﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1636000154PV-5000W-V 10D1636000154顏阿甚#1,10D1636000147PV-5000W-V 10D1636000147-六甲顏阿甚-2
2017-12-23,00:00:00,0,0
2017-12-23,00:20:00,0,0
2017-12-23,00:40:00,0,0
2017-12-23,01:00:00,0,0
2017-12-23,01:20:00,0,0
2017-12-23,01:40:00,0,0
2017-12-23,02:00:00,0,0
2017-12-23,02:20:00,0,0
2017-12-23,02:40:00,0,0
2017-12-23,03:00:00,0,0
2017-12-23,03:20:00,0,0
2017-12-23,03:40:00,0,0
2017-12-23,04:00:00,0,0
2017-12-23,04:20:00,0,0
2017-12-23,04:40:00,0,0
2017-12-23,05:00:00,0,0
2017-12-23,05:20:00,0,0
2017-12-23,05:40:00,0,0
2017-12-23,06:00:00,0,0
2017-12-23,06:20:00,0,0
2017-12-23,06:40:00,0.0259,0.0203
2017-12-23,07:00:00,0.1677,0.12615
2017-12-23,07:20:00,0.4207,0.36245
2017-12-23,07:40:00,0.76745,0.6763
2017-12-23,08:00:00,1.14715,1.04645
2017-12-23,08:20:00,1.5081,1.3951
2017-12-23,08:40:00,1.8577,1.7465
2017-12-23,09:00:00,2.10665,1.97225
2017-12-23,09:20:00,2.45355,2.32465
2017-12-23,09:40:00,2.6545,2.51465
2017-12-23,10:00:00,2.8676,2.7581
2017-12-23,10:20:00,3.07795,2.94355
2017-12-23,10:40:00,2.4054,3.0588
2017-12-23,11:00:00,2.50305,2.39975
2017-12-23,11:20:00,3.38955,3.2526
2017-12-23,11:40:00,3.51,3.36375
2017-12-23,12:00:00,3.50465,3.36245
2017-12-23,12:20:00,3.5122,3.35785
2017-12-23,12:40:00,3.44075,3.28605
2017-12-23,13:00:00,3.369,3.2211
2017-12-23,13:20:00,3.2065,3.06635
2017-12-23,13:40:00,3.0608,2.92655
2017-12-23,14:00:00,2.91405,2.7853
2017-12-23,14:20:00,2.6763,2.5586
2017-12-23,14:40:00,2.3873,2.28425
2017-12-23,15:00:00,2.02225,1.9412
2017-12-23,15:20:00,1.61105,1.5453
2017-12-23,15:40:00,1.26355,1.2143
2017-12-23,16:00:00,0.8709,0.83985
2017-12-23,16:20:00,0.53935,0.52415
2017-12-23,16:40:00,0.2083,0.21005
2017-12-23,17:00:00,0.0295,0.0393
2017-12-23,17:20:00,0,0
2017-12-23,17:40:00,0,0
2017-12-23,18:00:00,0,0
2017-12-23,18:20:00,0,0
2017-12-23,18:40:00,0,0
2017-12-23,19:00:00,0,0
2017-12-23,19:20:00,0,0
2017-12-23,19:40:00,0,0
2017-12-23,20:00:00,0,0
2017-12-23,20:20:00,0,0
2017-12-23,20:40:00,0,0
2017-12-23,21:00:00,0,0
2017-12-23,21:20:00,0,0
2017-12-23,21:40:00,0,0
2017-12-23,22:00:00,0,0
2017-12-23,22:20:00,0,0
2017-12-23,22:40:00,0,0
2017-12-23,23:00:00,0,0
2017-12-23,23:20:00,0,0
2017-12-23,23:40:00,0,0
