﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1638000173PV-5000W-V 10D1638000173陳慶修#1,1151449000296PV-5000W-V 1151449000296陳慶修#2,10D1638000183PV-5000W-V 10D1638000183陳慶修#3
2018-01-26,00:00:00,0,0,0
2018-01-26,00:20:00,0,0,0
2018-01-26,00:40:00,0,0,0
2018-01-26,01:00:00,0,0,0
2018-01-26,01:20:00,0,0,0
2018-01-26,01:40:00,0,0,0
2018-01-26,02:00:00,0,0,0
2018-01-26,02:20:00,0,0,0
2018-01-26,02:40:00,0,0,0
2018-01-26,03:00:00,0,0,0
2018-01-26,03:20:00,0,0,0
2018-01-26,03:40:00,0,0,0
2018-01-26,04:00:00,0,0,0
2018-01-26,04:20:00,0,0,0
2018-01-26,04:40:00,0,0,0
2018-01-26,05:00:00,0,0,0
2018-01-26,05:20:00,0,0,0
2018-01-26,05:40:00,0,0,0
2018-01-26,06:00:00,0,0,0
2018-01-26,06:20:00,0,0,0
2018-01-26,06:40:00,0,0,0
2018-01-26,07:00:00,0.00135,0.0117,0.0001
2018-01-26,07:20:00,0.01875,0.0481,0.0199
2018-01-26,07:40:00,0.04075,0.0729,0.0385
2018-01-26,08:00:00,0.08695,0.12245,0.07005
2018-01-26,08:20:00,0.35205,0.3973,0.3025
2018-01-26,08:40:00,0.4578,0.4864,0.4709
2018-01-26,09:00:00,0.47065,0.50905,0.4417
2018-01-26,09:20:00,0.60295,0.64395,0.57775
2018-01-26,09:40:00,0.7364,0.7739,0.697
2018-01-26,10:00:00,0.8139,0.84185,0.8143
2018-01-26,10:20:00,1.1053,1.1517,1.0378
2018-01-26,10:40:00,1.72885,1.7887,1.56575
2018-01-26,11:00:00,3.0469,3.069,2.9829
2018-01-26,11:20:00,3.0965,3.129,3.02345
2018-01-26,11:40:00,3.52995,3.58415,3.46965
2018-01-26,12:00:00,3.68455,3.70365,3.61305
2018-01-26,12:20:00,3.70305,3.7211,3.7584
2018-01-26,12:40:00,3.78455,3.7923,3.7084
2018-01-26,13:00:00,3.8234,3.83245,3.8176
2018-01-26,13:20:00,3.6582,3.6659,3.64685
2018-01-26,13:40:00,3.4016,3.40925,3.4186
2018-01-26,14:00:00,3.21,3.16715,3.16025
2018-01-26,14:20:00,2.75315,2.7341,2.70265
2018-01-26,14:40:00,2.62395,2.61575,2.47685
2018-01-26,15:00:00,2.13185,2.1737,1.8123
2018-01-26,15:20:00,2.218,2.202,1.72925
2018-01-26,15:40:00,1.6073,1.60505,1.1672
2018-01-26,16:00:00,1.22055,1.1952,0.88515
2018-01-26,16:20:00,0.8632,0.8884,0.4016
2018-01-26,16:40:00,0.5166,0.5232,0.2384
2018-01-26,17:00:00,0.1419,0.1621,0.0967
2018-01-26,17:20:00,0.0141,0.029,0.0144
2018-01-26,17:40:00,0,0,0
2018-01-26,18:00:00,0,0,0
2018-01-26,18:20:00,0,0,0
2018-01-26,18:40:00,0,0,0
2018-01-26,19:00:00,0,0,0
2018-01-26,19:20:00,0,0,0
2018-01-26,19:40:00,0,0,0
2018-01-26,20:00:00,0,0,0
2018-01-26,20:20:00,0,0,0
2018-01-26,20:40:00,0,0,0
2018-01-26,21:00:00,0,0,0
2018-01-26,21:20:00,0,0,0
2018-01-26,21:40:00,0,0,0
2018-01-26,22:00:00,0,0,0
2018-01-26,22:20:00,0,0,0
2018-01-26,22:40:00,0,0,0
2018-01-26,23:00:00,0,0,0
2018-01-26,23:20:00,0,0,0
2018-01-26,23:40:00,0,0,0
