﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11O1751002187PV-5000W-HV 11O1751002187,1211748000595PV-3000N-V 1211748000595
2018-01-22,00:00:00,0,0
2018-01-22,00:20:00,0,0
2018-01-22,00:40:00,0,0
2018-01-22,01:00:00,0,0
2018-01-22,01:20:00,0,0
2018-01-22,01:40:00,0,0
2018-01-22,02:00:00,0,0
2018-01-22,02:20:00,0,0
2018-01-22,02:40:00,0,0
2018-01-22,03:00:00,0,0
2018-01-22,03:20:00,0,0
2018-01-22,03:40:00,0,0
2018-01-22,04:00:00,0,0
2018-01-22,04:20:00,0,0
2018-01-22,04:40:00,0,0
2018-01-22,05:00:00,0,0
2018-01-22,05:20:00,0,0
2018-01-22,05:40:00,0,0
2018-01-22,06:00:00,0,0
2018-01-22,06:20:00,0,0
2018-01-22,06:40:00,0,0
2018-01-22,07:00:00,0,0
2018-01-22,07:20:00,0,0
2018-01-22,07:40:00,0,0
2018-01-22,08:00:00,0,0
2018-01-22,08:20:00,0,0
2018-01-22,08:40:00,0,0
2018-01-22,09:00:00,0,0
2018-01-22,09:20:00,0,0
2018-01-22,09:40:00,0,0
2018-01-22,10:00:00,0,0
2018-01-22,10:20:00,0,0
2018-01-22,10:40:00,0,0
2018-01-22,11:00:00,0,0
2018-01-22,11:20:00,0,0
2018-01-22,11:40:00,0,0
2018-01-22,12:00:00,0,0
2018-01-22,12:20:00,0,0
2018-01-22,12:40:00,0,0
2018-01-22,13:00:00,0,0
2018-01-22,13:20:00,0,0
2018-01-22,13:40:00,0,0
2018-01-22,14:00:00,0,0
2018-01-22,14:20:00,0,0
2018-01-22,14:40:00,0,0
2018-01-22,15:00:00,0,0
2018-01-22,15:20:00,0,0
2018-01-22,15:40:00,0,0
2018-01-22,16:00:00,0,0
2018-01-22,16:20:00,0,0
2018-01-22,16:40:00,0,0
2018-01-22,17:00:00,0,0
2018-01-22,17:20:00,0,0
2018-01-22,17:40:00,0,0
2018-01-22,18:00:00,0,0
2018-01-22,18:20:00,0,0
2018-01-22,18:40:00,0,0
2018-01-22,19:00:00,0,0
2018-01-22,19:20:00,0,0
2018-01-22,19:40:00,0,0
2018-01-22,20:00:00,0,0
2018-01-22,20:20:00,0,0
2018-01-22,20:40:00,0,0
2018-01-22,21:00:00,0,0
2018-01-22,21:20:00,0,0
2018-01-22,21:40:00,0,0
2018-01-22,22:00:00,0,0
2018-01-22,22:20:00,0,0
2018-01-22,22:40:00,0,0
2018-01-22,23:00:00,0,0
2018-01-22,23:20:00,0,0
2018-01-22,23:40:00,0,0
