﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1638000178PV-5000W-V 10D1638000178胡聰明#1,10D1636000153PV-5000W-V 10D1636000153胡聰明#2
2017-12-12,00:00:00,0,0
2017-12-12,00:20:00,0,0
2017-12-12,00:40:00,0,0
2017-12-12,01:00:00,0,0
2017-12-12,01:20:00,0,0
2017-12-12,01:40:00,0,0
2017-12-12,02:00:00,0,0
2017-12-12,02:20:00,0,0
2017-12-12,02:40:00,0,0
2017-12-12,03:00:00,0,0
2017-12-12,03:20:00,0,0
2017-12-12,03:40:00,0,0
2017-12-12,04:00:00,0,0
2017-12-12,04:20:00,0,0
2017-12-12,04:40:00,0,0
2017-12-12,05:00:00,0,0
2017-12-12,05:20:00,0,0
2017-12-12,05:40:00,0,0
2017-12-12,06:00:00,0,0
2017-12-12,06:20:00,0,0
2017-12-12,06:40:00,0.00075,0.00235
2017-12-12,07:00:00,0.01735,0.0179
2017-12-12,07:20:00,0.0465,0.0494
2017-12-12,07:40:00,0.11605,0.1213
2017-12-12,08:00:00,0.2475,0.2535
2017-12-12,08:20:00,0.24765,0.253
2017-12-12,08:40:00,0.32055,0.326
2017-12-12,09:00:00,0.23245,0.23815
2017-12-12,09:20:00,0.5553,0.5609
2017-12-12,09:40:00,0.98915,0.9966
2017-12-12,10:00:00,0.9268,0.9344
2017-12-12,10:20:00,0.84875,0.85425
2017-12-12,10:40:00,0.82035,0.8259
2017-12-12,11:00:00,0.94205,0.9471
2017-12-12,11:20:00,0.92135,0.9264
2017-12-12,11:40:00,1.0291,1.0361
2017-12-12,12:00:00,1.03125,1.03725
2017-12-12,12:20:00,0.8483,0.85425
2017-12-12,12:40:00,0.77325,0.77845
2017-12-12,13:00:00,0.74865,0.7543
2017-12-12,13:20:00,0.79375,0.79895
2017-12-12,13:40:00,0.74065,0.74745
2017-12-12,14:00:00,0.34565,0.3508
2017-12-12,14:20:00,0.3447,0.35
2017-12-12,14:40:00,0.2616,0.2671
2017-12-12,15:00:00,0.37355,0.3788
2017-12-12,15:20:00,0.23265,0.238
2017-12-12,15:40:00,0.21605,0.2214
2017-12-12,16:00:00,0.08855,0.09405
2017-12-12,16:20:00,0.06735,0.07085
2017-12-12,16:40:00,0.0089,0.01255
2017-12-12,17:00:00,0,0
2017-12-12,17:20:00,0,0
2017-12-12,17:40:00,0,0
2017-12-12,18:00:00,0,0
2017-12-12,18:20:00,0,0
2017-12-12,18:40:00,0,0
2017-12-12,19:00:00,0,0
2017-12-12,19:20:00,0,0
2017-12-12,19:40:00,0,0
2017-12-12,20:00:00,0,0
2017-12-12,20:20:00,0,0
2017-12-12,20:40:00,0,0
2017-12-12,21:00:00,0,0
2017-12-12,21:20:00,0,0
2017-12-12,21:40:00,0,0
2017-12-12,22:00:00,0,0
2017-12-12,22:20:00,0,0
2017-12-12,22:40:00,0,0
2017-12-12,23:00:00,0,0
2017-12-12,23:20:00,0,0
2017-12-12,23:40:00,0,0
