﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11S1644000076PV-3000N-V 11S1644000076嘉美博#1,11S1634000040PV-3000N-V 11S1634000040PV-嘉美博#2,11S1644000068PV-3000N-V 11S1644000068嘉美博#3,11S1644000078PV-3000N-V 11S1644000078嘉美博#4,11H1652000819PV-5000W-HV 11H1652000819嘉美博#5,11H1643000704PV-5000W-HV 11H1643000704嘉美博#6,11H1652000821PV-5000W-HV 11H1652000821嘉美博#7,11I1545000025PV-5000W-HV 11I1545000025嘉美博#8,11H1652000825PV-5000W-HV 11H1652000825嘉美博#9
2018-04-12,00:00:00,0,0,0,0,0,0,0,0,0
2018-04-12,00:20:00,0,0,0,0,0,0,0,0,0
2018-04-12,00:40:00,0,0,0,0,0,0,0,0,0
2018-04-12,01:00:00,0,0,0,0,0,0,0,0,0
2018-04-12,01:20:00,0,0,0,0,0,0,0,0,0
2018-04-12,01:40:00,0,0,0,0,0,0,0,0,0
2018-04-12,02:00:00,0,0,0,0,0,0,0,0,0
2018-04-12,02:20:00,0,0,0,0,0,0,0,0,0
2018-04-12,02:40:00,0,0,0,0,0,0,0,0,0
2018-04-12,03:00:00,0,0,0,0,0,0,0,0,0
2018-04-12,03:20:00,0,0,0,0,0,0,0,0,0
2018-04-12,03:40:00,0,0,0,0,0,0,0,0,0
2018-04-12,04:00:00,0,0,0,0,0,0,0,0,0
2018-04-12,04:20:00,0,0,0,0,0,0,0,0,0
2018-04-12,04:40:00,0,0,0,0,0,0,0,0,0
2018-04-12,05:00:00,0,0,0,0,0,0,0,0,0
2018-04-12,05:20:00,0,0,0,0,0,0,0,0,0
2018-04-12,05:40:00,0,0,0.00015,0.00165,0,0.0017,0.0027,0,0.00655
2018-04-12,06:00:00,0.0217,0,0.05165,0.0514,0.14095,0.0791,0.07135,0.08755,0.11175
2018-04-12,06:20:00,0.0525,0,0.0737,0.0868,0.2273,0.14235,0.12615,0.14855,0.1618
2018-04-12,06:40:00,0.148,0,0.20285,0.18095,0.40415,0.32075,0.27475,0.29915,0.29895
2018-04-12,07:00:00,0.24265,0,0.3408,0.31245,0.6001,0.5368,0.46515,0.4932,0.47155
2018-04-12,07:20:00,0.19115,0,0.23495,0.2519,0.4719,0.4138,0.37305,0.38745,0.3867
2018-04-12,07:40:00,0.56,0,1.0361,0.8057,1.47785,1.37425,1.1684,1.19215,1.1157
2018-04-12,08:00:00,0.8467,0,1.28625,1.2772,1.7999,1.92105,1.8428,1.8967,1.7726
2018-04-12,08:20:00,0.6999,0,0.8464,0.7915,1.20805,1.19995,1.26775,1.1254,1.2308
2018-04-12,08:40:00,0.59325,0,0.6546,0.61365,0.97955,0.9918,0.9834,0.95965,0.9679
2018-04-12,09:00:00,0.5263,0,0.5125,0.56495,0.90875,0.89085,0.89815,0.8235,0.88545
2018-04-12,09:20:00,0.79255,0,1.13815,0.86185,1.49475,1.39955,1.37975,1.2866,1.3418
2018-04-12,09:40:00,1.3305,0,1.58735,1.44095,2.33275,2.2877,2.33155,2.0238,2.25215
2018-04-12,10:00:00,1.48315,0,1.67665,1.56275,2.3967,2.46035,2.5896,2.32435,2.49585
2018-04-12,10:20:00,2.00025,0,2.32975,2.0798,3.51935,3.4868,3.49605,3.03815,3.3641
2018-04-12,10:40:00,2.043,0,2.1367,2.02465,3.3979,3.52825,3.46475,3.3285,3.39205
2018-04-12,11:00:00,2.1943,0,2.3645,2.13305,3.50995,3.52995,3.64795,3.29755,3.5486
2018-04-12,11:20:00,2.0775,0,2.10145,1.9363,3.4682,3.526,3.387,3.2314,3.31965
2018-04-12,11:40:00,2.20345,0,2.1876,2.04075,3.51565,3.56585,3.529,3.5503,3.45635
2018-04-12,12:00:00,2.25695,0,2.0467,2.0086,3.9579,4.0619,3.6285,3.70005,3.4797
2018-04-12,12:20:00,2.0576,0,2.0286,1.799,3.40295,3.39445,3.23125,3.2608,3.1313
2018-04-12,12:40:00,2.3351,0,2.12515,1.9827,3.6417,3.78785,3.6054,3.6084,3.4812
2018-04-12,13:00:00,2.30905,0,1.95455,1.9707,3.842,3.85085,3.68155,3.6645,3.53525
2018-04-12,13:20:00,1.8627,0,1.67335,1.4931,2.9895,2.9536,2.8323,2.70775,2.7001
2018-04-12,13:40:00,2.12715,0,1.8108,1.66735,3.15165,3.1781,3.20295,3.0153,3.04725
2018-04-12,14:00:00,2.216,0,1.72745,1.6386,3.3146,3.25845,3.2642,3.1075,3.12695
2018-04-12,14:20:00,1.9504,0,1.43925,1.3805,3.1002,2.9152,2.80675,2.7969,2.68365
2018-04-12,14:40:00,2.01075,0,1.4739,1.3911,3.1717,3.22475,2.87435,2.87005,2.71625
