﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211727000287震興一期1-PV-3000N-V 1211727000287,1211727000292震興一期2-PV-3000N-V 1211727000292,11O1730000878震興一期3-PV-5000W-HV 11O1730000878,11O1730000868震興一期4-PV-5000W-HV 11O1730000868,1211727000288震興二期1-PV-3000N-V 1211727000288,11O1730000881震興二期2-PV-5000W-HV 11O1730000881,11O1730000879震興二期3-PV-5000W-HV 11O1730000879
2018-03-31,00:00:00,0,0,0,0,0,0,0
2018-03-31,00:20:00,0,0,0,0,0,0,0
2018-03-31,00:40:00,0,0,0,0,0,0,0
2018-03-31,01:00:00,0,0,0,0,0,0,0
2018-03-31,01:20:00,0,0,0,0,0,0,0
2018-03-31,01:40:00,0,0,0,0,0,0,0
2018-03-31,02:00:00,0,0,0,0,0,0,0
2018-03-31,02:20:00,0,0,0,0,0,0,0
2018-03-31,02:40:00,0,0,0,0,0,0,0
2018-03-31,03:00:00,0,0,0,0,0,0,0
2018-03-31,03:20:00,0,0,0,0,0,0,0
2018-03-31,03:40:00,0,0,0,0,0,0,0
2018-03-31,04:00:00,0,0,0,0,0,0,0
2018-03-31,04:20:00,0,0,0,0,0,0,0
2018-03-31,04:40:00,0,0,0,0,0,0,0
2018-03-31,05:00:00,0,0,0,0,0,0,0
2018-03-31,05:20:00,0,0,0,0,0,0,0
2018-03-31,05:40:00,0,0,0,0,0,0.00355,0
2018-03-31,06:00:00,0.00535,0.04535,0.0383,0.0577,0.05275,0.09145,0.0622
2018-03-31,06:20:00,0.0845,0.15215,0.2244,0.2935,0.1322,0.26495,0.30845
2018-03-31,06:40:00,0.22955,0.3377,0.44535,0.6182,0.2545,0.53225,0.62625
2018-03-31,07:00:00,0.31805,0.4425,0.57815,0.8163,0.3286,0.69465,0.84585
2018-03-31,07:20:00,0.36485,0.398,0.6755,0.72475,0.40045,0.725,0.7637
2018-03-31,07:40:00,0.62855,0.68125,1.0926,1.24495,0.61315,1.28725,1.30155
2018-03-31,08:00:00,0.8312,0.8334,1.3568,1.5276,0.7531,1.58475,1.594
2018-03-31,08:20:00,0.9809,0.94355,1.6816,1.73325,0.94015,1.81055,1.81065
2018-03-31,08:40:00,0.9506,0.9376,1.6188,1.7209,0.88725,1.76995,1.79405
2018-03-31,09:00:00,1.48485,1.4042,2.5431,2.56075,1.4495,2.6889,2.65715
2018-03-31,09:20:00,1.68425,1.58175,2.9239,2.9006,1.6754,3.0558,2.989
2018-03-31,09:40:00,2.0821,1.94255,3.61095,3.5652,2.0512,3.7539,3.61665
2018-03-31,10:00:00,2.13535,2.00735,3.68855,3.68175,2.09905,3.85655,3.77695
2018-03-31,10:20:00,2.6104,2.4289,4.52645,4.4905,2.5592,4.6779,4.5328
2018-03-31,10:40:00,2.6792,2.4822,4.69515,4.6038,2.62515,4.81095,4.6503
2018-03-31,11:00:00,2.6735,2.48495,4.6707,4.6113,2.6218,4.83295,4.6718
2018-03-31,11:20:00,2.7709,2.56815,4.8485,4.775,2.7256,5.03355,4.83965
2018-03-31,11:40:00,2.6145,2.39995,4.5537,4.4297,2.5887,4.6796,4.53225
2018-03-31,12:00:00,2.692,2.48975,4.72335,4.62295,2.6516,4.88825,4.6917
2018-03-31,12:20:00,2.6543,2.45535,4.64885,4.56265,2.61765,4.8275,4.63665
2018-03-31,12:40:00,2.65255,2.45855,4.60025,4.5387,2.6189,4.8224,4.6348
2018-03-31,13:00:00,2.5835,2.40015,4.4523,4.4012,2.5508,4.70195,4.52835
2018-03-31,13:20:00,2.50345,2.3245,4.3185,4.2507,2.47855,4.55525,4.37235
2018-03-31,13:40:00,2.3856,2.21625,4.11455,4.04465,2.3602,4.313,4.1594
2018-03-31,14:00:00,2.2778,2.12085,3.93595,3.8625,2.25925,4.1032,3.9588
2018-03-31,14:20:00,2.0628,1.9235,3.5861,3.5059,2.0552,3.68895,3.57395
2018-03-31,14:40:00,1.80995,1.6937,3.1573,3.0914,1.8119,3.2258,3.13155
2018-03-31,15:00:00,1.59535,1.49845,2.80565,2.7487,1.597,2.82605,2.76435
2018-03-31,15:20:00,1.32415,1.24685,2.34325,2.28535,1.34735,2.3945,2.33985
2018-03-31,15:40:00,0.91745,0.88375,1.6666,1.6337,0.94955,1.66935,1.67995
2018-03-31,16:00:00,0.9066,0.87655,1.6481,1.6136,0.93735,1.66835,1.66875
2018-03-31,16:20:00,0.6306,0.62655,1.17135,1.1567,0.67865,1.1991,1.20555
2018-03-31,16:40:00,0.18525,0.22475,0.41635,0.4232,0.24725,0.42325,0.4421
2018-03-31,17:00:00,0.11505,0.1613,0.3018,0.31055,0.18415,0.30685,0.32525
2018-03-31,17:20:00,0.0031,0.04865,0.0955,0.1112,0.0656,0.10075,0.1224
2018-03-31,17:40:00,0,0.01155,0.0355,0.0523,0.02515,0.0384,0.0623
2018-03-31,18:00:00,0,0.00045,0.0105,0.02815,0.00745,0.0151,0.03505
2018-03-31,18:20:00,0,0,0.00445,0.01875,0.00355,0.00745,0.0235
2018-03-31,18:40:00,0,0,0,0,0,0,0
2018-03-31,19:00:00,0,0,0,0,0,0,0
2018-03-31,19:20:00,0,0,0,0,0,0,0
2018-03-31,19:40:00,0,0,0,0,0,0,0
2018-03-31,20:00:00,0,0,0,0,0,0,0
2018-03-31,20:20:00,0,0,0,0,0,0,0
2018-03-31,20:40:00,0,0,0,0,0,0,0
2018-03-31,21:00:00,0,0,0,0,0,0,0
2018-03-31,21:20:00,0,0,0,0,0,0,0
2018-03-31,21:40:00,0,0,0,0,0,0,0
2018-03-31,22:00:00,0,0,0,0,0,0,0
2018-03-31,22:20:00,0,0,0,0,0,0,0
2018-03-31,22:40:00,0,0,0,0,0,0,0
2018-03-31,23:00:00,0,0,0,0,0,0,0
2018-03-31,23:20:00,0,0,0,0,0,0,0
2018-03-31,23:40:00,0,0,0,0,0,0,0
