﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11Z1713000275紀志星1-PV-5000W-V 11Z1713000275,1211724000256紀志星2-PV-3000N-V 1211724000256
2018-03-12,00:00:00,0,0
2018-03-12,00:20:00,0,0
2018-03-12,00:40:00,0,0
2018-03-12,01:00:00,0,0
2018-03-12,01:20:00,0,0
2018-03-12,01:40:00,0,0
2018-03-12,02:00:00,0,0
2018-03-12,02:20:00,0,0
2018-03-12,02:40:00,0,0
2018-03-12,03:00:00,0,0
2018-03-12,03:20:00,0,0
2018-03-12,03:40:00,0,0
2018-03-12,04:00:00,0,0
2018-03-12,04:20:00,0,0
2018-03-12,04:40:00,0,0
2018-03-12,05:00:00,0,0
2018-03-12,05:20:00,0,0
2018-03-12,05:40:00,0,0
2018-03-12,06:00:00,0,0
2018-03-12,06:20:00,0.0695,0.0286
2018-03-12,06:40:00,0.24305,0.11135
2018-03-12,07:00:00,0.50875,0.2282
2018-03-12,07:20:00,0.8121,0.3974
2018-03-12,07:40:00,1.19175,0.59105
2018-03-12,08:00:00,1.60435,0.8098
2018-03-12,08:20:00,2.00685,1.01885
2018-03-12,08:40:00,2.35795,1.1941
2018-03-12,09:00:00,2.7065,1.36955
2018-03-12,09:20:00,2.981,1.5091
2018-03-12,09:40:00,3.241,1.6454
2018-03-12,10:00:00,3.4447,1.7483
2018-03-12,10:20:00,3.8275,1.9159
2018-03-12,10:40:00,4.0348,2.008
2018-03-12,11:00:00,4.0221,2.01165
2018-03-12,11:20:00,4.1716,2.0936
2018-03-12,11:40:00,4.3188,2.15925
2018-03-12,12:00:00,4.4996,2.2531
2018-03-12,12:20:00,4.4159,2.21315
2018-03-12,12:40:00,4.32075,2.1716
2018-03-12,13:00:00,4.1823,2.10695
2018-03-12,13:20:00,4.2864,2.1512
2018-03-12,13:40:00,3.8367,1.92425
2018-03-12,14:00:00,3.86095,1.9399
2018-03-12,14:20:00,3.6539,1.8348
2018-03-12,14:40:00,3.39525,1.70475
2018-03-12,15:00:00,3.10075,1.5552
2018-03-12,15:20:00,2.74395,1.3763
2018-03-12,15:40:00,2.3545,1.18035
2018-03-12,16:00:00,1.95215,0.9789
2018-03-12,16:20:00,1.5483,0.77515
2018-03-12,16:40:00,1.1184,0.55565
2018-03-12,17:00:00,0.68695,0.34235
2018-03-12,17:20:00,0.3391,0.16945
2018-03-12,17:40:00,0.11385,0.0514
2018-03-12,18:00:00,0.0114,0.00265
2018-03-12,18:20:00,0,0
2018-03-12,18:40:00,0,0
2018-03-12,19:00:00,0,0
2018-03-12,19:20:00,0,0
2018-03-12,19:40:00,0,0
2018-03-12,20:00:00,0,0
2018-03-12,20:20:00,0,0
2018-03-12,20:40:00,0,0
2018-03-12,21:00:00,0,0
2018-03-12,21:20:00,0,0
2018-03-12,21:40:00,0,0
2018-03-12,22:00:00,0,0
2018-03-12,22:20:00,0,0
2018-03-12,22:40:00,0,0
2018-03-12,23:00:00,0,0
2018-03-12,23:20:00,0,0
2018-03-12,23:40:00,0,0
