﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11D1507000039PV-3000N-V 11D1507000039 國際街-01,11D1507000044PV-3000N-V 11D1507000044 國際街-02,10N1532000161PV-3000N-V 10N1532000161 國際街-03,11D1507000038PV-3000N-V 11D1507000038 國際街-04
2017-10-28,00:00:00,0,0,0,0
2017-10-28,00:20:00,0,0,0,0
2017-10-28,00:40:00,0,0,0,0
2017-10-28,01:00:00,0,0,0,0
2017-10-28,01:20:00,0,0,0,0
2017-10-28,01:40:00,0,0,0,0
2017-10-28,02:00:00,0,0,0,0
2017-10-28,02:20:00,0,0,0,0
2017-10-28,02:40:00,0,0,0,0
2017-10-28,03:00:00,0,0,0,0
2017-10-28,03:20:00,0,0,0,0
2017-10-28,03:40:00,0,0,0,0
2017-10-28,04:00:00,0,0,0,0
2017-10-28,04:20:00,0,0,0,0
2017-10-28,04:40:00,0,0,0,0
2017-10-28,05:00:00,0,0,0,0
2017-10-28,05:20:00,0,0,0,0
2017-10-28,05:40:00,0,0,0,0
2017-10-28,06:00:00,0,0,0,0
2017-10-28,06:20:00,0.04945,0.0441,0.0446,0.0405
2017-10-28,06:40:00,0.1577,0.1438,0.14795,0.1415
2017-10-28,07:00:00,0.20825,0.19155,0.198,0.19675
2017-10-28,07:20:00,0.21285,0.19655,0.20365,0.2062
2017-10-28,07:40:00,0.26625,0.2482,0.25915,0.2625
2017-10-28,08:00:00,0.3412,0.32085,0.33475,0.3429
2017-10-28,08:20:00,0.4655,0.4391,0.457,0.4648
2017-10-28,08:40:00,0.70685,0.66765,0.6923,0.6959
2017-10-28,09:00:00,1.1776,1.1491,1.1903,1.18055
2017-10-28,09:20:00,1.43895,1.4586,1.49665,1.45535
2017-10-28,09:40:00,1.5549,1.59245,1.637,1.5949
2017-10-28,10:00:00,1.3424,1.3079,1.34935,1.3342
2017-10-28,10:20:00,1.2658,1.2331,1.2732,1.2647
2017-10-28,10:40:00,1.5913,1.56415,1.58615,1.56425
2017-10-28,11:00:00,2.10575,2.1028,2.15625,2.1029
2017-10-28,11:20:00,2.01865,1.99025,2.0362,1.9984
2017-10-28,11:40:00,2.1553,2.0759,2.127,2.0907
2017-10-28,12:00:00,2.11305,2.0275,2.07995,2.04105
2017-10-28,12:20:00,2.1652,2.08585,2.1484,2.10255
2017-10-28,12:40:00,2.1043,2.01975,2.0442,2.04395
2017-10-28,13:00:00,1.838,1.53255,1.0762,1.78645
2017-10-28,13:20:00,1.7785,1.3697,0.6025,1.749
2017-10-28,13:40:00,1.4404,1.1806,0.51385,1.64155
2017-10-28,14:00:00,0.86755,0.49355,0.47935,1.58275
2017-10-28,14:20:00,0.5023,0.4317,0.4028,1.4115
2017-10-28,14:40:00,0.4056,0.35505,0.3498,1.12375
2017-10-28,15:00:00,0.30645,0.2719,0.2625,0.55395
2017-10-28,15:20:00,0.21715,0.19275,0.18615,0.2408
2017-10-28,15:40:00,0.17425,0.1579,0.1424,0.1907
2017-10-28,16:00:00,0.14175,0.12755,0.11955,0.1387
2017-10-28,16:20:00,0.1018,0.08915,0.08275,0.1025
2017-10-28,16:40:00,0.0712,0.0601,0.05545,0.06595
2017-10-28,17:00:00,0.0258,0.018,0.0168,0.0151
2017-10-28,17:20:00,5.0E-5,0,0,5.0E-5
2017-10-28,17:40:00,0,0,0,0
2017-10-28,18:00:00,0,0,0,0
2017-10-28,18:20:00,0,0,0,0
2017-10-28,18:40:00,0,0,0,0
2017-10-28,19:00:00,0,0,0,0
2017-10-28,19:20:00,0,0,0,0
2017-10-28,19:40:00,0,0,0,0
2017-10-28,20:00:00,0,0,0,0
2017-10-28,20:20:00,0,0,0,0
2017-10-28,20:40:00,0,0,0,0
2017-10-28,21:00:00,0,0,0,0
2017-10-28,21:20:00,0,0,0,0
2017-10-28,21:40:00,0,0,0,0
2017-10-28,22:00:00,0,0,0,0
2017-10-28,22:20:00,0,0,0,0
2017-10-28,22:40:00,0,0,0,0
2017-10-28,23:00:00,0,0,0,0
2017-10-28,23:20:00,0,0,0,0
2017-10-28,23:40:00,0,0,0,0
