﻿﻿﻿﻿﻿﻿﻿inDate,inTime,6151434000113PV-15000T-U 6151434000113 仁德懷恩,6151434000114PV-15000T-U 6151434000114 仁德懷恩
2017-12-26,00:00:00,0,0
2017-12-26,00:20:00,0,0
2017-12-26,00:40:00,0,0
2017-12-26,01:00:00,0,0
2017-12-26,01:20:00,0,0
2017-12-26,01:40:00,0,0
2017-12-26,02:00:00,0,0
2017-12-26,02:20:00,0,0
2017-12-26,02:40:00,0,0
2017-12-26,03:00:00,0,0
2017-12-26,03:20:00,0,0
2017-12-26,03:40:00,0,0
2017-12-26,04:00:00,0,0
2017-12-26,04:20:00,0,0
2017-12-26,04:40:00,0,0
2017-12-26,05:00:00,0,0
2017-12-26,05:20:00,0,0
2017-12-26,05:40:00,0,0
2017-12-26,06:00:00,0,0
2017-12-26,06:20:00,0,0
2017-12-26,06:40:00,0,0
2017-12-26,07:00:00,0.0057,0.00575
2017-12-26,07:20:00,0.22145,0.22115
2017-12-26,07:40:00,0.91125,0.92475
2017-12-26,08:00:00,1.3431,1.37155
2017-12-26,08:20:00,1.8328,1.8694
2017-12-26,08:40:00,3.2311,3.2673
2017-12-26,09:00:00,3.74415,3.7845
2017-12-26,09:20:00,3.3093,3.36835
2017-12-26,09:40:00,3.69725,3.7725
2017-12-26,10:00:00,4.11835,4.16625
2017-12-26,10:20:00,4.74105,4.82765
2017-12-26,10:40:00,5.26915,5.33865
2017-12-26,11:00:00,6.30825,6.3652
2017-12-26,11:20:00,6.17095,6.21695
2017-12-26,11:40:00,6.6527,6.70115
2017-12-26,12:00:00,7.41795,7.5363
2017-12-26,12:20:00,6.95635,7.04495
2017-12-26,12:40:00,6.7338,6.8137
2017-12-26,13:00:00,6.4857,6.5845
2017-12-26,13:20:00,6.16385,6.2503
2017-12-26,13:40:00,5.62275,5.6765
2017-12-26,14:00:00,4.9713,5.01295
2017-12-26,14:20:00,4.50165,4.5627
2017-12-26,14:40:00,3.97525,4.07275
2017-12-26,15:00:00,3.2795,3.3733
2017-12-26,15:20:00,2.6234,2.7648
2017-12-26,15:40:00,1.86145,2.03545
2017-12-26,16:00:00,1.21025,1.2806
2017-12-26,16:20:00,0.72975,0.77615
2017-12-26,16:40:00,0.27435,0.3028
2017-12-26,17:00:00,0.0172,0.0199
2017-12-26,17:20:00,0,0
2017-12-26,17:40:00,0,0
2017-12-26,18:00:00,0,0
2017-12-26,18:20:00,0,0
2017-12-26,18:40:00,0,0
2017-12-26,19:00:00,0,0
2017-12-26,19:20:00,0,0
2017-12-26,19:40:00,0,0
2017-12-26,20:00:00,0,0
2017-12-26,20:20:00,0,0
2017-12-26,20:40:00,0,0
2017-12-26,21:00:00,0,0
2017-12-26,21:20:00,0,0
2017-12-26,21:40:00,0,0
2017-12-26,22:00:00,0,0
2017-12-26,22:20:00,0,0
2017-12-26,22:40:00,0,0
2017-12-26,23:00:00,0,0
2017-12-26,23:20:00,0,0
2017-12-26,23:40:00,0,0
