﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11O1743001504謝聰旗1-PV-5000W-HV 11O1743001504,1211740000461謝聰旗2-PV-3000N-V 1211740000461
2018-01-17,00:00:00,0,0
2018-01-17,00:20:00,0,0
2018-01-17,00:40:00,0,0
2018-01-17,01:00:00,0,0
2018-01-17,01:20:00,0,0
2018-01-17,01:40:00,0,0
2018-01-17,02:00:00,0,0
2018-01-17,02:20:00,0,0
2018-01-17,02:40:00,0,0
2018-01-17,03:00:00,0,0
2018-01-17,03:20:00,0,0
2018-01-17,03:40:00,0,0
2018-01-17,04:00:00,0,0
2018-01-17,04:20:00,0,0
2018-01-17,04:40:00,0,0
2018-01-17,05:00:00,0,0
2018-01-17,05:20:00,0,0
2018-01-17,05:40:00,0,0
2018-01-17,06:00:00,0,0
2018-01-17,06:20:00,0,0
2018-01-17,06:40:00,0,0
2018-01-17,07:00:00,0.0233,0.01855
2018-01-17,07:20:00,0.15035,0.0886
2018-01-17,07:40:00,0.28265,0.17025
2018-01-17,08:00:00,0.59085,0.4034
2018-01-17,08:20:00,0.91225,0.6614
2018-01-17,08:40:00,1.08455,0.73465
2018-01-17,09:00:00,1.1511,0.707
2018-01-17,09:20:00,1.52455,0.94835
2018-01-17,09:40:00,2.40835,1.41775
2018-01-17,10:00:00,2.79125,1.6227
2018-01-17,10:20:00,1.95835,1.1412
2018-01-17,10:40:00,2.0922,1.19625
2018-01-17,11:00:00,3.5628,1.94315
2018-01-17,11:20:00,2.45245,1.3727
2018-01-17,11:40:00,2.268,1.26945
2018-01-17,12:00:00,1.9387,1.0863
2018-01-17,12:20:00,2.6749,1.4486
2018-01-17,12:40:00,2.43785,1.3273
2018-01-17,13:00:00,2.1339,1.1669
2018-01-17,13:20:00,2.21595,1.1935
2018-01-17,13:40:00,2.1504,1.1629
2018-01-17,14:00:00,2.1539,1.16195
2018-01-17,14:20:00,1.5553,0.8474
2018-01-17,14:40:00,1.56675,0.8431
2018-01-17,15:00:00,1.1093,0.5998
2018-01-17,15:20:00,0.97695,0.52895
2018-01-17,15:40:00,0.7789,0.42655
2018-01-17,16:00:00,0.46315,0.25565
2018-01-17,16:20:00,0.2474,0.1397
2018-01-17,16:40:00,0.1238,0.0673
2018-01-17,17:00:00,0.05465,0.01965
2018-01-17,17:20:00,0.0185,0.00105
2018-01-17,17:40:00,0.00745,0
2018-01-17,18:00:00,0,0
2018-01-17,18:20:00,0,0
2018-01-17,18:40:00,0,0
2018-01-17,19:00:00,0,0
2018-01-17,19:20:00,0,0
2018-01-17,19:40:00,0,0
2018-01-17,20:00:00,0,0
2018-01-17,20:20:00,0,0
2018-01-17,20:40:00,0,0
2018-01-17,21:00:00,0,0
2018-01-17,21:20:00,0,0
2018-01-17,21:40:00,0,0
2018-01-17,22:00:00,0,0
2018-01-17,22:20:00,0,0
2018-01-17,22:40:00,0,0
2018-01-17,23:00:00,0,0
2018-01-17,23:20:00,0,0
2018-01-17,23:40:00,0,0
