﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10L1450000065PV-4000W-V 10L1450000065
2018-03-21,00:00:00,0
2018-03-21,00:20:00,0
2018-03-21,00:40:00,0
2018-03-21,01:00:00,0
2018-03-21,01:20:00,0
2018-03-21,01:40:00,0
2018-03-21,02:00:00,0
2018-03-21,02:20:00,0
2018-03-21,02:40:00,0
2018-03-21,03:00:00,0
2018-03-21,03:20:00,0
2018-03-21,03:40:00,0
2018-03-21,04:00:00,0
2018-03-21,04:20:00,0
2018-03-21,04:40:00,0
2018-03-21,05:00:00,0
2018-03-21,05:20:00,0
2018-03-21,05:40:00,0
2018-03-21,06:00:00,0.0066
2018-03-21,06:20:00,0.08245
2018-03-21,06:40:00,0.18455
2018-03-21,07:00:00,0.31235
2018-03-21,07:20:00,0.45375
2018-03-21,07:40:00,0.671
2018-03-21,08:00:00,0.9567
2018-03-21,08:20:00,1.2183
2018-03-21,08:40:00,1.12765
2018-03-21,09:00:00,1.07625
2018-03-21,09:20:00,1.14435
2018-03-21,09:40:00,1.19865
2018-03-21,10:00:00,1.01025
2018-03-21,10:20:00,0.6947
2018-03-21,10:40:00,0.6671
2018-03-21,11:00:00,0.64485
2018-03-21,11:20:00,0.58285
2018-03-21,11:40:00,0.66425
2018-03-21,12:00:00,1.06805
2018-03-21,12:20:00,1.1515
2018-03-21,12:40:00,1.0912
2018-03-21,13:00:00,1.31125
2018-03-21,13:20:00,1.0419
2018-03-21,13:40:00,1.57855
2018-03-21,14:00:00,1.91565
2018-03-21,14:20:00,2.2715
2018-03-21,14:40:00,1.43725
2018-03-21,15:00:00,1.0067
2018-03-21,15:20:00,0.9289
2018-03-21,15:40:00,0.8288
2018-03-21,16:00:00,0.87575
2018-03-21,16:20:00,1.4087
2018-03-21,16:40:00,1.06815
2018-03-21,17:00:00,0.47975
2018-03-21,17:20:00,0.17085
2018-03-21,17:40:00,0.0738
2018-03-21,18:00:00,0.0196
2018-03-21,18:20:00,0
2018-03-21,18:40:00,0
2018-03-21,19:00:00,0
2018-03-21,19:20:00,0
2018-03-21,19:40:00,0
2018-03-21,20:00:00,0
2018-03-21,20:20:00,0
2018-03-21,20:40:00,0
2018-03-21,21:00:00,0
2018-03-21,21:20:00,0
2018-03-21,21:40:00,0
2018-03-21,22:00:00,0
2018-03-21,22:20:00,0
2018-03-21,22:40:00,0
2018-03-21,23:00:00,0
2018-03-21,23:20:00,0
2018-03-21,23:40:00,0
