﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211711000104青宇企業1-PV-3000N-V 1211711000104,1211711000110青宇企業2-PV-3000N-V 1211711000110,1211711000111青宇企業3-PV-3000N-V 1211711000111,1211713000172青宇企業4-PV-3000N-V 1211713000172,11O1725000590青宇企業5-PV-5000W-HV 11O1725000590
2018-04-15,00:00:00,0,0,0,0,0
2018-04-15,00:20:00,0,0,0,0,0
2018-04-15,00:40:00,0,0,0,0,0
2018-04-15,01:00:00,0,0,0,0,0
2018-04-15,01:20:00,0,0,0,0,0
2018-04-15,01:40:00,0,0,0,0,0
2018-04-15,02:00:00,0,0,0,0,0
2018-04-15,02:20:00,0,0,0,0,0
2018-04-15,02:40:00,0,0,0,0,0
2018-04-15,03:00:00,0,0,0,0,0
2018-04-15,03:20:00,0,0,0,0,0
2018-04-15,03:40:00,0,0,0,0,0
2018-04-15,04:00:00,0,0,0,0,0
2018-04-15,04:20:00,0,0,0,0,0
2018-04-15,04:40:00,0,0,0,0,0
2018-04-15,05:00:00,0,0,0,0,0
2018-04-15,05:20:00,0,0,0,0,0
2018-04-15,05:40:00,0,0.0037,0.00585,0.0153,0.01365
2018-04-15,06:00:00,0.05565,0.0434,0.0593,0.06295,0.09085
2018-04-15,06:20:00,0.11955,0.1065,0.12225,0.12355,0.1855
2018-04-15,06:40:00,0.28485,0.27025,0.2909,0.28475,0.44735
2018-04-15,07:00:00,0.47575,0.46355,0.4877,0.4693,0.74355
2018-04-15,07:20:00,0.4594,0.4475,0.46895,0.4519,0.72255
2018-04-15,07:40:00,0.80335,0.7834,0.8147,0.7759,1.27465
2018-04-15,08:00:00,1.03035,1.01805,1.0517,1.0053,1.65215
2018-04-15,08:20:00,1.2539,1.2416,1.28275,1.22125,2.0028
2018-04-15,08:40:00,1.5403,1.53575,1.5817,1.50805,2.4434
2018-04-15,09:00:00,1.63115,1.6325,1.68045,1.5969,2.5662
2018-04-15,09:20:00,1.3215,1.31915,1.3564,1.29945,2.09665
2018-04-15,09:40:00,1.60105,1.60255,1.6553,1.57975,2.56035
2018-04-15,10:00:00,1.66315,1.6575,1.7103,1.64155,2.6428
2018-04-15,10:20:00,1.2871,1.26925,1.32085,1.2717,2.04375
2018-04-15,10:40:00,2.3348,2.33595,2.4043,2.30235,3.7266
2018-04-15,11:00:00,2.25315,2.2558,2.3214,2.23005,3.59695
2018-04-15,11:20:00,1.34355,1.32245,1.36975,1.3228,2.12305
2018-04-15,11:40:00,2.3658,2.3303,2.40235,2.31395,3.80595
2018-04-15,12:00:00,2.5103,2.49045,2.56295,2.47355,4.04825
2018-04-15,12:20:00,2.4721,2.4491,2.519,2.4347,3.9868
2018-04-15,12:40:00,2.34615,2.32465,2.39535,2.30785,3.77725
2018-04-15,13:00:00,2.19,2.1561,2.22515,2.1536,3.51775
2018-04-15,13:20:00,2.00755,1.9703,2.0357,1.9732,3.2087
2018-04-15,13:40:00,1.3458,1.3017,1.35345,1.32,2.1534
2018-04-15,14:00:00,1.44605,1.39475,1.4506,1.41945,2.2992
2018-04-15,14:20:00,1.19285,1.13405,1.18425,1.1679,1.89965
2018-04-15,14:40:00,1.3399,1.28765,1.34285,1.31485,2.1287
2018-04-15,15:00:00,1.5976,1.54075,1.6044,1.5739,2.52755
2018-04-15,15:20:00,1.54875,1.48045,1.54145,1.51385,2.43765
2018-04-15,15:40:00,0.9103,0.8534,0.8969,0.8906,1.4292
2018-04-15,16:00:00,0.4695,0.4301,0.45905,0.4552,0.72615
2018-04-15,16:20:00,0.55205,0.5147,0.55395,0.55055,0.854
2018-04-15,16:40:00,0.27785,0.2559,0.2832,0.2816,0.4312
2018-04-15,17:00:00,0.1588,0.14605,0.1632,0.16455,0.2432
2018-04-15,17:20:00,0.0322,0.02415,0.03345,0.0375,0.05065
2018-04-15,17:40:00,0.00295,0.0004,0.00345,0.00705,0.0074
2018-04-15,18:00:00,0.0023,0.00035,0.0027,0.0055,0.0057
2018-04-15,18:20:00,0,0,0.0001,0.0003,0
2018-04-15,18:40:00,0,0,0,0,0
2018-04-15,19:00:00,0,0,0,0,0
2018-04-15,19:20:00,0,0,0,0,0
2018-04-15,19:40:00,0,0,0,0,0
2018-04-15,20:00:00,0,0,0,0,0
2018-04-15,20:20:00,0,0,0,0,0
2018-04-15,20:40:00,0,0,0,0,0
2018-04-15,21:00:00,0,0,0,0,0
2018-04-15,21:20:00,0,0,0,0,0
2018-04-15,21:40:00,0,0,0,0,0
2018-04-15,22:00:00,0,0,0,0,0
2018-04-15,22:20:00,0,0,0,0,0
2018-04-15,22:40:00,0,0,0,0,0
2018-04-15,23:00:00,0,0,0,0,0
2018-04-15,23:20:00,0,0,0,0,0
2018-04-15,23:40:00,0,0,0,0,0
