﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10N1449000272PV-3000N-V 10N1449000272國姓長福,11C1506000029PV-5000W-V 11C1506000029國姓長福,11C1506000030PV-5000W-V 11C1506000030國姓長福,11C1506000043PV-5000W-V 11C1506000043 國姓長福
2018-04-01,00:00:00,0,0,0,0
2018-04-01,00:20:00,0,0,0,0
2018-04-01,00:40:00,0,0,0,0
2018-04-01,01:00:00,0,0,0,0
2018-04-01,01:20:00,0,0,0,0
2018-04-01,01:40:00,0,0,0,0
2018-04-01,02:00:00,0,0,0,0
2018-04-01,02:20:00,0,0,0,0
2018-04-01,02:40:00,0,0,0,0
2018-04-01,03:00:00,0,0,0,0
2018-04-01,03:20:00,0,0,0,0
2018-04-01,03:40:00,0,0,0,0
2018-04-01,04:00:00,0,0,0,0
2018-04-01,04:20:00,0,0,0,0
2018-04-01,04:40:00,0,0,0,0
2018-04-01,05:00:00,0,0,0,0
2018-04-01,05:20:00,0,0,0,0
2018-04-01,05:40:00,0,0,5.0E-5,0.00025
2018-04-01,06:00:00,0.0001,0.0471,0.05445,0.05935
2018-04-01,06:20:00,0.09015,0.13605,0.13215,0.1436
2018-04-01,06:40:00,0.16515,0.2611,0.2563,0.26725
2018-04-01,07:00:00,0.2295,0.37335,0.36535,0.3765
2018-04-01,07:20:00,0.3264,0.5348,0.52525,0.53595
2018-04-01,07:40:00,0.376,0.63085,0.61105,0.6243
2018-04-01,08:00:00,0.45945,0.85625,0.78975,0.79875
2018-04-01,08:20:00,0.6988,1.32665,1.31075,1.3222
2018-04-01,08:40:00,1.01575,1.72535,1.8077,1.75835
2018-04-01,09:00:00,1.31945,2.1124,2.1479,2.0827
2018-04-01,09:20:00,1.5185,2.48475,2.4763,2.4476
2018-04-01,09:40:00,0.71745,1.15675,1.1498,1.15465
2018-04-01,10:00:00,0.68205,1.1009,1.0982,1.1023
2018-04-01,10:20:00,1.52265,2.46295,2.46815,2.45055
2018-04-01,10:40:00,1.4954,2.4328,2.4315,2.42285
2018-04-01,11:00:00,1.68755,2.75665,2.7502,2.73815
2018-04-01,11:20:00,1.78205,2.88275,2.8858,2.8584
2018-04-01,11:40:00,1.59325,2.6338,2.6001,2.5956
2018-04-01,12:00:00,0.9556,1.54085,1.5397,1.5333
2018-04-01,12:20:00,2.05525,3.38565,3.36015,3.3283
2018-04-01,12:40:00,1.6907,2.72505,2.7479,2.7083
2018-04-01,13:00:00,1.21665,1.9879,1.98105,1.9656
2018-04-01,13:20:00,0.8889,1.4724,1.4516,1.45095
2018-04-01,13:40:00,0.43835,0.7078,0.7054,0.7168
2018-04-01,14:00:00,0.5896,0.93565,0.94535,0.94925
2018-04-01,14:20:00,0.68755,1.0879,1.10375,1.10285
2018-04-01,14:40:00,0.92225,1.4531,1.4783,1.47785
2018-04-01,15:00:00,1.637,2.5791,2.6459,2.61895
2018-04-01,15:20:00,1.47055,2.30715,2.37275,2.35325
2018-04-01,15:40:00,1.06295,1.63895,1.70385,1.6899
2018-04-01,16:00:00,0.6937,1.06605,1.10835,1.1066
2018-04-01,16:20:00,0.13785,0.20565,0.2073,0.2167
2018-04-01,16:40:00,0.11595,0.1698,0.1719,0.18
2018-04-01,17:00:00,0.0901,0.12775,0.12905,0.1375
2018-04-01,17:20:00,0.05565,0.0765,0.07965,0.08515
2018-04-01,17:40:00,0.01005,0.0182,0.01905,0.0128
2018-04-01,18:00:00,0.0008,0.0147,0.0161,0
2018-04-01,18:20:00,0,0.006,0.00675,0
2018-04-01,18:40:00,0,0,0,0
2018-04-01,19:00:00,0,0,0,0
2018-04-01,19:20:00,0,0,0,0
2018-04-01,19:40:00,0,0,0,0
2018-04-01,20:00:00,0,0,0,0
2018-04-01,20:20:00,0,0,0,0
2018-04-01,20:40:00,0,0,0,0
2018-04-01,21:00:00,0,0,0,0
2018-04-01,21:20:00,0,0,0,0
2018-04-01,21:40:00,0,0,0,0
2018-04-01,22:00:00,0,0,0,0
2018-04-01,22:20:00,0,0,0,0
2018-04-01,22:40:00,0,0,0,0
2018-04-01,23:00:00,0,0,0,0
2018-04-01,23:20:00,0,0,0,0
2018-04-01,23:40:00,0,0,0,0
