﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211746000545林玲華1-PV-3000N-V 1211746000545,1211746000526林玲華2-PV-3000N-V 1211746000526
2018-01-02,00:00:00,0,0
2018-01-02,00:20:00,0,0
2018-01-02,00:40:00,0,0
2018-01-02,01:00:00,0,0
2018-01-02,01:20:00,0,0
2018-01-02,01:40:00,0,0
2018-01-02,02:00:00,0,0
2018-01-02,02:20:00,0,0
2018-01-02,02:40:00,0,0
2018-01-02,03:00:00,0,0
2018-01-02,03:20:00,0,0
2018-01-02,03:40:00,0,0
2018-01-02,04:00:00,0,0
2018-01-02,04:20:00,0,0
2018-01-02,04:40:00,0,0
2018-01-02,05:00:00,0,0
2018-01-02,05:20:00,0,0
2018-01-02,05:40:00,0,0
2018-01-02,06:00:00,0,0
2018-01-02,06:20:00,0,0
2018-01-02,06:40:00,0.00745,5.0E-5
2018-01-02,07:00:00,0.1158,0.0989
2018-01-02,07:20:00,0.31345,0.2912
2018-01-02,07:40:00,0.55335,0.5207
2018-01-02,08:00:00,0.8049,0.77265
2018-01-02,08:20:00,1.042,1.02745
2018-01-02,08:40:00,1.2397,1.23
2018-01-02,09:00:00,1.44055,1.43185
2018-01-02,09:20:00,1.6214,1.61495
2018-01-02,09:40:00,1.80465,1.80155
2018-01-02,10:00:00,1.95155,1.95095
2018-01-02,10:20:00,2.07455,2.07545
2018-01-02,10:40:00,2.2084,2.2131
2018-01-02,11:00:00,2.31455,2.32395
2018-01-02,11:20:00,2.3656,2.36965
2018-01-02,11:40:00,2.41315,2.42145
2018-01-02,12:00:00,2.4197,2.4288
2018-01-02,12:20:00,2.41545,2.42335
2018-01-02,12:40:00,2.37575,2.38315
2018-01-02,13:00:00,2.30615,2.31105
2018-01-02,13:20:00,2.22085,2.2227
2018-01-02,13:40:00,2.11345,2.1154
2018-01-02,14:00:00,1.9487,1.94775
2018-01-02,14:20:00,1.7579,1.7546
2018-01-02,14:40:00,1.54945,1.5439
2018-01-02,15:00:00,1.3507,1.34555
2018-01-02,15:20:00,0.8338,0.8706
2018-01-02,15:40:00,0.5849,0.6629
2018-01-02,16:00:00,0.322,0.42145
2018-01-02,16:20:00,0.1929,0.2717
2018-01-02,16:40:00,0.09545,0.1453
2018-01-02,17:00:00,0.01555,0.0108
2018-01-02,17:20:00,0.00025,0.0002
2018-01-02,17:40:00,0,0
2018-01-02,18:00:00,0,0
2018-01-02,18:20:00,0,0
2018-01-02,18:40:00,0,0
2018-01-02,19:00:00,0,0
2018-01-02,19:20:00,0,0
2018-01-02,19:40:00,0,0
2018-01-02,20:00:00,0,0
2018-01-02,20:20:00,0,0
2018-01-02,20:40:00,0,0
2018-01-02,21:00:00,0,0
2018-01-02,21:20:00,0,0
2018-01-02,21:40:00,0,0
2018-01-02,22:00:00,0,0
2018-01-02,22:20:00,0,0
2018-01-02,22:40:00,0,0
2018-01-02,23:00:00,0,0
2018-01-02,23:20:00,0,0
2018-01-02,23:40:00,0,0
