﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11C1505000005PV-5000W-V 11C1505000005彰化福興-吳心,11C1505000002PV-5000W-V 11C1505000002彰化福興-吳心,11C1505000003PV-5000W-V 11C1505000003彰化福興-吳心,11C1505000006PV-5000W-V 11C1505000006彰化福興-吳心,11C1505000004PV-5000W-V 11C1505000004彰化福興-吳心,11C1505000001PV-5000W-V 11C1505000001彰化福興-吳心
2018-03-14,00:00:00,0,0,0,0,0,0
2018-03-14,00:20:00,0,0,0,0,0,0
2018-03-14,00:40:00,0,0,0,0,0,0
2018-03-14,01:00:00,0,0,0,0,0,0
2018-03-14,01:20:00,0,0,0,0,0,0
2018-03-14,01:40:00,0,0,0,0,0,0
2018-03-14,02:00:00,0,0,0,0,0,0
2018-03-14,02:20:00,0,0,0,0,0,0
2018-03-14,02:40:00,0,0,0,0,0,0
2018-03-14,03:00:00,0,0,0,0,0,0
2018-03-14,03:20:00,0,0,0,0,0,0
2018-03-14,03:40:00,0,0,0,0,0,0
2018-03-14,04:00:00,0,0,0,0,0,0
2018-03-14,04:20:00,0,0,0,0,0,0
2018-03-14,04:40:00,0,0,0,0,0,0
2018-03-14,05:00:00,0,0,0,0,0,0
2018-03-14,05:20:00,0,0,0,0,0,0
2018-03-14,05:40:00,0,0,0,0,0,0
2018-03-14,06:00:00,0,0,0,0,0,0
2018-03-14,06:20:00,0.03945,0.0454,0.0445,0.0476,0.0496,0.044
2018-03-14,06:40:00,0.1684,0.1744,0.1788,0.17925,0.1828,0.17505
2018-03-14,07:00:00,0.48205,0.42805,0.4903,0.4907,0.49325,0.45395
2018-03-14,07:20:00,0.55045,0.5431,0.5613,0.5601,0.5637,0.54645
2018-03-14,07:40:00,0.9136,0.83075,0.9231,0.92025,0.92205,0.86375
2018-03-14,08:00:00,0.78385,0.7812,0.7542,0.79115,0.7959,0.781
2018-03-14,08:20:00,0.88175,0.88345,0.8904,0.8869,0.8946,0.87525
2018-03-14,08:40:00,1.68655,1.6995,1.6938,1.6829,1.6942,1.68235
2018-03-14,09:00:00,2.06515,2.07975,2.07835,2.0585,2.07115,2.0559
2018-03-14,09:20:00,2.19315,2.2115,2.20485,2.1823,2.19655,2.18865
2018-03-14,09:40:00,2.30115,2.32645,2.3314,2.30585,2.28105,2.27825
2018-03-14,10:00:00,2.2465,2.2654,2.2564,2.22885,2.24635,2.2362
2018-03-14,10:20:00,2.2328,2.261,2.2554,2.21765,2.2435,2.2317
2018-03-14,10:40:00,2.6473,2.6807,2.67555,2.62975,2.6544,2.64095
2018-03-14,11:00:00,2.5804,2.60745,2.60205,2.54795,2.5793,2.56
2018-03-14,11:20:00,2.05365,2.08285,2.07495,2.04595,2.06295,2.05565
2018-03-14,11:40:00,1.61245,1.63765,1.62875,1.6095,1.6199,1.61435
2018-03-14,12:00:00,1.57555,1.5999,1.59135,1.57255,1.5835,1.5774
2018-03-14,12:20:00,1.67555,1.69685,1.69115,1.67385,1.6846,1.6747
2018-03-14,12:40:00,1.58855,1.611,1.60645,1.5868,1.59745,1.5897
2018-03-14,13:00:00,1.4314,1.45395,1.44835,1.43065,1.4399,1.4343
2018-03-14,13:20:00,1.47385,1.49895,1.48965,1.4724,1.4823,1.47865
2018-03-14,13:40:00,1.5092,1.5376,1.5276,1.5083,1.5182,1.51665
2018-03-14,14:00:00,1.2316,1.25465,1.24795,1.23345,1.24075,1.23705
2018-03-14,14:20:00,0.80715,0.82315,0.8208,0.8131,0.8182,0.81375
2018-03-14,14:40:00,0.7,0.71365,0.71235,0.70645,0.71255,0.70785
2018-03-14,15:00:00,0.83685,0.8522,0.8495,0.84155,0.8484,0.8424
2018-03-14,15:20:00,0.67825,0.69275,0.69055,0.6847,0.69005,0.68465
2018-03-14,15:40:00,0.90185,0.91855,0.91425,0.9061,0.9143,0.9083
2018-03-14,16:00:00,0.58635,0.5998,0.59885,0.5923,0.5989,0.5888
2018-03-14,16:20:00,0.50435,0.5171,0.51615,0.51295,0.51725,0.5116
2018-03-14,16:40:00,0.34085,0.3514,0.352,0.3504,0.35395,0.3471
2018-03-14,17:00:00,0.1068,0.11495,0.1158,0.11665,0.119,0.1127
2018-03-14,17:20:00,0.0296,0.0363,0.03735,0.0392,0.04165,0.0358
2018-03-14,17:40:00,0.00295,0.00445,0.005,0.00525,0.00565,0.00445
2018-03-14,18:00:00,0,0,0,0,0,0
2018-03-14,18:20:00,0,0,0,0,0,0
2018-03-14,18:40:00,0,0,0,0,0,0
2018-03-14,19:00:00,0,0,0,0,0,0
2018-03-14,19:20:00,0,0,0,0,0,0
2018-03-14,19:40:00,0,0,0,0,0,0
2018-03-14,20:00:00,0,0,0,0,0,0
2018-03-14,20:20:00,0,0,0,0,0,0
2018-03-14,20:40:00,0,0,0,0,0,0
2018-03-14,21:00:00,0,0,0,0,0,0
2018-03-14,21:20:00,0,0,0,0,0,0
2018-03-14,21:40:00,0,0,0,0,0,0
2018-03-14,22:00:00,0,0,0,0,0,0
2018-03-14,22:20:00,0,0,0,0,0,0
2018-03-14,22:40:00,0,0,0,0,0,0
2018-03-14,23:00:00,0,0,0,0,0,0
2018-03-14,23:20:00,0,0,0,0,0,0
2018-03-14,23:40:00,0,0,0,0,0,0
