﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10L1450000065PV-4000W-V 10L1450000065
2018-05-05,00:00:00,0
2018-05-05,00:20:00,0
2018-05-05,00:40:00,0
2018-05-05,01:00:00,0
2018-05-05,01:20:00,0
2018-05-05,01:40:00,0
2018-05-05,02:00:00,0
2018-05-05,02:20:00,0
2018-05-05,02:40:00,0
2018-05-05,03:00:00,0
2018-05-05,03:20:00,0
2018-05-05,03:40:00,0
2018-05-05,04:00:00,0
2018-05-05,04:20:00,0
2018-05-05,04:40:00,0
2018-05-05,05:00:00,0
2018-05-05,05:20:00,0.0027
2018-05-05,05:40:00,0.03745
2018-05-05,06:00:00,0.1306
2018-05-05,06:20:00,0.1654
2018-05-05,06:40:00,0.29855
2018-05-05,07:00:00,0.49415
2018-05-05,07:20:00,0.6186
2018-05-05,07:40:00,0.721
2018-05-05,08:00:00,1.0701
2018-05-05,08:20:00,1.4842
2018-05-05,08:40:00,1.89585
2018-05-05,09:00:00,1.9216
2018-05-05,09:20:00,2.80715
2018-05-05,09:40:00,2.0452
2018-05-05,10:00:00,2.3958
2018-05-05,10:20:00,3.1068
2018-05-05,10:40:00,2.9224
2018-05-05,11:00:00,3.4967
2018-05-05,11:20:00,3.3787
2018-05-05,11:40:00,3.02045
2018-05-05,12:00:00,3.34785
2018-05-05,12:20:00,2.47565
2018-05-05,12:40:00,2.6171
2018-05-05,13:00:00,3.25965
2018-05-05,13:20:00,2.8472
2018-05-05,13:40:00,3.04165
2018-05-05,14:00:00,2.7307
2018-05-05,14:20:00,2.52235
2018-05-05,14:40:00,2.42215
2018-05-05,15:00:00,2.11325
2018-05-05,15:20:00,1.8403
2018-05-05,15:40:00,1.86635
2018-05-05,16:00:00,1.3842
2018-05-05,16:20:00,1.1458
2018-05-05,16:40:00,0.7106
2018-05-05,17:00:00,0.59885
2018-05-05,17:20:00,0.34335
2018-05-05,17:40:00,0.14855
2018-05-05,18:00:00,0.07295
2018-05-05,18:20:00,0.01315
2018-05-05,18:40:00,0
2018-05-05,19:00:00,0
2018-05-05,19:20:00,0
2018-05-05,19:40:00,0
2018-05-05,20:00:00,0
2018-05-05,20:20:00,0
2018-05-05,20:40:00,0
2018-05-05,21:00:00,0
2018-05-05,21:20:00,0
2018-05-05,21:40:00,0
2018-05-05,22:00:00,0
2018-05-05,22:20:00,0
2018-05-05,22:40:00,0
2018-05-05,23:00:00,0
2018-05-05,23:20:00,0
2018-05-05,23:40:00,0
