﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10L1450000065PV-4000W-V 10L1450000065
2018-02-17,00:00:00,0
2018-02-17,00:20:00,0
2018-02-17,00:40:00,0
2018-02-17,01:00:00,0
2018-02-17,01:20:00,0
2018-02-17,01:40:00,0
2018-02-17,02:00:00,0
2018-02-17,02:20:00,0
2018-02-17,02:40:00,0
2018-02-17,03:00:00,0
2018-02-17,03:20:00,0
2018-02-17,03:40:00,0
2018-02-17,04:00:00,0
2018-02-17,04:20:00,0
2018-02-17,04:40:00,0
2018-02-17,05:00:00,0
2018-02-17,05:20:00,0
2018-02-17,05:40:00,0
2018-02-17,06:00:00,0
2018-02-17,06:20:00,0
2018-02-17,06:40:00,0.02215
2018-02-17,07:00:00,0.08365
2018-02-17,07:20:00,0.1995
2018-02-17,07:40:00,0.55625
2018-02-17,08:00:00,0.90035
2018-02-17,08:20:00,1.1943
2018-02-17,08:40:00,1.46305
2018-02-17,09:00:00,1.71865
2018-02-17,09:20:00,1.9551
2018-02-17,09:40:00,2.18945
2018-02-17,10:00:00,2.38585
2018-02-17,10:20:00,2.5556
2018-02-17,10:40:00,2.6947
2018-02-17,11:00:00,2.79755
2018-02-17,11:20:00,2.89195
2018-02-17,11:40:00,2.97875
2018-02-17,12:00:00,3.05605
2018-02-17,12:20:00,3.0992
2018-02-17,12:40:00,3.03605
2018-02-17,13:00:00,2.95105
2018-02-17,13:20:00,2.93085
2018-02-17,13:40:00,2.81995
2018-02-17,14:00:00,2.6245
2018-02-17,14:20:00,2.514
2018-02-17,14:40:00,2.3294
2018-02-17,15:00:00,2.25
2018-02-17,15:20:00,2.0128
2018-02-17,15:40:00,1.6799
2018-02-17,16:00:00,1.0347
2018-02-17,16:20:00,0.80065
2018-02-17,16:40:00,0.4736
2018-02-17,17:00:00,0.1849
2018-02-17,17:20:00,0.0605
2018-02-17,17:40:00,0.0221
2018-02-17,18:00:00,0
2018-02-17,18:20:00,0
2018-02-17,18:40:00,0
2018-02-17,19:00:00,0
2018-02-17,19:20:00,0
2018-02-17,19:40:00,0
2018-02-17,20:00:00,0
2018-02-17,20:20:00,0
2018-02-17,20:40:00,0
2018-02-17,21:00:00,0
2018-02-17,21:20:00,0
2018-02-17,21:40:00,0
2018-02-17,22:00:00,0
2018-02-17,22:20:00,0
2018-02-17,22:40:00,0
2018-02-17,23:00:00,0
2018-02-17,23:20:00,0
2018-02-17,23:40:00,0
