﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211750000641彭玉蓮1-PV-3000N-V 1211750000641,1211750000636彭玉蓮2-PV-3000N-V 1211750000636,1211750000631彭玉蓮3-PV-3000N-V 1211750000631,11O1751002233彭玉蓮4-PV-5000W-HV 11O1751002233
2018-05-04,00:00:00,0,0,0,0
2018-05-04,00:20:00,0,0,0,0
2018-05-04,00:40:00,0,0,0,0
2018-05-04,01:00:00,0,0,0,0
2018-05-04,01:20:00,0,0,0,0
2018-05-04,01:40:00,0,0,0,0
2018-05-04,02:00:00,0,0,0,0
2018-05-04,02:20:00,0,0,0,0
2018-05-04,02:40:00,0,0,0,0
2018-05-04,03:00:00,0,0,0,0
2018-05-04,03:20:00,0,0,0,0
2018-05-04,03:40:00,0,0,0,0
2018-05-04,04:00:00,0,0,0,0
2018-05-04,04:20:00,0,0,0,0
2018-05-04,04:40:00,0,0,0,0
2018-05-04,05:00:00,0,0,0,0
2018-05-04,05:20:00,0,0,0,0
2018-05-04,05:40:00,0.0185,0.0004,0.01335,0.0004
2018-05-04,06:00:00,0.05655,0.05805,0.05385,0.10925
2018-05-04,06:20:00,0.16945,0.17945,0.1681,0.3061
2018-05-04,06:40:00,0.28385,0.30725,0.2834,0.5115
2018-05-04,07:00:00,0.43145,0.46875,0.4319,0.77085
2018-05-04,07:20:00,0.5551,0.6031,0.55635,0.9911
2018-05-04,07:40:00,0.5009,0.54425,0.50225,0.89235
2018-05-04,08:00:00,0.54715,0.5937,0.54755,0.9768
2018-05-04,08:20:00,0.81755,0.89085,0.8197,1.46955
2018-05-04,08:40:00,0.6936,0.75705,0.69555,1.2419
2018-05-04,09:00:00,0.79,0.85955,0.791,1.4139
2018-05-04,09:20:00,1.0594,1.1552,1.0628,1.8998
2018-05-04,09:40:00,1.43735,1.5734,1.44915,2.58055
2018-05-04,10:00:00,1.5511,1.6899,1.5681,2.78
2018-05-04,10:20:00,1.55125,1.6949,1.56925,2.7857
2018-05-04,10:40:00,1.54,1.6627,1.5439,2.76415
2018-05-04,11:00:00,1.38325,1.50215,1.3905,2.4754
2018-05-04,11:20:00,1.27395,1.3899,1.28945,2.28395
2018-05-04,11:40:00,1.2637,1.3722,1.2763,2.26495
2018-05-04,12:00:00,1.9189,2.07235,1.93875,3.3076
2018-05-04,12:20:00,1.47965,1.60245,1.49145,2.64275
2018-05-04,12:40:00,1.39365,1.51205,1.4053,2.4962
2018-05-04,13:00:00,2.08535,2.26235,2.1063,3.737
2018-05-04,13:20:00,1.8051,1.9445,1.81725,3.2108
2018-05-04,13:40:00,2.0261,2.1694,2.03835,3.5778
2018-05-04,14:00:00,1.2732,1.3733,1.28475,2.27185
2018-05-04,14:20:00,1.14495,1.23405,1.15255,2.0468
2018-05-04,14:40:00,0.76965,0.83275,0.77585,1.3744
2018-05-04,15:00:00,0.6802,0.73885,0.683,1.2162
2018-05-04,15:20:00,0.46535,0.50155,0.4672,0.82785
2018-05-04,15:40:00,0.36005,0.38825,0.3612,0.6426
2018-05-04,16:00:00,0.2697,0.28915,0.27035,0.4844
2018-05-04,16:20:00,0.41565,0.4498,0.4174,0.74115
2018-05-04,16:40:00,0.32145,0.3461,0.3222,0.5753
2018-05-04,17:00:00,0.12065,0.1274,0.11955,0.2188
2018-05-04,17:20:00,0.07325,0.07725,0.0727,0.136
2018-05-04,17:40:00,0.0449,0.0467,0.04355,0.09075
2018-05-04,18:00:00,0.0069,0.0052,0.0051,0.0344
2018-05-04,18:20:00,0.0005,0.00025,0.00025,0.01825
2018-05-04,18:40:00,0,0,0,0.00505
2018-05-04,19:00:00,0,0,0,0
2018-05-04,19:20:00,0,0,0,0
2018-05-04,19:40:00,0,0,0,0
2018-05-04,20:00:00,0,0,0,0
2018-05-04,20:20:00,0,0,0,0
2018-05-04,20:40:00,0,0,0,0
2018-05-04,21:00:00,0,0,0,0
2018-05-04,21:20:00,0,0,0,0
2018-05-04,21:40:00,0,0,0,0
2018-05-04,22:00:00,0,0,0,0
2018-05-04,22:20:00,0,0,0,0
2018-05-04,22:40:00,0,0,0,0
2018-05-04,23:00:00,0,0,0,0
2018-05-04,23:20:00,0,0,0,0
2018-05-04,23:40:00,0,0,0,0
