﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1638000173PV-5000W-V 10D1638000173陳慶修#1,1151449000296PV-5000W-V 1151449000296陳慶修#2,10D1638000183PV-5000W-V 10D1638000183陳慶修#3
2018-01-07,00:00:00,0,0,0
2018-01-07,00:20:00,0,0,0
2018-01-07,00:40:00,0,0,0
2018-01-07,01:00:00,0,0,0
2018-01-07,01:20:00,0,0,0
2018-01-07,01:40:00,0,0,0
2018-01-07,02:00:00,0,0,0
2018-01-07,02:20:00,0,0,0
2018-01-07,02:40:00,0,0,0
2018-01-07,03:00:00,0,0,0
2018-01-07,03:20:00,0,0,0
2018-01-07,03:40:00,0,0,0
2018-01-07,04:00:00,0,0,0
2018-01-07,04:20:00,0,0,0
2018-01-07,04:40:00,0,0,0
2018-01-07,05:00:00,0,0,0
2018-01-07,05:20:00,0,0,0
2018-01-07,05:40:00,0,0,0
2018-01-07,06:00:00,0,0,0
2018-01-07,06:20:00,0,0,0
2018-01-07,06:40:00,0,0,0
2018-01-07,07:00:00,0.0089,0,0.0083
2018-01-07,07:20:00,0.0633,0,0.0633
2018-01-07,07:40:00,0.0336,0,0.03425
2018-01-07,08:00:00,0.12875,0,0.12725
2018-01-07,08:20:00,0.35145,0,0.3439
2018-01-07,08:40:00,0.9375,0,0.93435
2018-01-07,09:00:00,0.7377,0,0.72915
2018-01-07,09:20:00,0.4199,0,0.41555
2018-01-07,09:40:00,0.28245,0,0.28175
2018-01-07,10:00:00,0.4518,0,0.4468
2018-01-07,10:20:00,0.72125,0,0.7062
2018-01-07,10:40:00,0.96895,0,0.9472
2018-01-07,11:00:00,1.2526,0,1.2329
2018-01-07,11:20:00,0.4847,0,0.482
2018-01-07,11:40:00,0.36275,0,0.35795
2018-01-07,12:00:00,0.32155,0,0.31475
2018-01-07,12:20:00,0.1351,0,0.132
2018-01-07,12:40:00,0.0926,0,0.0893
2018-01-07,13:00:00,0.11285,0,0.1108
2018-01-07,13:20:00,0.37505,0,0.3668
2018-01-07,13:40:00,0.23305,0,0.226
2018-01-07,14:00:00,0.0737,0,0.07085
2018-01-07,14:20:00,0.1859,0,0.1826
2018-01-07,14:40:00,0.2196,0,0.21395
2018-01-07,15:00:00,0.2196,0,0.21175
2018-01-07,15:20:00,0.20145,0,0.1964
2018-01-07,15:40:00,0.1506,0,0.14595
2018-01-07,16:00:00,0.05825,0,0.0566
2018-01-07,16:20:00,0.07215,0,0.07035
2018-01-07,16:40:00,0.03495,0,0.034
2018-01-07,17:00:00,0.00355,0,0.0035
2018-01-07,17:20:00,0,0,0
2018-01-07,17:40:00,0,0,0
2018-01-07,18:00:00,0,0,0
2018-01-07,18:20:00,0,0,0
2018-01-07,18:40:00,0,0,0
2018-01-07,19:00:00,0,0,0
2018-01-07,19:20:00,0,0,0
2018-01-07,19:40:00,0,0,0
2018-01-07,20:00:00,0,0,0
2018-01-07,20:20:00,0,0,0
2018-01-07,20:40:00,0,0,0
2018-01-07,21:00:00,0,0,0
2018-01-07,21:20:00,0,0,0
2018-01-07,21:40:00,0,0,0
2018-01-07,22:00:00,0,0,0
2018-01-07,22:20:00,0,0,0
2018-01-07,22:40:00,0,0,0
2018-01-07,23:00:00,0,0,0
2018-01-07,23:20:00,0,0,0
2018-01-07,23:40:00,0,0,0
