﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11C1505000005PV-5000W-V 11C1505000005彰化福興-吳心,11C1505000002PV-5000W-V 11C1505000002彰化福興-吳心,11C1505000003PV-5000W-V 11C1505000003彰化福興-吳心,11C1505000006PV-5000W-V 11C1505000006彰化福興-吳心,11C1505000004PV-5000W-V 11C1505000004彰化福興-吳心,11C1505000001PV-5000W-V 11C1505000001彰化福興-吳心
2018-04-16,00:00:00,0,0,0,0,0,0
2018-04-16,00:20:00,0,0,0,0,0,0
2018-04-16,00:40:00,0,0,0,0,0,0
2018-04-16,01:00:00,0,0,0,0,0,0
2018-04-16,01:20:00,0,0,0,0,0,0
2018-04-16,01:40:00,0,0,0,0,0,0
2018-04-16,02:00:00,0,0,0,0,0,0
2018-04-16,02:20:00,0,0,0,0,0,0
2018-04-16,02:40:00,0,0,0,0,0,0
2018-04-16,03:00:00,0,0,0,0,0,0
2018-04-16,03:20:00,0,0,0,0,0,0
2018-04-16,03:40:00,0,0,0,0,0,0
2018-04-16,04:00:00,0,0,0,0,0,0
2018-04-16,04:20:00,0,0,0,0,0,0
2018-04-16,04:40:00,0,0,0,0,0,0
2018-04-16,05:00:00,0,0,0,0,0,0
2018-04-16,05:20:00,0,0,0,0,0,0
2018-04-16,05:40:00,0.021,0.0246,0.02505,0.02655,0.02805,0.02365
2018-04-16,06:00:00,0.1495,0.14375,0.15845,0.1591,0.16095,0.14545
2018-04-16,06:20:00,0.34875,0.2925,0.35785,0.35675,0.3568,0.30525
2018-04-16,06:40:00,0.61975,0.44695,0.6275,0.6245,0.62345,0.49205
2018-04-16,07:00:00,0.9851,0.6257,0.9921,0.98545,0.9837,0.723
2018-04-16,07:20:00,1.2899,0.9089,1.29645,1.286,1.2861,0.9223
2018-04-16,07:40:00,1.60155,1.498,1.61025,1.59595,1.5962,1.13325
2018-04-16,08:00:00,1.9825,1.95775,1.9928,1.9724,1.9771,1.75845
2018-04-16,08:20:00,1.8785,1.87305,1.89035,1.8705,1.87715,1.85025
2018-04-16,08:40:00,2.4694,2.48445,2.48535,2.4581,2.47145,2.4542
2018-04-16,09:00:00,3.02535,3.02785,3.0436,3.0009,3.01945,2.98165
2018-04-16,09:20:00,2.83535,2.8361,2.8559,2.81475,2.8324,2.8004
2018-04-16,09:40:00,2.7616,2.7681,2.7802,2.74035,2.751,2.7194
2018-04-16,10:00:00,2.0173,2.03855,2.0371,2.00705,2.01815,1.9989
2018-04-16,10:20:00,3.51745,3.5447,3.5393,3.4696,3.507,3.47565
2018-04-16,10:40:00,3.05055,3.07045,3.10855,3.05025,3.0328,2.9869
2018-04-16,11:00:00,3.58225,3.6225,3.6229,3.5474,3.58665,3.5393
2018-04-16,11:20:00,3.7458,3.77775,3.7793,3.70845,3.74325,3.6901
2018-04-16,11:40:00,3.62455,3.6451,3.66865,3.60695,3.6379,3.57655
2018-04-16,12:00:00,3.77825,3.8191,3.81805,3.7411,3.77765,3.7353
2018-04-16,12:20:00,3.65005,3.6957,3.6879,3.6195,3.6547,3.6131
2018-04-16,12:40:00,3.4113,3.4584,3.4642,3.4061,3.42035,3.38695
2018-04-16,13:00:00,3.08165,3.10895,3.1184,3.07115,3.06645,3.06025
2018-04-16,13:20:00,2.76365,2.78635,2.78125,2.7392,2.75805,2.75765
2018-04-16,13:40:00,3.40995,3.46065,3.45025,3.38205,3.41505,3.39135
2018-04-16,14:00:00,3.0441,3.0929,3.07655,3.0211,3.05865,3.04045
2018-04-16,14:20:00,2.297,2.33785,2.3254,2.28875,2.31085,2.30125
2018-04-16,14:40:00,1.134,1.15095,1.14875,1.1367,1.1433,1.13485
2018-04-16,15:00:00,0.4646,0.4753,0.4759,0.47285,0.47725,0.4706
2018-04-16,15:20:00,0.28125,0.2911,0.2922,0.29105,0.2953,0.2885
2018-04-16,15:40:00,0.2192,0.2286,0.2304,0.22915,0.2331,0.2264
2018-04-16,16:00:00,0.12815,0.1369,0.13165,0.13885,0.1349,0.13515
2018-04-16,16:20:00,0.05295,0.0585,0.05275,0.0567,0.0598,0.0533
2018-04-16,16:40:00,0.03255,0.0397,0.03865,0.04135,0.04405,0.03815
2018-04-16,17:00:00,0.0196,0.0262,0.0275,0.02855,0.03075,0.0253
2018-04-16,17:20:00,0,0,0.00015,0,0.0001,0.0001
2018-04-16,17:40:00,0,0,0,0,0,0
2018-04-16,18:00:00,0,0,0,0,0,0
2018-04-16,18:20:00,0,0,0,0,0,0
2018-04-16,18:40:00,0,0,0,0,0,0
2018-04-16,19:00:00,0,0,0,0,0,0
2018-04-16,19:20:00,0,0,0,0,0,0
2018-04-16,19:40:00,0,0,0,0,0,0
2018-04-16,20:00:00,0,0,0,0,0,0
2018-04-16,20:20:00,0,0,0,0,0,0
2018-04-16,20:40:00,0,0,0,0,0,0
2018-04-16,21:00:00,0,0,0,0,0,0
2018-04-16,21:20:00,0,0,0,0,0,0
2018-04-16,21:40:00,0,0,0,0,0,0
2018-04-16,22:00:00,0,0,0,0,0,0
2018-04-16,22:20:00,0,0,0,0,0,0
2018-04-16,22:40:00,0,0,0,0,0,0
2018-04-16,23:00:00,0,0,0,0,0,0
2018-04-16,23:20:00,0,0,0,0,0,0
2018-04-16,23:40:00,0,0,0,0,0,0
