﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10N1532000144PV-3000N-V 10N1532000144 伸港主光-01,11D1514000073PV-3000N-V 11D1514000073 伸港主光-02,11D1507000055PV-3000N-V 11D1507000055 伸港主光-03,11D1514000062PV-3000N-V 11D1514000062 伸港主光-04,11D1514000077PV-3000N-V 11D1514000077 伸港主光-05
2018-03-10,00:00:00,0,0,0,0,0
2018-03-10,00:20:00,0,0,0,0,0
2018-03-10,00:40:00,0,0,0,0,0
2018-03-10,01:00:00,0,0,0,0,0
2018-03-10,01:20:00,0,0,0,0,0
2018-03-10,01:40:00,0,0,0,0,0
2018-03-10,02:00:00,0,0,0,0,0
2018-03-10,02:20:00,0,0,0,0,0
2018-03-10,02:40:00,0,0,0,0,0
2018-03-10,03:00:00,0,0,0,0,0
2018-03-10,03:20:00,0,0,0,0,0
2018-03-10,03:40:00,0,0,0,0,0
2018-03-10,04:00:00,0,0,0,0,0
2018-03-10,04:20:00,0,0,0,0,0
2018-03-10,04:40:00,0,0,0,0,0
2018-03-10,05:00:00,0,0,0,0,0
2018-03-10,05:20:00,0,0,0,0,0
2018-03-10,05:40:00,0,0,0,0,0
2018-03-10,06:00:00,0,0,0,0.0003,0
2018-03-10,06:20:00,0.0441,0.0323,0.04095,0.07565,0.04415
2018-03-10,06:40:00,0.1352,0.16345,0.14385,0.1797,0.1491
2018-03-10,07:00:00,0.22355,0.2564,0.2676,0.3549,0.3437
2018-03-10,07:20:00,0.4224,0.487,0.56075,0.60585,0.58175
2018-03-10,07:40:00,0.81415,0.83825,0.80175,0.8484,0.8298
2018-03-10,08:00:00,1.07225,1.09305,1.05145,1.0991,1.08465
2018-03-10,08:20:00,1.3127,1.3298,1.2787,1.32915,1.32065
2018-03-10,08:40:00,1.5476,1.5579,1.50885,1.5579,1.55255
2018-03-10,09:00:00,1.7513,1.75885,1.71175,1.75815,1.7576
2018-03-10,09:20:00,1.91615,1.9189,1.8706,1.9174,1.91885
2018-03-10,09:40:00,2.08095,2.07645,2.0256,2.07415,2.0762
2018-03-10,10:00:00,2.20585,2.1953,2.1483,2.19605,2.2
2018-03-10,10:20:00,2.3318,2.3173,2.27015,2.3171,2.3209
2018-03-10,10:40:00,2.4063,2.3864,2.33925,2.3867,2.39115
2018-03-10,11:00:00,2.5051,2.4727,2.4273,2.47545,2.482
2018-03-10,11:20:00,2.54475,2.51625,2.47325,2.52115,2.5246
2018-03-10,11:40:00,2.5701,2.54035,2.4993,2.5452,2.5496
2018-03-10,12:00:00,2.5914,2.556,2.51565,2.56,2.5622
2018-03-10,12:20:00,2.59895,2.5666,2.52465,2.56865,2.5716
2018-03-10,12:40:00,2.57825,2.5488,2.5042,2.54575,2.5472
2018-03-10,13:00:00,2.5398,2.5086,2.46535,2.50345,2.50175
2018-03-10,13:20:00,2.4741,2.4194,2.4056,2.44225,2.4352
2018-03-10,13:40:00,2.37655,2.23715,2.31165,2.3476,2.3388
2018-03-10,14:00:00,2.26035,2.04775,2.199,2.2314,2.21965
2018-03-10,14:20:00,2.11795,1.9216,2.06175,2.0898,2.07435
2018-03-10,14:40:00,1.95065,1.75405,1.89695,1.92105,1.90115
2018-03-10,15:00:00,1.7932,1.62725,1.74165,1.76465,1.74035
2018-03-10,15:20:00,1.5972,1.44895,1.54715,1.5679,1.54095
2018-03-10,15:40:00,1.37105,1.03495,1.32345,1.34335,0.9093
2018-03-10,16:00:00,1.1302,0.7052,1.08605,0.9908,0.22335
2018-03-10,16:20:00,0.7868,0.39125,0.6464,0.252,0.15935
2018-03-10,16:40:00,0.19855,0.1475,0.15395,0.17005,0.12865
2018-03-10,17:00:00,0.12815,0.11785,0.1171,0.13505,0.0962
2018-03-10,17:20:00,0.08065,0.08485,0.072,0.0937,0.05935
2018-03-10,17:40:00,0.0256,0.0436,0.0182,0.0486,0.01435
2018-03-10,18:00:00,0.00035,0.0147,0,0.0149,5.0E-5
2018-03-10,18:20:00,0,0.0048,0,0.00535,0
2018-03-10,18:40:00,0,0,0,0,0
2018-03-10,19:00:00,0,0,0,0,0
2018-03-10,19:20:00,0,0,0,0,0
2018-03-10,19:40:00,0,0,0,0,0
2018-03-10,20:00:00,0,0,0,0,0
2018-03-10,20:20:00,0,0,0,0,0
2018-03-10,20:40:00,0,0,0,0,0
2018-03-10,21:00:00,0,0,0,0,0
2018-03-10,21:20:00,0,0,0,0,0
2018-03-10,21:40:00,0,0,0,0,0
2018-03-10,22:00:00,0,0,0,0,0
2018-03-10,22:20:00,0,0,0,0,0
2018-03-10,22:40:00,0,0,0,0,0
2018-03-10,23:00:00,0,0,0,0,0
2018-03-10,23:20:00,0,0,0,0,0
2018-03-10,23:40:00,0,0,0,0,0
