﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11Z1713000275紀志星1-PV-5000W-V 11Z1713000275,1211724000256紀志星2-PV-3000N-V 1211724000256
2018-04-12,00:00:00,0,0
2018-04-12,00:20:00,0,0
2018-04-12,00:40:00,0,0
2018-04-12,01:00:00,0,0
2018-04-12,01:20:00,0,0
2018-04-12,01:40:00,0,0
2018-04-12,02:00:00,0,0
2018-04-12,02:20:00,0,0
2018-04-12,02:40:00,0,0
2018-04-12,03:00:00,0,0
2018-04-12,03:20:00,0,0
2018-04-12,03:40:00,0,0
2018-04-12,04:00:00,0,0
2018-04-12,04:20:00,0,0
2018-04-12,04:40:00,0,0
2018-04-12,05:00:00,0,0
2018-04-12,05:20:00,0,0
2018-04-12,05:40:00,0,0
2018-04-12,06:00:00,0.1563,0.0726
2018-04-12,06:20:00,0.41505,0.19015
2018-04-12,06:40:00,0.51985,0.23305
2018-04-12,07:00:00,0.79175,0.3914
2018-04-12,07:20:00,1.0881,0.54075
2018-04-12,07:40:00,1.39305,0.7085
2018-04-12,08:00:00,1.509,0.7681
2018-04-12,08:20:00,1.9698,1.0092
2018-04-12,08:40:00,2.3677,1.19325
2018-04-12,09:00:00,1.8746,0.94135
2018-04-12,09:20:00,1.31755,0.6621
2018-04-12,09:40:00,1.22065,0.60945
2018-04-12,10:00:00,1.8659,0.94185
2018-04-12,10:20:00,1.72035,0.86815
2018-04-12,10:40:00,2.39425,1.20315
2018-04-12,11:00:00,3.20745,1.685
2018-04-12,11:20:00,2.8963,1.4899
2018-04-12,11:40:00,3.5196,1.82685
2018-04-12,12:00:00,4.11895,2.0446
2018-04-12,12:20:00,4.54655,2.2584
2018-04-12,12:40:00,4.4567,2.2124
2018-04-12,13:00:00,3.58355,1.78185
2018-04-12,13:20:00,4.3396,2.1426
2018-04-12,13:40:00,3.41375,1.6963
2018-04-12,14:00:00,3.9835,1.946
2018-04-12,14:20:00,3.4533,1.7105
2018-04-12,14:40:00,3.46465,1.70965
2018-04-12,15:00:00,3.1334,1.5307
2018-04-12,15:20:00,2.64285,1.28255
2018-04-12,15:40:00,2.33725,1.1368
2018-04-12,16:00:00,1.99815,0.9816
2018-04-12,16:20:00,1.5752,0.78045
2018-04-12,16:40:00,1.1336,0.55895
2018-04-12,17:00:00,0.762,0.37575
2018-04-12,17:20:00,0.4498,0.2203
2018-04-12,17:40:00,0.16515,0.077
2018-04-12,18:00:00,0.04545,0.0132
2018-04-12,18:20:00,0,0
2018-04-12,18:40:00,0,0
2018-04-12,19:00:00,0,0
2018-04-12,19:20:00,0,0
2018-04-12,19:40:00,0,0
2018-04-12,20:00:00,0,0
2018-04-12,20:20:00,0,0
2018-04-12,20:40:00,0,0
2018-04-12,21:00:00,0,0
2018-04-12,21:20:00,0,0
2018-04-12,21:40:00,0,0
2018-04-12,22:00:00,0,0
2018-04-12,22:20:00,0,0
2018-04-12,22:40:00,0,0
2018-04-12,23:00:00,0,0
2018-04-12,23:20:00,0,0
2018-04-12,23:40:00,0,0
