﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151428000083PV-5000W-V 1151428000083后里李聰棋,1151428000087PV-5000W-V 1151428000087后里李聰棋,1151428000108PV-5000W-V 1151428000108后里李聰棋,1151428000105PV-5000W-V 1151428000105后里李聰棋,1151428000106PV-5000W-V 1151428000106后里李聰棋,1151428000109PV-5000W-V 1151428000109后里李聰棋
2017-12-14,00:00:00,0,0,0,0,0,0
2017-12-14,00:20:00,0,0,0,0,0,0
2017-12-14,00:40:00,0,0,0,0,0,0
2017-12-14,01:00:00,0,0,0,0,0,0
2017-12-14,01:20:00,0,0,0,0,0,0
2017-12-14,01:40:00,0,0,0,0,0,0
2017-12-14,02:00:00,0,0,0,0,0,0
2017-12-14,02:20:00,0,0,0,0,0,0
2017-12-14,02:40:00,0,0,0,0,0,0
2017-12-14,03:00:00,0,0,0,0,0,0
2017-12-14,03:20:00,0,0,0,0,0,0
2017-12-14,03:40:00,0,0,0,0,0,0
2017-12-14,04:00:00,0,0,0,0,0,0
2017-12-14,04:20:00,0,0,0,0,0,0
2017-12-14,04:40:00,0,0,0,0,0,0
2017-12-14,05:00:00,0,0,0,0,0,0
2017-12-14,05:20:00,0,0,0,0,0,0
2017-12-14,05:40:00,0,0,0,0,0,0
2017-12-14,06:00:00,0,0,0,0,0,0
2017-12-14,06:20:00,0,0,0,0,0,0
2017-12-14,06:40:00,0.0208,0,0,0,0,0
2017-12-14,07:00:00,0.1258,0.0745,0.0586,0.06225,0.0391,0.07225
2017-12-14,07:20:00,0.31905,0.25535,0.2092,0.216,0.17745,0.1861
2017-12-14,07:40:00,0.67995,0.5431,0.4405,0.5107,0.4582,0.3011
2017-12-14,08:00:00,0.9427,0.8217,0.72,0.7842,0.7383,0.4231
2017-12-14,08:20:00,1.23345,1.08255,1.05085,1.05975,0.99425,0.5855
2017-12-14,08:40:00,1.5573,1.4042,1.37495,1.37875,1.30325,0.90205
2017-12-14,09:00:00,1.8217,1.6941,1.66085,1.65745,1.59965,1.2286
2017-12-14,09:20:00,2.03865,1.9112,1.8792,1.86825,1.84445,1.686
2017-12-14,09:40:00,2.2534,2.1481,2.1047,2.0904,2.06535,2.1018
2017-12-14,10:00:00,2.44775,2.34765,2.29715,2.27525,2.258,2.29405
2017-12-14,10:20:00,2.61095,2.53415,2.46915,2.44915,2.44105,2.46865
2017-12-14,10:40:00,2.72315,2.67635,2.6073,2.58275,2.5819,2.6033
2017-12-14,11:00:00,2.807,2.7815,2.7073,2.68875,2.6944,2.7141
2017-12-14,11:20:00,2.8609,2.8508,2.7736,2.75735,2.77345,2.7789
2017-12-14,11:40:00,2.8927,2.8827,2.80535,2.7805,2.7986,2.80305
2017-12-14,12:00:00,2.9385,2.91195,2.84015,2.80335,2.8366,2.8362
2017-12-14,12:20:00,2.91075,2.93895,2.86105,2.8362,2.8798,2.8671
2017-12-14,12:40:00,2.86025,2.90725,2.8396,2.81815,2.86095,2.85015
2017-12-14,13:00:00,2.7774,2.82815,2.76335,2.73805,2.79915,2.7709
2017-12-14,13:20:00,2.65585,2.71835,2.6679,2.64075,2.70715,2.67475
2017-12-14,13:40:00,2.50675,2.58255,2.54255,2.51555,2.593,2.5482
2017-12-14,14:00:00,2.3645,2.4371,2.39525,2.3684,2.44875,2.40315
2017-12-14,14:20:00,2.15195,2.2605,2.2269,2.2025,2.2829,2.2368
2017-12-14,14:40:00,1.9592,2.05535,2.03025,2.00685,2.0829,2.03875
2017-12-14,15:00:00,1.6424,1.8021,1.7843,1.76335,1.91315,1.79075
2017-12-14,15:20:00,1.0069,1.4654,1.45235,1.4328,1.5054,1.45925
2017-12-14,15:40:00,0.78265,0.63225,0.6146,0.61515,0.76395,0.62845
2017-12-14,16:00:00,0.48455,0.6512,0.6398,0.63195,0.74665,0.6517
2017-12-14,16:20:00,0.4173,0.61325,0.56605,0.59745,0.5151,0.61095
2017-12-14,16:40:00,0.1382,0.32165,0.25105,0.309,0.3381,0.32315
2017-12-14,17:00:00,0.03985,0.0892,0.07355,0.0824,0.1133,0.095
2017-12-14,17:20:00,0.0156,0.0197,0.0187,0.0166,0.02435,0.0197
2017-12-14,17:40:00,0.0035,0.01235,0.01285,0.0109,0.01575,0.0114
2017-12-14,18:00:00,0,0,0,0,0,0
2017-12-14,18:20:00,0,0,0,0,0,0
2017-12-14,18:40:00,0,0,0,0,0,0
2017-12-14,19:00:00,0,0,0,0,0,0
2017-12-14,19:20:00,0,0,0,0,0,0
2017-12-14,19:40:00,0,0,0,0,0,0
2017-12-14,20:00:00,0,0,0,0,0,0
2017-12-14,20:20:00,0,0,0,0,0,0
2017-12-14,20:40:00,0,0,0,0,0,0
2017-12-14,21:00:00,0,0,0,0,0,0
2017-12-14,21:20:00,0,0,0,0,0,0
2017-12-14,21:40:00,0,0,0,0,0,0
2017-12-14,22:00:00,0,0,0,0,0,0
2017-12-14,22:20:00,0,0,0,0,0,0
2017-12-14,22:40:00,0,0,0,0,0,0
2017-12-14,23:00:00,0,0,0,0,0,0
2017-12-14,23:20:00,0,0,0,0,0,0
2017-12-14,23:40:00,0,0,0,0,0,0
