﻿﻿﻿﻿﻿﻿﻿inDate,inTime,60Y1448000430PV-10000T-U 60Y1448000430彰濱建泰,60Y1448000420PV-10000T-U 60Y1448000420彰濱建泰,60Y1448000360PV-10000T-U 60Y1448000360彰濱建泰
2018-05-07,00:00:00,0,0,0
2018-05-07,00:20:00,0,0,0
2018-05-07,00:40:00,0,0,0
2018-05-07,01:00:00,0,0,0
2018-05-07,01:20:00,0,0,0
2018-05-07,01:40:00,0,0,0
2018-05-07,02:00:00,0,0,0
2018-05-07,02:20:00,0,0,0
2018-05-07,02:40:00,0,0,0
2018-05-07,03:00:00,0,0,0
2018-05-07,03:20:00,0,0,0
2018-05-07,03:40:00,0,0,0
2018-05-07,04:00:00,0,0,0
2018-05-07,04:20:00,0,0,0
2018-05-07,04:40:00,0,0,0
2018-05-07,05:00:00,0,0,0
2018-05-07,05:20:00,0.02815,0.02785,0.02985
2018-05-07,05:40:00,0.25875,0.257,0.26795
2018-05-07,06:00:00,0.7436,0.73855,0.78625
2018-05-07,06:20:00,1.06575,1.05025,1.12565
2018-05-07,06:40:00,1.20195,1.1846,1.2629
2018-05-07,07:00:00,1.49575,1.4738,1.56885
2018-05-07,07:20:00,1.90945,1.8787,2.00025
2018-05-07,07:40:00,2.3311,2.28905,2.4383
2018-05-07,08:00:00,2.74435,2.6984,2.8174
2018-05-07,08:20:00,2.5569,2.51045,2.67225
2018-05-07,08:40:00,1.7985,1.7716,1.8757
2018-05-07,09:00:00,2.7709,2.735,2.88485
2018-05-07,09:20:00,3.98525,3.92405,4.1218
2018-05-07,09:40:00,2.67205,2.6251,2.79015
2018-05-07,10:00:00,2.20215,2.1663,2.30105
2018-05-07,10:20:00,3.1042,3.0637,3.2153
2018-05-07,10:40:00,2.9049,2.8579,3.02765
2018-05-07,11:00:00,2.1539,2.11815,2.25145
2018-05-07,11:20:00,2.50635,2.4721,2.61395
2018-05-07,11:40:00,2.7647,2.72365,2.8795
2018-05-07,12:00:00,2.342,2.3076,2.4421
2018-05-07,12:20:00,1.8577,1.83075,1.93975
2018-05-07,12:40:00,1.6682,1.64505,1.74315
2018-05-07,13:00:00,1.1218,1.1079,1.1783
2018-05-07,13:20:00,2.04995,2.01905,2.134
2018-05-07,13:40:00,2.303,2.2652,2.397
2018-05-07,14:00:00,3.27,3.22015,3.3849
2018-05-07,14:20:00,3.38875,3.33645,3.5059
2018-05-07,14:40:00,1.6406,1.6168,1.71105
2018-05-07,15:00:00,3.4405,3.3895,3.5572
2018-05-07,15:20:00,2.85965,2.8199,2.9754
2018-05-07,15:40:00,1.54865,1.52665,1.62135
2018-05-07,16:00:00,1.18845,1.17255,1.3121
2018-05-07,16:20:00,1.2378,1.22225,1.2965
2018-05-07,16:40:00,1.1034,1.09085,1.15795
2018-05-07,17:00:00,0.86935,0.8589,0.9162
2018-05-07,17:20:00,0.57145,0.56605,0.6133
2018-05-07,17:40:00,0.35795,0.35185,0.38235
2018-05-07,18:00:00,0.07585,0.0862,0.10305
2018-05-07,18:20:00,0,0,0
2018-05-07,18:40:00,0,0,0
2018-05-07,19:00:00,0,0,0
2018-05-07,19:20:00,0,0,0
2018-05-07,19:40:00,0,0,0
2018-05-07,20:00:00,0,0,0
2018-05-07,20:20:00,0,0,0
2018-05-07,20:40:00,0,0,0
2018-05-07,21:00:00,0,0,0
2018-05-07,21:20:00,0,0,0
2018-05-07,21:40:00,0,0,0
2018-05-07,22:00:00,0,0,0
2018-05-07,22:20:00,0,0,0
2018-05-07,22:40:00,0,0,0
2018-05-07,23:00:00,0,0,0
2018-05-07,23:20:00,0,0,0
2018-05-07,23:40:00,0,0,0
