﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211746000545林玲華1-PV-3000N-V 1211746000545,1211746000526林玲華2-PV-3000N-V 1211746000526
2018-04-27,00:00:00,0,0
2018-04-27,00:20:00,0,0
2018-04-27,00:40:00,0,0
2018-04-27,01:00:00,0,0
2018-04-27,01:20:00,0,0
2018-04-27,01:40:00,0,0
2018-04-27,02:00:00,0,0
2018-04-27,02:20:00,0,0
2018-04-27,02:40:00,0,0
2018-04-27,03:00:00,0,0
2018-04-27,03:20:00,0,0
2018-04-27,03:40:00,0,0
2018-04-27,04:00:00,0,0
2018-04-27,04:20:00,0,0
2018-04-27,04:40:00,0,0
2018-04-27,05:00:00,0,0
2018-04-27,05:20:00,0,0
2018-04-27,05:40:00,0.07305,0.0643
2018-04-27,06:00:00,0.27045,0.26045
2018-04-27,06:20:00,0.4551,0.44505
2018-04-27,06:40:00,0.5527,0.54295
2018-04-27,07:00:00,0.8643,0.85735
2018-04-27,07:20:00,0.6301,0.62305
2018-04-27,07:40:00,0.6594,0.653
2018-04-27,08:00:00,0.8,0.7942
2018-04-27,08:20:00,1.07545,1.07045
2018-04-27,08:40:00,1.71805,1.71835
2018-04-27,09:00:00,1.9067,1.90795
2018-04-27,09:20:00,1.5777,1.58165
2018-04-27,09:40:00,2.276,2.28025
2018-04-27,10:00:00,1.95635,1.9577
2018-04-27,10:20:00,1.96645,1.97865
2018-04-27,10:40:00,2.26485,2.2991
2018-04-27,11:00:00,1.9442,1.9626
2018-04-27,11:20:00,2.10835,2.12425
2018-04-27,11:40:00,2.0845,2.1045
2018-04-27,12:00:00,2.11065,2.1307
2018-04-27,12:20:00,2.17925,2.20135
2018-04-27,12:40:00,1.9754,1.9962
2018-04-27,13:00:00,1.6873,1.7002
2018-04-27,13:20:00,1.7021,1.7148
2018-04-27,13:40:00,1.5548,1.56545
2018-04-27,14:00:00,1.2743,1.2812
2018-04-27,14:20:00,1.2641,1.2765
2018-04-27,14:40:00,1.70085,1.71905
2018-04-27,15:00:00,1.23145,1.23925
2018-04-27,15:20:00,0.95365,0.9538
2018-04-27,15:40:00,0.7764,0.77595
2018-04-27,16:00:00,0.6622,0.6737
2018-04-27,16:20:00,0.5914,0.6049
2018-04-27,16:40:00,0.48,0.52755
2018-04-27,17:00:00,0.29445,0.30605
2018-04-27,17:20:00,0.20885,0.2127
2018-04-27,17:40:00,0.11235,0.10575
2018-04-27,18:00:00,0.02755,0.0186
2018-04-27,18:20:00,0.00015,5.0E-5
2018-04-27,18:40:00,0,0
2018-04-27,19:00:00,0,0
2018-04-27,19:20:00,0,0
2018-04-27,19:40:00,0,0
2018-04-27,20:00:00,0,0
2018-04-27,20:20:00,0,0
2018-04-27,20:40:00,0,0
2018-04-27,21:00:00,0,0
2018-04-27,21:20:00,0,0
2018-04-27,21:40:00,0,0
2018-04-27,22:00:00,0,0
2018-04-27,22:20:00,0,0
2018-04-27,22:40:00,0,0
2018-04-27,23:00:00,0,0
2018-04-27,23:20:00,0,0
2018-04-27,23:40:00,0,0
