﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211746000545林玲華1-PV-3000N-V 1211746000545,1211746000526林玲華2-PV-3000N-V 1211746000526
2018-03-24,00:00:00,0,0
2018-03-24,00:20:00,0,0
2018-03-24,00:40:00,0,0
2018-03-24,01:00:00,0,0
2018-03-24,01:20:00,0,0
2018-03-24,01:40:00,0,0
2018-03-24,02:00:00,0,0
2018-03-24,02:20:00,0,0
2018-03-24,02:40:00,0,0
2018-03-24,03:00:00,0,0
2018-03-24,03:20:00,0,0
2018-03-24,03:40:00,0,0
2018-03-24,04:00:00,0,0
2018-03-24,04:20:00,0,0
2018-03-24,04:40:00,0,0
2018-03-24,05:00:00,0,0
2018-03-24,05:20:00,0,0
2018-03-24,05:40:00,0,0
2018-03-24,06:00:00,0.0234,0.0125
2018-03-24,06:20:00,0.13715,0.1236
2018-03-24,06:40:00,0.34435,0.32615
2018-03-24,07:00:00,0.5159,0.49615
2018-03-24,07:20:00,0.7255,0.707
2018-03-24,07:40:00,1.12945,1.10975
2018-03-24,08:00:00,1.4103,1.4001
2018-03-24,08:20:00,1.6669,1.659
2018-03-24,08:40:00,1.93165,1.9275
2018-03-24,09:00:00,2.15175,2.1505
2018-03-24,09:20:00,2.36265,2.3613
2018-03-24,09:40:00,2.52495,2.52375
2018-03-24,10:00:00,2.66615,2.6704
2018-03-24,10:20:00,2.77175,2.7766
2018-03-24,10:40:00,2.86885,2.871
2018-03-24,11:00:00,2.88855,2.89335
2018-03-24,11:20:00,3.0498,3.05725
2018-03-24,11:40:00,3.09625,3.10805
2018-03-24,12:00:00,3.1353,3.16135
2018-03-24,12:20:00,3.05265,3.10195
2018-03-24,12:40:00,2.93375,2.974
2018-03-24,13:00:00,2.96345,3.0006
2018-03-24,13:20:00,2.93155,2.96905
2018-03-24,13:40:00,2.88085,2.904
2018-03-24,14:00:00,2.6818,2.7007
2018-03-24,14:20:00,2.46665,2.47895
2018-03-24,14:40:00,2.3308,2.34365
2018-03-24,15:00:00,2.17195,2.18315
2018-03-24,15:20:00,1.9265,1.93415
2018-03-24,15:40:00,1.58275,1.6551
2018-03-24,16:00:00,1.08365,1.36375
2018-03-24,16:20:00,0.71375,1.0615
2018-03-24,16:40:00,0.521,0.7472
2018-03-24,17:00:00,0.2501,0.46255
2018-03-24,17:20:00,0.10175,0.21945
2018-03-24,17:40:00,0.0663,0.07425
2018-03-24,18:00:00,0.00645,0.003
2018-03-24,18:20:00,5.0E-5,0
2018-03-24,18:40:00,0,0
2018-03-24,19:00:00,0,0
2018-03-24,19:20:00,0,0
2018-03-24,19:40:00,0,0
2018-03-24,20:00:00,0,0
2018-03-24,20:20:00,0,0
2018-03-24,20:40:00,0,0
2018-03-24,21:00:00,0,0
2018-03-24,21:20:00,0,0
2018-03-24,21:40:00,0,0
2018-03-24,22:00:00,0,0
2018-03-24,22:20:00,0,0
2018-03-24,22:40:00,0,0
2018-03-24,23:00:00,0,0
2018-03-24,23:20:00,0,0
2018-03-24,23:40:00,0,0
