﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151428000071PV-5000W-V 1151428000071大甲澄朗,10N1431000143PV-3000N-V 10N1431000143大甲澄朗,10N1431000144PV-3000N-V 10N1431000144大甲澄朗,1151644000340PV-5000W-V 1151644000340大甲澄朗
2018-04-01,00:00:00,0,0,0,0
2018-04-01,00:20:00,0,0,0,0
2018-04-01,00:40:00,0,0,0,0
2018-04-01,01:00:00,0,0,0,0
2018-04-01,01:20:00,0,0,0,0
2018-04-01,01:40:00,0,0,0,0
2018-04-01,02:00:00,0,0,0,0
2018-04-01,02:20:00,0,0,0,0
2018-04-01,02:40:00,0,0,0,0
2018-04-01,03:00:00,0,0,0,0
2018-04-01,03:20:00,0,0,0,0
2018-04-01,03:40:00,0,0,0,0
2018-04-01,04:00:00,0,0,0,0
2018-04-01,04:20:00,0,0,0,0
2018-04-01,04:40:00,0,0,0,0
2018-04-01,05:00:00,0,0,0,0
2018-04-01,05:20:00,0,0,0,0
2018-04-01,05:40:00,0.0006,0,0,0
2018-04-01,06:00:00,0.0437,0.01965,5.0E-5,0.02955
2018-04-01,06:20:00,0.16915,0.1076,0.02475,0.1484
2018-04-01,06:40:00,0.5574,0.3512,0.24765,0.52175
2018-04-01,07:00:00,0.6196,0.3839,0.28315,0.57335
2018-04-01,07:20:00,0.8192,0.51115,0.4157,0.7766
2018-04-01,07:40:00,1.1743,0.72375,0.63465,1.1341
2018-04-01,08:00:00,1.2933,0.79135,0.7035,1.2254
2018-04-01,08:20:00,0.88295,0.54365,0.44795,0.7908
2018-04-01,08:40:00,0.9052,0.55935,0.4645,0.8123
2018-04-01,09:00:00,1.07255,0.6629,0.5705,0.98065
2018-04-01,09:20:00,1.51275,0.9303,0.8438,1.411
2018-04-01,09:40:00,1.6684,1.02045,0.9326,1.5472
2018-04-01,10:00:00,1.508,0.92275,0.8319,1.39515
2018-04-01,10:20:00,1.82175,1.11585,1.0354,1.73745
2018-04-01,10:40:00,2.23725,1.3711,1.29795,2.149
2018-04-01,11:00:00,3.1545,1.9144,1.861,3.1021
2018-04-01,11:20:00,3.78375,2.295,2.24785,3.767
2018-04-01,11:40:00,3.56885,2.1487,2.10455,3.5498
2018-04-01,12:00:00,3.8468,2.3246,2.28875,3.8437
2018-04-01,12:20:00,3.70515,2.2398,2.20315,3.7021
2018-04-01,12:40:00,3.7506,2.272,2.235,3.7425
2018-04-01,13:00:00,3.6114,2.18245,2.14445,3.57955
2018-04-01,13:20:00,3.52895,2.13585,2.09645,3.4989
2018-04-01,13:40:00,3.3866,2.04835,2.00425,3.34875
2018-04-01,14:00:00,3.20195,1.93345,1.8867,3.16085
2018-04-01,14:20:00,2.95015,1.7829,1.7298,2.8918
2018-04-01,14:40:00,2.6235,1.58715,1.52825,2.55825
2018-04-01,15:00:00,2.3351,1.4159,1.35175,2.2517
2018-04-01,15:20:00,2.0359,1.2365,1.16755,1.94805
2018-04-01,15:40:00,1.6935,1.0285,0.9545,1.5951
2018-04-01,16:00:00,1.38415,0.84305,0.7638,1.192
2018-04-01,16:20:00,1.07855,0.65885,0.574,0.87905
2018-04-01,16:40:00,0.7758,0.4772,0.3853,0.6475
2018-04-01,17:00:00,0.5312,0.33025,0.234,0.4505
2018-04-01,17:20:00,0.2958,0.18855,0.0876,0.25305
2018-04-01,17:40:00,0.11575,0.0737,0.00265,0.0886
2018-04-01,18:00:00,0.02105,0.00935,5.0E-5,0.0051
2018-04-01,18:20:00,0.0132,0.0017,0,0
2018-04-01,18:40:00,0,0,0,0
2018-04-01,19:00:00,0,0,0,0
2018-04-01,19:20:00,0,0,0,0
2018-04-01,19:40:00,0,0,0,0
2018-04-01,20:00:00,0,0,0,0
2018-04-01,20:20:00,0,0,0,0
2018-04-01,20:40:00,0,0,0,0
2018-04-01,21:00:00,0,0,0,0
2018-04-01,21:20:00,0,0,0,0
2018-04-01,21:40:00,0,0,0,0
2018-04-01,22:00:00,0,0,0,0
2018-04-01,22:20:00,0,0,0,0
2018-04-01,22:40:00,0,0,0,0
2018-04-01,23:00:00,0,0,0,0
2018-04-01,23:20:00,0,0,0,0
2018-04-01,23:40:00,0,0,0,0
