﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11O1743001504謝聰旗1-PV-5000W-HV 11O1743001504,1211740000461謝聰旗2-PV-3000N-V 1211740000461
2018-04-26,00:00:00,0,0
2018-04-26,00:20:00,0,0
2018-04-26,00:40:00,0,0
2018-04-26,01:00:00,0,0
2018-04-26,01:20:00,0,0
2018-04-26,01:40:00,0,0
2018-04-26,02:00:00,0,0
2018-04-26,02:20:00,0,0
2018-04-26,02:40:00,0,0
2018-04-26,03:00:00,0,0
2018-04-26,03:20:00,0,0
2018-04-26,03:40:00,0,0
2018-04-26,04:00:00,0,0
2018-04-26,04:20:00,0,0
2018-04-26,04:40:00,0,0
2018-04-26,05:00:00,0,0
2018-04-26,05:20:00,0,0
2018-04-26,05:40:00,0.0436,0.02125
2018-04-26,06:00:00,0.1592,0.10405
2018-04-26,06:20:00,0.2198,0.15425
2018-04-26,06:40:00,0.3927,0.3798
2018-04-26,07:00:00,0.57435,0.55095
2018-04-26,07:20:00,0.8355,0.72015
2018-04-26,07:40:00,0.9808,0.8565
2018-04-26,08:00:00,1.3037,0.80405
2018-04-26,08:20:00,1.3314,0.77665
2018-04-26,08:40:00,1.5865,1.05505
2018-04-26,09:00:00,2.34215,1.4626
2018-04-26,09:20:00,1.82835,1.0952
2018-04-26,09:40:00,2.1786,1.27415
2018-04-26,10:00:00,2.48715,1.43975
2018-04-26,10:20:00,3.3969,1.89735
2018-04-26,10:40:00,3.84585,2.0988
2018-04-26,11:00:00,4.00285,2.15495
2018-04-26,11:20:00,4.0801,2.1698
2018-04-26,11:40:00,4.09795,2.17855
2018-04-26,12:00:00,4.19065,2.22125
2018-04-26,12:20:00,4.0275,2.1331
2018-04-26,12:40:00,3.5559,1.88845
2018-04-26,13:00:00,3.6685,1.96385
2018-04-26,13:20:00,2.70685,1.4611
2018-04-26,13:40:00,2.3556,1.28535
2018-04-26,14:00:00,3.4821,1.85785
2018-04-26,14:20:00,2.63055,1.4038
2018-04-26,14:40:00,1.9479,1.0491
2018-04-26,15:00:00,1.2695,0.71885
2018-04-26,15:20:00,1.2523,0.69625
2018-04-26,15:40:00,1.24895,0.67225
2018-04-26,16:00:00,0.67665,0.36495
2018-04-26,16:20:00,0.4947,0.2672
2018-04-26,16:40:00,0.572,0.30695
2018-04-26,17:00:00,0.7944,0.42545
2018-04-26,17:20:00,0.30875,0.1834
2018-04-26,17:40:00,0.258,0.1407
2018-04-26,18:00:00,0.08025,0.0371
2018-04-26,18:20:00,0.01405,0.0008
2018-04-26,18:40:00,0.0032,0
2018-04-26,19:00:00,0,0
2018-04-26,19:20:00,0,0
2018-04-26,19:40:00,0,0
2018-04-26,20:00:00,0,0
2018-04-26,20:20:00,0,0
2018-04-26,20:40:00,0,0
2018-04-26,21:00:00,0,0
2018-04-26,21:20:00,0,0
2018-04-26,21:40:00,0,0
2018-04-26,22:00:00,0,0
2018-04-26,22:20:00,0,0
2018-04-26,22:40:00,0,0
2018-04-26,23:00:00,0,0
2018-04-26,23:20:00,0,0
2018-04-26,23:40:00,0,0
