﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10L1450000065PV-4000W-V 10L1450000065
2018-04-23,00:00:00,0
2018-04-23,00:20:00,0
2018-04-23,00:40:00,0
2018-04-23,01:00:00,0
2018-04-23,01:20:00,0
2018-04-23,01:40:00,0
2018-04-23,02:00:00,0
2018-04-23,02:20:00,0
2018-04-23,02:40:00,0
2018-04-23,03:00:00,0
2018-04-23,03:20:00,0
2018-04-23,03:40:00,0
2018-04-23,04:00:00,0
2018-04-23,04:20:00,0
2018-04-23,04:40:00,0
2018-04-23,05:00:00,0
2018-04-23,05:20:00,0
2018-04-23,05:40:00,0.056
2018-04-23,06:00:00,0.1387
2018-04-23,06:20:00,0.26
2018-04-23,06:40:00,0.50115
2018-04-23,07:00:00,0.581
2018-04-23,07:20:00,0.94945
2018-04-23,07:40:00,1.03435
2018-04-23,08:00:00,0.906
2018-04-23,08:20:00,1.4082
2018-04-23,08:40:00,2.1604
2018-04-23,09:00:00,2.23965
2018-04-23,09:20:00,2.62365
2018-04-23,09:40:00,2.5497
2018-04-23,10:00:00,2.79845
2018-04-23,10:20:00,2.9617
2018-04-23,10:40:00,3.08285
2018-04-23,11:00:00,3.02965
2018-04-23,11:20:00,3.05645
2018-04-23,11:40:00,3.33905
2018-04-23,12:00:00,3.4147
2018-04-23,12:20:00,2.6306
2018-04-23,12:40:00,3.3569
2018-04-23,13:00:00,3.31685
2018-04-23,13:20:00,1.2059
2018-04-23,13:40:00,2.16895
2018-04-23,14:00:00,2.2077
2018-04-23,14:20:00,2.4723
2018-04-23,14:40:00,1.5347
2018-04-23,15:00:00,1.51225
2018-04-23,15:20:00,1.07875
2018-04-23,15:40:00,0.313
2018-04-23,16:00:00,0.2878
2018-04-23,16:20:00,0.1741
2018-04-23,16:40:00,0.0639
2018-04-23,17:00:00,0.0964
2018-04-23,17:20:00,0.3658
2018-04-23,17:40:00,0.22745
2018-04-23,18:00:00,0.0252
2018-04-23,18:20:00,0.00685
2018-04-23,18:40:00,0
2018-04-23,19:00:00,0
2018-04-23,19:20:00,0
2018-04-23,19:40:00,0
2018-04-23,20:00:00,0
2018-04-23,20:20:00,0
2018-04-23,20:40:00,0
2018-04-23,21:00:00,0
2018-04-23,21:20:00,0
2018-04-23,21:40:00,0
2018-04-23,22:00:00,0
2018-04-23,22:20:00,0
2018-04-23,22:40:00,0
2018-04-23,23:00:00,0
2018-04-23,23:20:00,0
2018-04-23,23:40:00,0
