﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211746000545林玲華1-PV-3000N-V 1211746000545,1211746000526林玲華2-PV-3000N-V 1211746000526
2018-02-07,00:00:00,0,0
2018-02-07,00:20:00,0,0
2018-02-07,00:40:00,0,0
2018-02-07,01:00:00,0,0
2018-02-07,01:20:00,0,0
2018-02-07,01:40:00,0,0
2018-02-07,02:00:00,0,0
2018-02-07,02:20:00,0,0
2018-02-07,02:40:00,0,0
2018-02-07,03:00:00,0,0
2018-02-07,03:20:00,0,0
2018-02-07,03:40:00,0,0
2018-02-07,04:00:00,0,0
2018-02-07,04:20:00,0,0
2018-02-07,04:40:00,0,0
2018-02-07,05:00:00,0,0
2018-02-07,05:20:00,0,0
2018-02-07,05:40:00,0,0
2018-02-07,06:00:00,0,0
2018-02-07,06:20:00,0,0
2018-02-07,06:40:00,5.0E-5,0
2018-02-07,07:00:00,0.04585,0.03365
2018-02-07,07:20:00,0.10895,0.09705
2018-02-07,07:40:00,0.20195,0.19165
2018-02-07,08:00:00,0.17105,0.16025
2018-02-07,08:20:00,0.2745,0.265
2018-02-07,08:40:00,0.29015,0.2801
2018-02-07,09:00:00,0.2075,0.1974
2018-02-07,09:20:00,0.2012,0.19105
2018-02-07,09:40:00,0.18395,0.17395
2018-02-07,10:00:00,0.2762,0.26735
2018-02-07,10:20:00,0.3384,0.32935
2018-02-07,10:40:00,0.50915,0.50155
2018-02-07,11:00:00,0.58375,0.57655
2018-02-07,11:20:00,0.5842,0.5765
2018-02-07,11:40:00,0.618,0.61045
2018-02-07,12:00:00,0.5364,0.5297
2018-02-07,12:20:00,0.5402,0.533
2018-02-07,12:40:00,0.45595,0.44805
2018-02-07,13:00:00,0.46625,0.45855
2018-02-07,13:20:00,0.3471,0.3385
2018-02-07,13:40:00,0.3519,0.34355
2018-02-07,14:00:00,0.31315,0.30395
2018-02-07,14:20:00,0.2525,0.2427
2018-02-07,14:40:00,0.26025,0.25065
2018-02-07,15:00:00,0.16355,0.15325
2018-02-07,15:20:00,0.16845,0.1582
2018-02-07,15:40:00,0.1584,0.14795
2018-02-07,16:00:00,0.15165,0.14155
2018-02-07,16:20:00,0.07185,0.062
2018-02-07,16:40:00,0.03345,0.0213
2018-02-07,17:00:00,0.0133,0.0039
2018-02-07,17:20:00,0.00185,0.0004
2018-02-07,17:40:00,0.0001,0.0001
2018-02-07,18:00:00,0,0
2018-02-07,18:20:00,0,0
2018-02-07,18:40:00,0,0
2018-02-07,19:00:00,0,0
2018-02-07,19:20:00,0,0
2018-02-07,19:40:00,0,0
2018-02-07,20:00:00,0,0
2018-02-07,20:20:00,0,0
2018-02-07,20:40:00,0,0
2018-02-07,21:00:00,0,0
2018-02-07,21:20:00,0,0
2018-02-07,21:40:00,0,0
2018-02-07,22:00:00,0,0
2018-02-07,22:20:00,0,0
2018-02-07,22:40:00,0,0
2018-02-07,23:00:00,0,0
2018-02-07,23:20:00,0,0
2018-02-07,23:40:00,0,0
