﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11O1743001504謝聰旗1-PV-5000W-HV 11O1743001504,1211740000461謝聰旗2-PV-3000N-V 1211740000461
2018-04-25,00:00:00,0,0
2018-04-25,00:20:00,0,0
2018-04-25,00:40:00,0,0
2018-04-25,01:00:00,0,0
2018-04-25,01:20:00,0,0
2018-04-25,01:40:00,0,0
2018-04-25,02:00:00,0,0
2018-04-25,02:20:00,0,0
2018-04-25,02:40:00,0,0
2018-04-25,03:00:00,0,0
2018-04-25,03:20:00,0,0
2018-04-25,03:40:00,0,0
2018-04-25,04:00:00,0,0
2018-04-25,04:20:00,0,0
2018-04-25,04:40:00,0,0
2018-04-25,05:00:00,0,0
2018-04-25,05:20:00,0,0
2018-04-25,05:40:00,0.03405,0.01215
2018-04-25,06:00:00,0.07805,0.03875
2018-04-25,06:20:00,0.1018,0.06495
2018-04-25,06:40:00,0.30165,0.2069
2018-04-25,07:00:00,0.39505,0.5808
2018-04-25,07:20:00,0.466,0.79765
2018-04-25,07:40:00,0.5482,1.00215
2018-04-25,08:00:00,1.13365,1.23345
2018-04-25,08:20:00,1.928,1.428
2018-04-25,08:40:00,2.16635,1.41295
2018-04-25,09:00:00,2.0295,1.22565
2018-04-25,09:20:00,1.8315,1.0519
2018-04-25,09:40:00,1.90225,1.08255
2018-04-25,10:00:00,1.5899,0.89965
2018-04-25,10:20:00,1.48675,0.87475
2018-04-25,10:40:00,2.08645,1.21305
2018-04-25,11:00:00,2.58055,1.44965
2018-04-25,11:20:00,4.04665,2.1797
2018-04-25,11:40:00,4.43155,2.3584
2018-04-25,12:00:00,4.41245,2.34605
2018-04-25,12:20:00,3.99715,2.13185
2018-04-25,12:40:00,2.41455,1.33195
2018-04-25,13:00:00,2.34,1.26525
2018-04-25,13:20:00,2.7219,1.4684
2018-04-25,13:40:00,1.884,1.04635
2018-04-25,14:00:00,2.6208,1.40285
2018-04-25,14:20:00,3.02265,1.60515
2018-04-25,14:40:00,2.97675,1.5884
2018-04-25,15:00:00,2.518,1.3429
2018-04-25,15:20:00,1.88275,1.00625
2018-04-25,15:40:00,2.3728,1.2591
2018-04-25,16:00:00,1.17225,0.6405
2018-04-25,16:20:00,0.90915,0.50165
2018-04-25,16:40:00,0.5371,0.29875
2018-04-25,17:00:00,0.339,0.1908
2018-04-25,17:20:00,0.1426,0.0796
2018-04-25,17:40:00,0.0726,0.0315
2018-04-25,18:00:00,0.03655,0.01045
2018-04-25,18:20:00,0.01005,0
2018-04-25,18:40:00,0.0023,0
2018-04-25,19:00:00,0,0
2018-04-25,19:20:00,0,0
2018-04-25,19:40:00,0,0
2018-04-25,20:00:00,0,0
2018-04-25,20:20:00,0,0
2018-04-25,20:40:00,0,0
2018-04-25,21:00:00,0,0
2018-04-25,21:20:00,0,0
2018-04-25,21:40:00,0,0
2018-04-25,22:00:00,0,0
2018-04-25,22:20:00,0,0
2018-04-25,22:40:00,0,0
2018-04-25,23:00:00,0,0
2018-04-25,23:20:00,0,0
2018-04-25,23:40:00,0,0
