﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10L1450000065PV-4000W-V 10L1450000065
2017-12-29,00:00:00,0
2017-12-29,00:20:00,0
2017-12-29,00:40:00,0
2017-12-29,01:00:00,0
2017-12-29,01:20:00,0
2017-12-29,01:40:00,0
2017-12-29,02:00:00,0
2017-12-29,02:20:00,0
2017-12-29,02:40:00,0
2017-12-29,03:00:00,0
2017-12-29,03:20:00,0
2017-12-29,03:40:00,0
2017-12-29,04:00:00,0
2017-12-29,04:20:00,0
2017-12-29,04:40:00,0
2017-12-29,05:00:00,0
2017-12-29,05:20:00,0
2017-12-29,05:40:00,0
2017-12-29,06:00:00,0
2017-12-29,06:20:00,0
2017-12-29,06:40:00,0.01085
2017-12-29,07:00:00,0.0506
2017-12-29,07:20:00,0.09425
2017-12-29,07:40:00,0.1946
2017-12-29,08:00:00,0.29915
2017-12-29,08:20:00,0.35295
2017-12-29,08:40:00,0.28955
2017-12-29,09:00:00,0.41215
2017-12-29,09:20:00,1.75655
2017-12-29,09:40:00,1.9491
2017-12-29,10:00:00,2.11535
2017-12-29,10:20:00,2.2666
2017-12-29,10:40:00,2.395
2017-12-29,11:00:00,2.5029
2017-12-29,11:20:00,2.55655
2017-12-29,11:40:00,2.59315
2017-12-29,12:00:00,2.6318
2017-12-29,12:20:00,2.61205
2017-12-29,12:40:00,2.5518
2017-12-29,13:00:00,2.48625
2017-12-29,13:20:00,2.3966
2017-12-29,13:40:00,2.28125
2017-12-29,14:00:00,2.14685
2017-12-29,14:20:00,1.9954
2017-12-29,14:40:00,1.77705
2017-12-29,15:00:00,1.56555
2017-12-29,15:20:00,1.29645
2017-12-29,15:40:00,1.03255
2017-12-29,16:00:00,0.69615
2017-12-29,16:20:00,0.4064
2017-12-29,16:40:00,0.1718
2017-12-29,17:00:00,0.0435
2017-12-29,17:20:00,0.0114
2017-12-29,17:40:00,0
2017-12-29,18:00:00,0
2017-12-29,18:20:00,0
2017-12-29,18:40:00,0
2017-12-29,19:00:00,0
2017-12-29,19:20:00,0
2017-12-29,19:40:00,0
2017-12-29,20:00:00,0
2017-12-29,20:20:00,0
2017-12-29,20:40:00,0
2017-12-29,21:00:00,0
2017-12-29,21:20:00,0
2017-12-29,21:40:00,0
2017-12-29,22:00:00,0
2017-12-29,22:20:00,0
2017-12-29,22:40:00,0
2017-12-29,23:00:00,0
2017-12-29,23:20:00,0
2017-12-29,23:40:00,0
