﻿﻿﻿﻿﻿﻿﻿inDate,inTime,60Y1448000430PV-10000T-U 60Y1448000430彰濱建泰,60Y1448000420PV-10000T-U 60Y1448000420彰濱建泰,60Y1448000360PV-10000T-U 60Y1448000360彰濱建泰
2018-02-25,00:00:00,0,0,0
2018-02-25,00:20:00,0,0,0
2018-02-25,00:40:00,0,0,0
2018-02-25,01:00:00,0,0,0
2018-02-25,01:20:00,0,0,0
2018-02-25,01:40:00,0,0,0
2018-02-25,02:00:00,0,0,0
2018-02-25,02:20:00,0,0,0
2018-02-25,02:40:00,0,0,0
2018-02-25,03:00:00,0,0,0
2018-02-25,03:20:00,0,0,0
2018-02-25,03:40:00,0,0,0
2018-02-25,04:00:00,0,0,0
2018-02-25,04:20:00,0,0,0
2018-02-25,04:40:00,0,0,0
2018-02-25,05:00:00,0,0,0
2018-02-25,05:20:00,0,0,0
2018-02-25,05:40:00,0,0,0
2018-02-25,06:00:00,0,0,0
2018-02-25,06:20:00,0,0,0.0295
2018-02-25,06:40:00,0.23395,0.235,0.25865
2018-02-25,07:00:00,0.4649,0.46635,0.50225
2018-02-25,07:20:00,0.7532,0.7416,0.79715
2018-02-25,07:40:00,0.9499,0.9888,0.99715
2018-02-25,08:00:00,1.1064,1.09345,1.1595
2018-02-25,08:20:00,1.98415,1.9662,2.05775
2018-02-25,08:40:00,2.74845,2.7417,2.8354
2018-02-25,09:00:00,3.2008,3.20485,3.2603
2018-02-25,09:20:00,3.6301,3.6225,3.73225
2018-02-25,09:40:00,3.2242,3.2091,3.3249
2018-02-25,10:00:00,5.7115,5.6756,5.76005
2018-02-25,10:20:00,4.18825,4.1692,4.2847
2018-02-25,10:40:00,6.37785,6.37705,6.44465
2018-02-25,11:00:00,5.2765,5.26185,5.34865
2018-02-25,11:20:00,5.9044,5.8705,5.96755
2018-02-25,11:40:00,3.96255,3.9381,4.05205
2018-02-25,12:00:00,5.742,5.72415,5.80535
2018-02-25,12:20:00,6.73175,6.6878,6.7705
2018-02-25,12:40:00,5.9256,5.9033,5.93165
2018-02-25,13:00:00,5.4208,5.41575,5.5047
2018-02-25,13:20:00,5.50475,5.49145,5.6207
2018-02-25,13:40:00,2.8169,2.79465,2.9115
2018-02-25,14:00:00,3.0652,3.04325,3.15805
2018-02-25,14:20:00,3.45715,3.4331,3.5379
2018-02-25,14:40:00,3.0234,2.9964,3.1495
2018-02-25,15:00:00,2.3304,2.32255,2.40285
2018-02-25,15:20:00,1.4678,1.45025,1.50185
2018-02-25,15:40:00,1.7083,1.6863,1.7425
2018-02-25,16:00:00,1.8583,1.8502,1.93025
2018-02-25,16:20:00,2.33,2.3344,2.38925
2018-02-25,16:40:00,1.52275,1.5184,1.5827
2018-02-25,17:00:00,0.87485,0.87115,0.91605
2018-02-25,17:20:00,0.2426,0.24665,0.2566
2018-02-25,17:40:00,0.0043,0.0323,0.10685
2018-02-25,18:00:00,0,0,0
2018-02-25,18:20:00,0,0,0
2018-02-25,18:40:00,0,0,0
2018-02-25,19:00:00,0,0,0
2018-02-25,19:20:00,0,0,0
2018-02-25,19:40:00,0,0,0
2018-02-25,20:00:00,0,0,0
2018-02-25,20:20:00,0,0,0
2018-02-25,20:40:00,0,0,0
2018-02-25,21:00:00,0,0,0
2018-02-25,21:20:00,0,0,0
2018-02-25,21:40:00,0,0,0
2018-02-25,22:00:00,0,0,0
2018-02-25,22:20:00,0,0,0
2018-02-25,22:40:00,0,0,0
2018-02-25,23:00:00,0,0,0
2018-02-25,23:20:00,0,0,0
2018-02-25,23:40:00,0,0,0
