﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211743000499曾泓喻1-PV-3000N-V 1211743000499,1211743000510曾泓喻2-PV-3000N-V 1211743000510,1211743000520曾泓喻3-PV-3000N-V 1211743000520,1211743000521曾泓喻4-PV-3000N-V 1211743000521,1211746000539曾泓喻5-PV-3000N-V 1211746000539,1211743000504曾泓喻6-PV-3000N-V 1211743000504,1211743000505曾泓喻7-PV-3000N-V 1211743000505,1211743000507曾泓喻8-PV-3000N-V 1211743000507
2018-04-02,00:00:00,0,0,0,0,0,0,0,0
2018-04-02,00:20:00,0,0,0,0,0,0,0,0
2018-04-02,00:40:00,0,0,0,0,0,0,0,0
2018-04-02,01:00:00,0,0,0,0,0,0,0,0
2018-04-02,01:20:00,0,0,0,0,0,0,0,0
2018-04-02,01:40:00,0,0,0,0,0,0,0,0
2018-04-02,02:00:00,0,0,0,0,0,0,0,0
2018-04-02,02:20:00,0,0,0,0,0,0,0,0
2018-04-02,02:40:00,0,0,0,0,0,0,0,0
2018-04-02,03:00:00,0,0,0,0,0,0,0,0
2018-04-02,03:20:00,0,0,0,0,0,0,0,0
2018-04-02,03:40:00,0,0,0,0,0,0,0,0
2018-04-02,04:00:00,0,0,0,0,0,0,0,0
2018-04-02,04:20:00,0,0,0,0,0,0,0,0
2018-04-02,04:40:00,0,0,0,0,0,0,0,0
2018-04-02,05:00:00,0,0,0,0,0,0,0,0
2018-04-02,05:20:00,0,0,0,0,0,0,0,0
2018-04-02,05:40:00,0.0006,0.00055,5.0E-5,0.00705,0.0007,0.00125,0,0
2018-04-02,06:00:00,0.05675,0.0531,0.0435,0.07795,0.04925,0.05065,0.03315,0.0532
2018-04-02,06:20:00,0.1678,0.16115,0.15685,0.20055,0.16015,0.16135,0.1626,0.18475
2018-04-02,06:40:00,0.25805,0.2484,0.2493,0.30085,0.25,0.24945,0.269,0.2884
2018-04-02,07:00:00,0.3809,0.3673,0.37575,0.43965,0.3743,0.3719,0.41955,0.43905
2018-04-02,07:20:00,0.70925,0.68665,0.70825,0.79755,0.70375,0.70235,0.8338,0.8426
2018-04-02,07:40:00,0.86885,0.84125,0.86765,0.96865,0.86245,0.86375,1.03455,1.04045
2018-04-02,08:00:00,0.98795,0.95695,0.9874,1.0977,0.98295,0.98625,1.17735,1.1878
2018-04-02,08:20:00,1.1413,1.1076,1.143,1.26525,1.13885,1.14255,1.367,1.36105
2018-04-02,08:40:00,0.7608,0.7396,0.7582,0.8472,0.75395,0.75975,0.89575,0.89815
2018-04-02,09:00:00,1.0058,0.97575,1.00485,1.11485,0.9975,0.99995,1.18355,1.19735
2018-04-02,09:20:00,1.32115,1.2896,1.321,1.4644,1.32795,1.33695,1.5801,1.58675
