﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1638000173PV-5000W-V 10D1638000173陳慶修#1,1151449000296PV-5000W-V 1151449000296陳慶修#2,10D1638000183PV-5000W-V 10D1638000183陳慶修#3
2018-05-01,00:00:00,0,0,0
2018-05-01,00:20:00,0,0,0
2018-05-01,00:40:00,0,0,0
2018-05-01,01:00:00,0,0,0
2018-05-01,01:20:00,0,0,0
2018-05-01,01:40:00,0,0,0
2018-05-01,02:00:00,0,0,0
2018-05-01,02:20:00,0,0,0
2018-05-01,02:40:00,0,0,0
2018-05-01,03:00:00,0,0,0
2018-05-01,03:20:00,0,0,0
2018-05-01,03:40:00,0,0,0
2018-05-01,04:00:00,0,0,0
2018-05-01,04:20:00,0,0,0
2018-05-01,04:40:00,0,0,0
2018-05-01,05:00:00,0,0,0
2018-05-01,05:20:00,0,5.0E-5,0
2018-05-01,05:40:00,0.03635,0.064,0.0427
2018-05-01,06:00:00,0.279,0.30975,0.29785
2018-05-01,06:20:00,0.1205,0.154,0.1251
2018-05-01,06:40:00,0.25825,0.2936,0.2605
2018-05-01,07:00:00,0.45735,0.47445,0.4391
2018-05-01,07:20:00,0.9844,1.0032,0.99305
2018-05-01,07:40:00,1.4978,1.41825,1.43155
2018-05-01,08:00:00,1.7542,1.8738,1.84835
2018-05-01,08:20:00,1.1506,1.17525,1.1349
2018-05-01,08:40:00,2.3593,2.31935,2.2809
2018-05-01,09:00:00,1.98885,2.09845,2.05475
2018-05-01,09:20:00,1.95535,1.95015,1.9091
2018-05-01,09:40:00,2.39865,2.4347,2.3855
2018-05-01,10:00:00,2.69255,2.7565,2.6951
2018-05-01,10:20:00,1.92825,1.96315,1.8938
2018-05-01,10:40:00,2.81615,2.8322,2.7539
2018-05-01,11:00:00,2.2003,2.18235,2.12055
2018-05-01,11:20:00,2.62115,2.68155,2.6182
2018-05-01,11:40:00,2.30295,2.3259,2.2714
2018-05-01,12:00:00,2.41685,2.4191,2.33605
2018-05-01,12:20:00,2.34855,2.3586,2.29435
2018-05-01,12:40:00,3.3801,3.257,3.1858
2018-05-01,13:00:00,2.74115,2.79235,2.6826
2018-05-01,13:20:00,3.25305,3.34445,3.2596
2018-05-01,13:40:00,3.28235,3.27215,3.17825
2018-05-01,14:00:00,3.61465,3.49435,3.39635
2018-05-01,14:20:00,2.7522,2.79375,2.5924
2018-05-01,14:40:00,3.24605,3.26615,2.8801
2018-05-01,15:00:00,2.07645,2.1648,1.8339
2018-05-01,15:20:00,1.84815,1.8881,1.52895
2018-05-01,15:40:00,1.8021,1.774,1.45715
2018-05-01,16:00:00,1.5362,1.58375,1.27245
2018-05-01,16:20:00,1.3079,1.36385,1.0743
2018-05-01,16:40:00,0.8926,0.94855,0.71055
2018-05-01,17:00:00,0.68295,0.70315,0.48665
2018-05-01,17:20:00,0.38555,0.4305,0.2994
2018-05-01,17:40:00,0.1786,0.22265,0.1509
2018-05-01,18:00:00,0.0246,0.05795,0.0253
2018-05-01,18:20:00,0,5.0E-5,0
2018-05-01,18:40:00,0,0,0
2018-05-01,19:00:00,0,0,0
2018-05-01,19:20:00,0,0,0
2018-05-01,19:40:00,0,0,0
2018-05-01,20:00:00,0,0,0
2018-05-01,20:20:00,0,0,0
2018-05-01,20:40:00,0,0,0
2018-05-01,21:00:00,0,0,0
2018-05-01,21:20:00,0,0,0
2018-05-01,21:40:00,0,0,0
2018-05-01,22:00:00,0,0,0
2018-05-01,22:20:00,0,0,0
2018-05-01,22:40:00,0,0,0
2018-05-01,23:00:00,0,0,0
2018-05-01,23:20:00,0,0,0
2018-05-01,23:40:00,0,0,0
