﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11Z1713000275紀志星1-PV-5000W-V 11Z1713000275,1211724000256紀志星2-PV-3000N-V 1211724000256
2018-04-04,00:00:00,0,0
2018-04-04,00:20:00,0,0
2018-04-04,00:40:00,0,0
2018-04-04,01:00:00,0,0
2018-04-04,01:20:00,0,0
2018-04-04,01:40:00,0,0
2018-04-04,02:00:00,0,0
2018-04-04,02:20:00,0,0
2018-04-04,02:40:00,0,0
2018-04-04,03:00:00,0,0
2018-04-04,03:20:00,0,0
2018-04-04,03:40:00,0,0
2018-04-04,04:00:00,0,0
2018-04-04,04:20:00,0,0
2018-04-04,04:40:00,0,0
2018-04-04,05:00:00,0,0
2018-04-04,05:20:00,0,0
2018-04-04,05:40:00,0,0
2018-04-04,06:00:00,0.0575,0.0206
2018-04-04,06:20:00,0.18895,0.0871
2018-04-04,06:40:00,0.2884,0.135
2018-04-04,07:00:00,0.39125,0.1901
2018-04-04,07:20:00,0.59635,0.29125
2018-04-04,07:40:00,0.8931,0.4366
2018-04-04,08:00:00,1.3541,0.67155
2018-04-04,08:20:00,1.80155,0.9054
2018-04-04,08:40:00,2.2261,1.12075
2018-04-04,09:00:00,2.8164,1.4203
2018-04-04,09:20:00,2.43725,1.21815
2018-04-04,09:40:00,1.76215,0.87065
2018-04-04,10:00:00,3.32235,1.6592
2018-04-04,10:20:00,3.21615,1.59825
2018-04-04,10:40:00,3.11385,1.55875
2018-04-04,11:00:00,3.0855,1.53975
2018-04-04,11:20:00,3.10515,1.53715
2018-04-04,11:40:00,4.3034,2.14515
2018-04-04,12:00:00,4.6005,2.28745
2018-04-04,12:20:00,4.61055,2.2921
2018-04-04,12:40:00,4.4463,2.21105
2018-04-04,13:00:00,4.2415,2.1051
2018-04-04,13:20:00,4.1292,2.0577
2018-04-04,13:40:00,3.94765,1.96855
2018-04-04,14:00:00,3.7764,1.8863
2018-04-04,14:20:00,3.57925,1.78355
2018-04-04,14:40:00,3.2845,1.6411
2018-04-04,15:00:00,3.0078,1.4992
2018-04-04,15:20:00,2.64375,1.32365
2018-04-04,15:40:00,2.26775,1.1356
2018-04-04,16:00:00,1.8921,0.94635
2018-04-04,16:20:00,1.5105,0.76345
2018-04-04,16:40:00,1.10715,0.5526
2018-04-04,17:00:00,0.7446,0.36945
2018-04-04,17:20:00,0.42325,0.20865
2018-04-04,17:40:00,0.18565,0.0881
2018-04-04,18:00:00,0.04315,0.0128
2018-04-04,18:20:00,0,0
2018-04-04,18:40:00,0,0
2018-04-04,19:00:00,0,0
2018-04-04,19:20:00,0,0
2018-04-04,19:40:00,0,0
2018-04-04,20:00:00,0,0
2018-04-04,20:20:00,0,0
2018-04-04,20:40:00,0,0
2018-04-04,21:00:00,0,0
2018-04-04,21:20:00,0,0
2018-04-04,21:40:00,0,0
2018-04-04,22:00:00,0,0
2018-04-04,22:20:00,0,0
2018-04-04,22:40:00,0,0
2018-04-04,23:00:00,0,0
2018-04-04,23:20:00,0,0
2018-04-04,23:40:00,0,0
