﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11D1507000039PV-3000N-V 11D1507000039 國際街-01,11D1507000044PV-3000N-V 11D1507000044 國際街-02,10N1532000161PV-3000N-V 10N1532000161 國際街-03,11D1507000038PV-3000N-V 11D1507000038 國際街-04
2018-01-04,00:00:00,0,0,0,0
2018-01-04,00:20:00,0,0,0,0
2018-01-04,00:40:00,0,0,0,0
2018-01-04,01:00:00,0,0,0,0
2018-01-04,01:20:00,0,0,0,0
2018-01-04,01:40:00,0,0,0,0
2018-01-04,02:00:00,0,0,0,0
2018-01-04,02:20:00,0,0,0,0
2018-01-04,02:40:00,0,0,0,0
2018-01-04,03:00:00,0,0,0,0
2018-01-04,03:20:00,0,0,0,0
2018-01-04,03:40:00,0,0,0,0
2018-01-04,04:00:00,0,0,0,0
2018-01-04,04:20:00,0,0,0,0
2018-01-04,04:40:00,0,0,0,0
2018-01-04,05:00:00,0,0,0,0
2018-01-04,05:20:00,0,0,0,0
2018-01-04,05:40:00,0,0,0,0
2018-01-04,06:00:00,0,0,0,0
2018-01-04,06:20:00,0,0,0,0
2018-01-04,06:40:00,0.00645,0,0.0045,0
2018-01-04,07:00:00,0.0675,0.0578,0.05825,0.0498
2018-01-04,07:20:00,0.2422,0.2299,0.23205,0.2299
2018-01-04,07:40:00,0.2653,0.2516,0.25395,0.25235
2018-01-04,08:00:00,0.18865,0.1761,0.18145,0.18725
2018-01-04,08:20:00,0.20915,0.1847,0.2011,0.2107
2018-01-04,08:40:00,0.2372,0.21035,0.22975,0.23985
2018-01-04,09:00:00,0.18975,0.1789,0.1858,0.1894
2018-01-04,09:20:00,0.26905,0.25695,0.26605,0.27935
2018-01-04,09:40:00,0.55775,0.5402,0.54915,0.56385
2018-01-04,10:00:00,0.50235,0.48315,0.49165,0.5068
2018-01-04,10:20:00,0.3431,0.3292,0.33555,0.3438
2018-01-04,10:40:00,0.96755,0.94205,0.9658,0.97835
2018-01-04,11:00:00,0.71115,0.6948,0.71875,0.73175
2018-01-04,11:20:00,0.6629,0.6437,0.6608,0.66785
2018-01-04,11:40:00,1.3982,1.35085,1.29195,1.36355
2018-01-04,12:00:00,1.0838,1.0399,1.0146,1.0503
2018-01-04,12:20:00,0.7133,0.692,0.70925,0.71595
2018-01-04,12:40:00,0.6149,0.5947,0.6132,0.61945
2018-01-04,13:00:00,0.4952,0.4764,0.4839,0.50025
2018-01-04,13:20:00,0.4225,0.40655,0.41305,0.4263
2018-01-04,13:40:00,0.44255,0.4293,0.4363,0.4472
2018-01-04,14:00:00,0.28505,0.26995,0.275,0.28335
2018-01-04,14:20:00,0.1958,0.178,0.1874,0.19005
2018-01-04,14:40:00,0.2385,0.2266,0.2295,0.2345
2018-01-04,15:00:00,0.18065,0.1708,0.1736,0.17715
2018-01-04,15:20:00,0.0863,0.07785,0.07875,0.07695
2018-01-04,15:40:00,0.1094,0.09985,0.10275,0.10225
2018-01-04,16:00:00,0.03785,0.0316,0.0318,0.0258
2018-01-04,16:20:00,0.04005,0.03345,0.0326,0.027
2018-01-04,16:40:00,0.00895,0.0048,0.00405,0.0017
2018-01-04,17:00:00,0.0005,0.0002,0.00015,0.0001
2018-01-04,17:20:00,0,0,0,0
2018-01-04,17:40:00,0,0,0,0
2018-01-04,18:00:00,0,0,0,0
2018-01-04,18:20:00,0,0,0,0
2018-01-04,18:40:00,0,0,0,0
2018-01-04,19:00:00,0,0,0,0
2018-01-04,19:20:00,0,0,0,0
2018-01-04,19:40:00,0,0,0,0
2018-01-04,20:00:00,0,0,0,0
2018-01-04,20:20:00,0,0,0,0
2018-01-04,20:40:00,0,0,0,0
2018-01-04,21:00:00,0,0,0,0
2018-01-04,21:20:00,0,0,0,0
2018-01-04,21:40:00,0,0,0,0
2018-01-04,22:00:00,0,0,0,0
2018-01-04,22:20:00,0,0,0,0
2018-01-04,22:40:00,0,0,0,0
2018-01-04,23:00:00,0,0,0,0
2018-01-04,23:20:00,0,0,0,0
2018-01-04,23:40:00,0,0,0,0
