﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10L1450000065PV-4000W-V 10L1450000065
2017-10-14,00:00:00,0
2017-10-14,00:20:00,0
2017-10-14,00:40:00,0
2017-10-14,01:00:00,0
2017-10-14,01:20:00,0
2017-10-14,01:40:00,0
2017-10-14,02:00:00,0
2017-10-14,02:20:00,0
2017-10-14,02:40:00,0
2017-10-14,03:00:00,0
2017-10-14,03:20:00,0
2017-10-14,03:40:00,0
2017-10-14,04:00:00,0
2017-10-14,04:20:00,0
2017-10-14,04:40:00,0
2017-10-14,05:00:00,0
2017-10-14,05:20:00,0
2017-10-14,05:40:00,0
2017-10-14,06:00:00,0
2017-10-14,06:20:00,0
2017-10-14,06:40:00,0.00745
2017-10-14,07:00:00,0.0234
2017-10-14,07:20:00,0.03545
2017-10-14,07:40:00,0.0762
2017-10-14,08:00:00,0.1437
2017-10-14,08:20:00,0.26125
2017-10-14,08:40:00,0.4652
2017-10-14,09:00:00,0.5582
2017-10-14,09:20:00,0.78795
2017-10-14,09:40:00,1.22275
2017-10-14,10:00:00,2.01845
2017-10-14,10:20:00,1.23215
2017-10-14,10:40:00,2.1208
2017-10-14,11:00:00,1.1607
2017-10-14,11:20:00,1.0691
2017-10-14,11:40:00,0.6038
2017-10-14,12:00:00,0.35825
2017-10-14,12:20:00,0.40065
2017-10-14,12:40:00,0.3677
2017-10-14,13:00:00,0.1879
2017-10-14,13:20:00,0.13365
2017-10-14,13:40:00,0.12515
2017-10-14,14:00:00,0.08425
2017-10-14,14:20:00,0.13745
2017-10-14,14:40:00,0.25645
2017-10-14,15:00:00,0.0483
2017-10-14,15:20:00,0.02345
2017-10-14,15:40:00,0.025
2017-10-14,16:00:00,0.04725
2017-10-14,16:20:00,0.0277
2017-10-14,16:40:00,0.0411
2017-10-14,17:00:00,0.0273
2017-10-14,17:20:00,0.0091
2017-10-14,17:40:00,0
2017-10-14,18:00:00,0
2017-10-14,18:20:00,0
2017-10-14,18:40:00,0
2017-10-14,19:00:00,0
2017-10-14,19:20:00,0
2017-10-14,19:40:00,0
2017-10-14,20:00:00,0
2017-10-14,20:20:00,0
2017-10-14,20:40:00,0
2017-10-14,21:00:00,0
2017-10-14,21:20:00,0
2017-10-14,21:40:00,0
2017-10-14,22:00:00,0
2017-10-14,22:20:00,0
2017-10-14,22:40:00,0
2017-10-14,23:00:00,0
2017-10-14,23:20:00,0
2017-10-14,23:40:00,0
