﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151446000280PV-5000W-V 1151446000280大甲台灣時規,1151446000251PV-5000W-V 1151446000251大甲台灣時規,1151446000262PV-5000W-V 1151446000262大甲台灣時規,1151446000259PV-5000W-V 1151446000259大甲台灣時規,1151446000260PV-5000W-V 1151446000260大甲台灣時規,1151446000261PV-5000W-V 1151446000261大甲台灣時規
2018-03-27,00:00:00,0,0,0,0,0,0
2018-03-27,00:20:00,0,0,0,0,0,0
2018-03-27,00:40:00,0,0,0,0,0,0
2018-03-27,01:00:00,0,0,0,0,0,0
2018-03-27,01:20:00,0,0,0,0,0,0
2018-03-27,01:40:00,0,0,0,0,0,0
2018-03-27,02:00:00,0,0,0,0,0,0
2018-03-27,02:20:00,0,0,0,0,0,0
2018-03-27,02:40:00,0,0,0,0,0,0
2018-03-27,03:00:00,0,0,0,0,0,0
2018-03-27,03:20:00,0,0,0,0,0,0
2018-03-27,03:40:00,0,0,0,0,0,0
2018-03-27,04:00:00,0,0,0,0,0,0
2018-03-27,04:20:00,0,0,0,0,0,0
2018-03-27,04:40:00,0,0,0,0,0,0
2018-03-27,05:00:00,0,0,0,0,0,0
2018-03-27,05:20:00,0,0,0,0,0,0
2018-03-27,05:40:00,0,0,0,0,0,0
2018-03-27,06:00:00,0.02515,0.0406,0.04395,0.0438,0.04525,0.0428
2018-03-27,06:20:00,0.19225,0.20475,0.2149,0.21075,0.20515,0.20305
2018-03-27,06:40:00,0.45625,0.45215,0.5133,0.47225,0.4282,0.4572
2018-03-27,07:00:00,0.7023,0.72095,0.7972,0.71165,0.6569,0.725
2018-03-27,07:20:00,1.0763,1.1229,1.15745,1.1113,1.0916,1.06825
2018-03-27,07:40:00,1.1793,1.2317,1.2409,1.21265,1.2074,1.1602
2018-03-27,08:00:00,1.6304,1.70715,1.72135,1.6693,1.68285,1.6017
2018-03-27,08:20:00,1.90905,1.99445,2.0209,1.95705,1.9758,1.88345
2018-03-27,08:40:00,2.1873,2.27795,2.31085,2.24015,2.2643,2.1626
2018-03-27,09:00:00,2.4454,2.54015,2.57275,2.5012,2.5304,2.4179
2018-03-27,09:20:00,2.6122,2.71,2.7567,2.67555,2.6942,2.59215
2018-03-27,09:40:00,2.95565,3.0633,3.1106,3.0257,3.0537,2.9365
2018-03-27,10:00:00,3.03835,3.14425,3.1915,3.1071,3.14345,3.0246
2018-03-27,10:20:00,3.22055,3.33075,3.3803,3.29495,3.33185,3.21445
2018-03-27,10:40:00,3.30865,3.4179,3.4543,3.38445,3.4104,3.28925
2018-03-27,11:00:00,3.47605,3.5867,3.6374,3.55915,3.5806,3.467
2018-03-27,11:20:00,3.5817,3.6772,3.6952,3.6535,3.6715,3.54725
2018-03-27,11:40:00,2.4246,2.4704,2.45195,2.48815,2.48965,2.3534
2018-03-27,12:00:00,1.3097,1.3422,1.33815,1.34855,1.3388,1.2953
2018-03-27,12:20:00,2.76155,2.85405,2.8942,2.8427,2.8173,2.76375
2018-03-27,12:40:00,2.8367,2.90345,2.875,2.9021,2.91865,2.7729
2018-03-27,13:00:00,3.07545,3.18145,3.17065,3.1699,3.13935,3.07385
2018-03-27,13:20:00,2.68035,2.73125,2.72205,2.75955,2.7187,2.6569
2018-03-27,13:40:00,2.74975,2.76075,2.7171,2.80605,2.77475,2.6724
2018-03-27,14:00:00,2.27205,2.3073,2.2975,2.34245,2.3011,2.244
2018-03-27,14:20:00,1.63335,1.66595,1.67535,1.6842,1.6459,1.63255
2018-03-27,14:40:00,1.3067,1.31235,1.2889,1.33405,1.3229,1.26635
2018-03-27,15:00:00,1.2112,1.2286,1.2111,1.24295,1.22775,1.1893
2018-03-27,15:20:00,1.2423,1.2602,1.24275,1.2817,1.2542,1.2261
2018-03-27,15:40:00,1.09115,1.10515,1.0856,1.1236,1.10585,1.0726
2018-03-27,16:00:00,1.1749,1.178,1.15465,1.2143,1.1807,1.14255
2018-03-27,16:20:00,0.6057,0.61005,0.5952,0.6321,0.6175,0.59955
2018-03-27,16:40:00,0.59765,0.6027,0.5876,0.62715,0.6098,0.5946
2018-03-27,17:00:00,0.38205,0.38425,0.3732,0.40595,0.3939,0.383
2018-03-27,17:20:00,0.2038,0.2072,0.19985,0.2244,0.2173,0.209
2018-03-27,17:40:00,0.06905,0.0829,0.08255,0.0946,0.09365,0.08745
2018-03-27,18:00:00,0.008,0.0155,0.0167,0.02375,0.02445,0.0218
2018-03-27,18:20:00,0.0041,0.0069,0.00705,0.01225,0.0122,0.01095
2018-03-27,18:40:00,0,0,0,0,0,0
2018-03-27,19:00:00,0,0,0,0,0,0
2018-03-27,19:20:00,0,0,0,0,0,0
2018-03-27,19:40:00,0,0,0,0,0,0
2018-03-27,20:00:00,0,0,0,0,0,0
2018-03-27,20:20:00,0,0,0,0,0,0
2018-03-27,20:40:00,0,0,0,0,0,0
2018-03-27,21:00:00,0,0,0,0,0,0
2018-03-27,21:20:00,0,0,0,0,0,0
2018-03-27,21:40:00,0,0,0,0,0,0
2018-03-27,22:00:00,0,0,0,0,0,0
2018-03-27,22:20:00,0,0,0,0,0,0
2018-03-27,22:40:00,0,0,0,0,0,0
2018-03-27,23:00:00,0,0,0,0,0,0
2018-03-27,23:20:00,0,0,0,0,0,0
2018-03-27,23:40:00,0,0,0,0,0,0
