﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11O1743001504謝聰旗1-PV-5000W-HV 11O1743001504,1211740000461謝聰旗2-PV-3000N-V 1211740000461
2018-04-19,00:00:00,0,0
2018-04-19,00:20:00,0,0
2018-04-19,00:40:00,0,0
2018-04-19,01:00:00,0,0
2018-04-19,01:20:00,0,0
2018-04-19,01:40:00,0,0
2018-04-19,02:00:00,0,0
2018-04-19,02:20:00,0,0
2018-04-19,02:40:00,0,0
2018-04-19,03:00:00,0,0
2018-04-19,03:20:00,0,0
2018-04-19,03:40:00,0,0
2018-04-19,04:00:00,0,0
2018-04-19,04:20:00,0,0
2018-04-19,04:40:00,0,0
2018-04-19,05:00:00,0,0
2018-04-19,05:20:00,0,0
2018-04-19,05:40:00,0.01295,0.00735
2018-04-19,06:00:00,0.1072,0.0648
2018-04-19,06:20:00,0.28105,0.20085
2018-04-19,06:40:00,0.34905,0.31575
2018-04-19,07:00:00,0.50565,0.52315
2018-04-19,07:20:00,0.6152,0.70895
2018-04-19,07:40:00,0.7195,0.7983
2018-04-19,08:00:00,0.9964,1.01155
2018-04-19,08:20:00,1.7822,1.28645
2018-04-19,08:40:00,2.20095,1.4578
2018-04-19,09:00:00,2.453,1.5402
2018-04-19,09:20:00,3.1069,1.85035
2018-04-19,09:40:00,3.44835,1.97985
2018-04-19,10:00:00,2.46595,1.4216
2018-04-19,10:20:00,3.41575,1.9166
2018-04-19,10:40:00,3.5728,1.98645
2018-04-19,11:00:00,3.2238,1.7967
2018-04-19,11:20:00,2.6355,1.46895
2018-04-19,11:40:00,3.91655,2.10945
2018-04-19,12:00:00,3.7841,2.0195
2018-04-19,12:20:00,3.9224,2.0852
2018-04-19,12:40:00,3.5777,1.9001
2018-04-19,13:00:00,3.85055,2.04245
2018-04-19,13:20:00,3.7244,1.9719
2018-04-19,13:40:00,3.6531,1.93365
2018-04-19,14:00:00,3.39735,1.80105
2018-04-19,14:20:00,3.26,1.7284
2018-04-19,14:40:00,1.9945,1.0672
2018-04-19,15:00:00,2.08915,1.1206
2018-04-19,15:20:00,2.03645,1.0912
2018-04-19,15:40:00,2.13665,1.14115
2018-04-19,16:00:00,1.50685,0.8093
2018-04-19,16:20:00,1.3913,0.7455
2018-04-19,16:40:00,1.06195,0.5702
2018-04-19,17:00:00,0.66125,0.35645
2018-04-19,17:20:00,0.4043,0.2175
2018-04-19,17:40:00,0.1988,0.1071
2018-04-19,18:00:00,0.0487,0.0182
2018-04-19,18:20:00,0.00745,0
2018-04-19,18:40:00,0.0014,0
2018-04-19,19:00:00,0,0
2018-04-19,19:20:00,0,0
2018-04-19,19:40:00,0,0
2018-04-19,20:00:00,0,0
2018-04-19,20:20:00,0,0
2018-04-19,20:40:00,0,0
2018-04-19,21:00:00,0,0
2018-04-19,21:20:00,0,0
2018-04-19,21:40:00,0,0
2018-04-19,22:00:00,0,0
2018-04-19,22:20:00,0,0
2018-04-19,22:40:00,0,0
2018-04-19,23:00:00,0,0
2018-04-19,23:20:00,0,0
2018-04-19,23:40:00,0,0
