﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10N1532000157PV-3000N-V 10N1532000157伸港林東溪,10N1532000142PV-3000N-V 10N1532000142伸港林東溪,10N1532000146PV-3000N-V 10N1532000146伸港林東溪,10N1532000147PV-3000N-V 10N1532000147伸港林東溪,10N1532000141PV-3000N-V 10N1532000141伸港林東溪,10N1532000148PV-3000N-V 10N1532000148伸港林東溪,10N1532000143PV-3000N-V 10N1532000143伸港林東溪,10N1532000145PV-3000N-V 10N1532000145伸港林東溪,10N1532000150PV-3000N-V 10N1532000150伸港林東溪,10N1532000149PV-3000N-V 10N1532000149伸港林東溪,10N1532000154PV-3000N-V 10N1532000154伸港林東溪
2017-12-30,00:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,00:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,00:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,01:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,01:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,01:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,02:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,02:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,02:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,03:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,03:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,03:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,04:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,04:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,04:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,05:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,05:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,05:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,06:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,06:20:00,0,0,0,0,0,0,0.00015,0.0002,5.0E-5,0,0
2017-12-30,06:40:00,0.00875,0,0.0071,0.00315,0.00635,0.00295,0.0056,0.0136,0.0053,0.00705,0.00765
2017-12-30,07:00:00,0.0613,0.0463,0.0586,0.04935,0.06335,0.05835,0.05795,0.0696,0.0557,0.06685,0.0625
2017-12-30,07:20:00,0.18705,0.18525,0.18005,0.1928,0.20425,0.20095,0.1964,0.21415,0.19935,0.20665,0.20395
2017-12-30,07:40:00,0.34505,0.3403,0.33855,0.3689,0.37625,0.37275,0.36885,0.3892,0.37385,0.38395,0.37655
2017-12-30,08:00:00,0.55185,0.54135,0.5394,0.59995,0.58835,0.57735,0.59195,0.61915,0.6068,0.6151,0.6064
2017-12-30,08:20:00,0.7592,0.7483,0.74665,0.8309,0.80775,0.78765,0.8112,0.8502,0.83945,0.84795,0.83435
