﻿﻿﻿﻿﻿﻿﻿inDate,inTime,6151434000113PV-15000T-U 6151434000113 仁德懷恩,6151434000114PV-15000T-U 6151434000114 仁德懷恩
2018-01-05,00:00:00,0,0
2018-01-05,00:20:00,0,0
2018-01-05,00:40:00,0,0
2018-01-05,01:00:00,0,0
2018-01-05,01:20:00,0,0
2018-01-05,01:40:00,0,0
2018-01-05,02:00:00,0,0
2018-01-05,02:20:00,0,0
2018-01-05,02:40:00,0,0
2018-01-05,03:00:00,0,0
2018-01-05,03:20:00,0,0
2018-01-05,03:40:00,0,0
2018-01-05,04:00:00,0,0
2018-01-05,04:20:00,0,0
2018-01-05,04:40:00,0,0
2018-01-05,05:00:00,0,0
2018-01-05,05:20:00,0,0
2018-01-05,05:40:00,0,0
2018-01-05,06:00:00,0,0
2018-01-05,06:20:00,0,0
2018-01-05,06:40:00,0,0
2018-01-05,07:00:00,0.08245,0.081
2018-01-05,07:20:00,0.2032,0.205
2018-01-05,07:40:00,0.33245,0.34265
2018-01-05,08:00:00,0.5947,0.6212
2018-01-05,08:20:00,0.44015,0.458
2018-01-05,08:40:00,1.24395,1.27155
2018-01-05,09:00:00,1.70425,1.7496
2018-01-05,09:20:00,2.44525,2.529
2018-01-05,09:40:00,2.7728,2.8249
2018-01-05,10:00:00,3.6908,3.76165
2018-01-05,10:20:00,6.23245,6.2447
2018-01-05,10:40:00,4.8652,4.99565
2018-01-05,11:00:00,5.49985,5.4951
2018-01-05,11:20:00,4.0346,4.128
2018-01-05,11:40:00,4.5391,4.59245
2018-01-05,12:00:00,4.50015,4.5515
2018-01-05,12:20:00,5.146,5.239
2018-01-05,12:40:00,3.90195,4.00475
2018-01-05,13:00:00,4.5976,4.6496
2018-01-05,13:20:00,5.07,5.18255
2018-01-05,13:40:00,4.061,4.1951
2018-01-05,14:00:00,2.77175,2.8982
2018-01-05,14:20:00,2.3956,2.4908
2018-01-05,14:40:00,2.13455,2.2245
2018-01-05,15:00:00,1.43755,1.5102
2018-01-05,15:20:00,0.97685,1.01775
2018-01-05,15:40:00,0.84295,0.88555
2018-01-05,16:00:00,0.3937,0.41505
2018-01-05,16:20:00,0.1898,0.2014
2018-01-05,16:40:00,0.0136,0.01495
2018-01-05,17:00:00,0,0
2018-01-05,17:20:00,0,0
2018-01-05,17:40:00,0,0
2018-01-05,18:00:00,0,0
2018-01-05,18:20:00,0,0
2018-01-05,18:40:00,0,0
2018-01-05,19:00:00,0,0
2018-01-05,19:20:00,0,0
2018-01-05,19:40:00,0,0
2018-01-05,20:00:00,0,0
2018-01-05,20:20:00,0,0
2018-01-05,20:40:00,0,0
2018-01-05,21:00:00,0,0
2018-01-05,21:20:00,0,0
2018-01-05,21:40:00,0,0
2018-01-05,22:00:00,0,0
2018-01-05,22:20:00,0,0
2018-01-05,22:40:00,0,0
2018-01-05,23:00:00,0,0
2018-01-05,23:20:00,0,0
2018-01-05,23:40:00,0,0
