﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211727000268詠升三號1-PV-3000N-V 1211727000268,1211727000266詠升三號2-PV-3000N-V 1211727000266,1211724000242詠升三號3-PV-3000N-V 1211724000242,1211724000238詠升三號4-PV-3000N-V 1211724000238,11O1730000872詠升三號5-PV-5000W-HV 11O1730000872,1211724000234詠升一號1-PV-3000N-V 1211724000234,1211724000230詠升一號2-PV-3000N-V 1211724000230,1211724000231詠升一號3-PV-3000N-V 1211724000231,1211727000269詠升一號4-PV-3000N-V 1211727000269,11O1730000873詠升一號5-PV-5000W-HV 11O1730000873
2018-04-28,00:00:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,00:20:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,00:40:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,01:00:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,01:20:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,01:40:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,02:00:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,02:20:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,02:40:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,03:00:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,03:20:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,03:40:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,04:00:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,04:20:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,04:40:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,05:00:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,05:20:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,05:40:00,0.00245,0.0066,0.00375,0.00035,0.02235,0.01155,0.01865,0.0066,0.00485,0.0081
2018-04-28,06:00:00,0.07735,0.0901,0.08205,0.0606,0.16075,0.09695,0.11195,0.09255,0.08795,0.1469
2018-04-28,06:20:00,0.0807,0.09775,0.0851,0.0689,0.17085,0.104,0.11865,0.1003,0.09525,0.1573
2018-04-28,06:40:00,0.1788,0.19055,0.1794,0.16025,0.31675,0.19615,0.2152,0.19585,0.1919,0.3038
2018-04-28,07:00:00,0.34195,0.3627,0.3407,0.31015,0.56515,0.361,0.3871,0.3655,0.3626,0.56435
2018-04-28,07:20:00,0.55655,0.6381,0.6042,0.43965,0.98405,0.62645,0.66485,0.64395,0.64115,0.93915
2018-04-28,07:40:00,0.8426,0.89455,0.8071,0.6731,1.3659,0.87145,0.9216,0.9004,0.9013,1.33895
2018-04-28,08:00:00,0.9904,1.0204,0.9687,0.80405,1.5534,0.9534,1.04635,0.987,0.98945,1.52715
2018-04-28,08:20:00,1.21345,1.2422,1.18055,1.04775,1.7814,1.20785,1.2701,1.24765,1.25665,1.8651
2018-04-28,08:40:00,0.7535,0.7795,0.7341,0.6751,1.1769,0.76265,0.80525,0.78605,0.78825,1.15005
2018-04-28,09:00:00,0.50075,0.5201,0.48695,0.4683,0.7901,0.51285,0.54635,0.5267,0.52605,0.78135
2018-04-28,09:20:00,0.32135,0.3333,0.3137,0.2985,0.51825,0.3311,0.35695,0.3412,0.33965,0.51575
2018-04-28,09:40:00,0.2868,0.29875,0.28405,0.2707,0.47775,0.3014,0.3249,0.3103,0.3094,0.47245
2018-04-28,10:00:00,0.34615,0.357,0.34015,0.3309,0.56195,0.36175,0.38335,0.3697,0.3686,0.5609
2018-04-28,10:20:00,0.4184,0.4301,0.4118,0.39965,0.6682,0.4332,0.45655,0.444,0.44235,0.6671
2018-04-28,10:40:00,0.6149,0.63665,0.60355,0.6056,0.96335,0.62835,0.6598,0.6456,0.6461,0.94135
2018-04-28,11:00:00,0.77955,0.80675,0.76565,0.7754,1.2205,0.79265,0.83075,0.8157,0.81895,1.1979
2018-04-28,11:20:00,0.7958,0.8206,0.7796,0.7907,1.2444,0.8067,0.84485,0.83225,0.83355,1.2211
2018-04-28,11:40:00,0.971,1.00095,0.94955,0.9685,1.5151,0.9804,1.0239,1.0142,1.0137,1.4908
2018-04-28,12:00:00,1.13625,1.16645,1.1107,1.134,1.7713,1.1397,1.1877,1.1796,1.17915,1.75065
2018-04-28,12:20:00,1.4453,1.4771,1.4124,1.44605,2.261,1.44085,1.4983,1.4934,1.49335,2.2461
2018-04-28,12:40:00,2.24725,2.2657,2.18835,2.2449,3.51155,2.2126,2.30365,2.3074,2.29335,3.4957
2018-04-28,13:00:00,2.5058,2.52355,2.4409,2.51725,3.88155,2.46225,2.5558,2.57795,2.5458,3.8513
2018-04-28,13:20:00,2.17735,2.19685,2.1304,2.1924,3.38425,2.1594,2.2402,2.25735,2.22505,3.35475
2018-04-28,13:40:00,2.2519,2.2707,2.20285,2.26565,3.50175,2.22865,2.3164,2.32465,2.30215,3.4767
2018-04-28,14:00:00,1.8782,1.89705,1.84055,1.88715,2.94115,1.8688,1.9439,1.94685,1.9282,2.92165
2018-04-28,14:20:00,1.78795,1.91125,1.84285,1.7911,2.7857,1.8767,1.84805,1.9519,1.8288,2.76015
2018-04-28,14:40:00,1.80065,1.8173,1.76195,1.8046,2.80655,1.7848,1.85925,1.8564,1.8425,2.77965
2018-04-28,15:00:00,1.0605,1.07115,1.04165,1.048,1.66995,1.06175,1.10925,1.1034,1.0842,1.6469
2018-04-28,15:20:00,0.82455,0.83565,0.8106,0.80755,1.29465,0.835,0.87055,0.8655,0.84675,1.2697
2018-04-28,15:40:00,0.6164,0.6284,0.6045,0.598,0.96845,0.63035,0.66005,0.64975,0.63555,0.9396
2018-04-28,16:00:00,0.97935,0.98855,0.9542,0.9768,1.52455,0.9877,1.02935,1.0232,1.0062,1.49535
2018-04-28,16:20:00,0.81135,0.8251,0.7947,0.8143,1.2873,0.82565,0.86145,0.86275,0.84315,1.2588
2018-04-28,16:40:00,0.53685,0.55955,0.55985,0.56475,0.90495,0.56355,0.5773,0.60445,0.5552,0.88415
2018-04-28,17:00:00,0.3768,0.38195,0.3836,0.36655,0.6282,0.39425,0.41555,0.4164,0.39245,0.6177
2018-04-28,17:20:00,0.2195,0.22785,0.22565,0.20645,0.38905,0.2413,0.25715,0.24805,0.23195,0.38085
2018-04-28,17:40:00,0.08885,0.0993,0.0949,0.0753,0.1812,0.11095,0.1243,0.10875,0.0996,0.1728
2018-04-28,18:00:00,0.0042,0.00885,0.00645,0.0008,0.04285,0.01525,0.02485,0.01015,0.00755,0.03085
2018-04-28,18:20:00,0,0,0,0,0.0109,0,0.0008,0,0,0.00125
2018-04-28,18:40:00,0,0,0,0,0.0024,0,0.0001,0,0,5.0E-5
2018-04-28,19:00:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,19:20:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,19:40:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,20:00:00,0,0,0,0,0,0,0,0,0,0
2018-04-28,20:20:00,0,0,0,0,0,0,0,0,0,0
