﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11D1507000039PV-3000N-V 11D1507000039 國際街-01,11D1507000044PV-3000N-V 11D1507000044 國際街-02,10N1532000161PV-3000N-V 10N1532000161 國際街-03,11D1507000038PV-3000N-V 11D1507000038 國際街-04
2017-12-25,00:00:00,0,0,0,0
2017-12-25,00:20:00,0,0,0,0
2017-12-25,00:40:00,0,0,0,0
2017-12-25,01:00:00,0,0,0,0
2017-12-25,01:20:00,0,0,0,0
2017-12-25,01:40:00,0,0,0,0
2017-12-25,02:00:00,0,0,0,0
2017-12-25,02:20:00,0,0,0,0
2017-12-25,02:40:00,0,0,0,0
2017-12-25,03:00:00,0,0,0,0
2017-12-25,03:20:00,0,0,0,0
2017-12-25,03:40:00,0,0,0,0
2017-12-25,04:00:00,0,0,0,0
2017-12-25,04:20:00,0,0,0,0
2017-12-25,04:40:00,0,0,0,0
2017-12-25,05:00:00,0,0,0,0
2017-12-25,05:20:00,0,0,0,0
2017-12-25,05:40:00,0,0,0,0
2017-12-25,06:00:00,0,0,0,0
2017-12-25,06:20:00,0,0,0,0
2017-12-25,06:40:00,0.005,0.0039,0,0.0003
2017-12-25,07:00:00,0.0679,0.0622,0.05115,0.0484
2017-12-25,07:20:00,0.30615,0.31315,0.31795,0.29575
2017-12-25,07:40:00,0.34345,0.33575,0.336,0.32745
2017-12-25,08:00:00,0.3998,0.4102,0.406,0.38875
2017-12-25,08:20:00,0.77775,0.8506,0.8525,0.8264
2017-12-25,08:40:00,0.9737,1.05265,1.0553,1.01225
2017-12-25,09:00:00,0.96715,1.0898,1.0898,1.04305
2017-12-25,09:20:00,1.2807,1.38795,1.3947,1.33215
2017-12-25,09:40:00,1.49475,1.6259,1.63905,1.5705
2017-12-25,10:00:00,1.51435,1.64735,1.64535,1.5744
2017-12-25,10:20:00,1.6954,1.8487,1.8642,1.7913
2017-12-25,10:40:00,1.8066,1.97275,1.9874,1.91255
2017-12-25,11:00:00,1.85295,2.01155,1.9885,1.9576
2017-12-25,11:20:00,1.9357,2.0057,1.6451,1.9994
2017-12-25,11:40:00,1.73895,1.74445,1.5811,1.76125
2017-12-25,12:00:00,1.75205,1.66275,1.409,1.627
2017-12-25,12:20:00,2.05995,1.7189,1.3979,1.7012
2017-12-25,12:40:00,2.20465,1.63645,1.17995,1.5456
2017-12-25,13:00:00,1.67425,1.19485,0.9368,1.1303
2017-12-25,13:20:00,1.28685,0.91125,0.6452,0.912
2017-12-25,13:40:00,0.86935,0.6593,0.2873,0.7068
2017-12-25,14:00:00,0.613,0.2712,0.2102,0.52035
2017-12-25,14:20:00,0.25725,0.2091,0.18635,0.2342
2017-12-25,14:40:00,0.22655,0.1932,0.17205,0.1833
2017-12-25,15:00:00,0.2088,0.1816,0.16195,0.17855
2017-12-25,15:20:00,0.1982,0.16785,0.1494,0.16695
2017-12-25,15:40:00,0.2606,0.22885,0.2078,0.2409
2017-12-25,16:00:00,0.16125,0.1457,0.13405,0.14925
2017-12-25,16:20:00,0.1043,0.09235,0.0827,0.0869
2017-12-25,16:40:00,0.0618,0.0546,0.04935,0.04725
2017-12-25,17:00:00,0.00695,0.00545,0.00445,0.0027
2017-12-25,17:20:00,0,0,0,0
2017-12-25,17:40:00,0,0,0,0
2017-12-25,18:00:00,0,0,0,0
2017-12-25,18:20:00,0,0,0,0
2017-12-25,18:40:00,0,0,0,0
2017-12-25,19:00:00,0,0,0,0
2017-12-25,19:20:00,0,0,0,0
2017-12-25,19:40:00,0,0,0,0
2017-12-25,20:00:00,0,0,0,0
2017-12-25,20:20:00,0,0,0,0
2017-12-25,20:40:00,0,0,0,0
2017-12-25,21:00:00,0,0,0,0
2017-12-25,21:20:00,0,0,0,0
2017-12-25,21:40:00,0,0,0,0
2017-12-25,22:00:00,0,0,0,0
2017-12-25,22:20:00,0,0,0,0
2017-12-25,22:40:00,0,0,0,0
2017-12-25,23:00:00,0,0,0,0
2017-12-25,23:20:00,0,0,0,0
2017-12-25,23:40:00,0,0,0,0
