﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151449000312PV-5000W-V 1151449000312斗南慈愛,1151449000311PV-5000W-V 1151449000311斗南慈愛,1151449000306PV-5000W-V 1151449000306斗南慈愛,1151449000305PV-5000W-V 1151449000305斗南慈愛,1151449000304PV-5000W-V 1151449000304斗南慈愛,10D1450000467PV-5000W-V 10D1450000467斗南慈愛,11D1514000063PV-3000N-V 11D1514000063斗南慈愛,11D1514000067PV-3000N-V 11D1514000067斗南慈愛,11D1514000070PV-3000N-V 11D1514000070斗南慈愛,11D1514000061PV-3000N-V 11D1514000061 斗南慈愛,11D1514000076PV-3000N-V 11D1514000076斗南慈愛,11D1514000083PV-3000N-V 11D1514000083斗南慈愛,11D1514000086PV-3000N-V 11D1514000086斗南慈愛
2017-12-28,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,00:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,00:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,01:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,01:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,02:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,02:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,03:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,03:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,04:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,04:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,05:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,05:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,06:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,06:40:00,0.0102,0.00785,0.00845,0.00605,0.00885,0,0.00185,0,0.0015,0.0116,0.00155,0.004,0.0008
2017-12-28,07:00:00,0.07705,0.075,0.06285,0.07155,0.07675,0.05625,0.05,0.054,0.0494,0.06455,0.04875,0.05335,0.0473
2017-12-28,07:20:00,0.28095,0.2655,0.26105,0.2708,0.27555,0.2527,0.1849,0.18685,0.18385,0.19445,0.1814,0.1841,0.1807
2017-12-28,07:40:00,0.38755,0.35985,0.36105,0.3742,0.381,0.3557,0.25245,0.25435,0.25125,0.26075,0.24985,0.2493,0.2488
2017-12-28,08:00:00,0.4534,0.40585,0.4111,0.42245,0.43705,0.41965,0.2999,0.3001,0.30005,0.30625,0.29495,0.2918,0.2945
