﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10L1442000033PV-4000W-V 10L1442000033內門蔡宗憲,10D1438000336PV-5000W-V 10D1438000336 內門蔡宗憲,10D1431000287PV-5000W-V 10D1431000287內門蔡宗憲
2017-10-12,00:00:00,0,0,0
2017-10-12,00:20:00,0,0,0
2017-10-12,00:40:00,0,0,0
2017-10-12,01:00:00,0,0,0
2017-10-12,01:20:00,0,0,0
2017-10-12,01:40:00,0,0,0
2017-10-12,02:00:00,0,0,0
2017-10-12,02:20:00,0,0,0
2017-10-12,02:40:00,0,0,0
2017-10-12,03:00:00,0,0,0
2017-10-12,03:20:00,0,0,0
2017-10-12,03:40:00,0,0,0
2017-10-12,04:00:00,0,0,0
2017-10-12,04:20:00,0,0,0
2017-10-12,04:40:00,0,0,0
2017-10-12,05:00:00,0,0,0
2017-10-12,05:20:00,0,0,0
2017-10-12,05:40:00,0,0,0
2017-10-12,06:00:00,0.02295,0.0227,0.03395
2017-10-12,06:20:00,0.10825,0.1049,0.121
2017-10-12,06:40:00,0.16495,0.15955,0.1912
2017-10-12,07:00:00,0.2172,0.21595,0.2367
2017-10-12,07:20:00,0.23835,0.2367,0.28625
2017-10-12,07:40:00,0.56375,0.5646,0.69435
2017-10-12,08:00:00,0.71225,0.71965,0.80925
2017-10-12,08:20:00,1.92945,1.93475,2.54345
2017-10-12,08:40:00,1.60915,1.6137,1.4134
2017-10-12,09:00:00,1.0736,1.07525,1.2386
2017-10-12,09:20:00,1.1764,1.178,1.33875
2017-10-12,09:40:00,1.513,1.5162,1.80045
2017-10-12,10:00:00,1.90345,1.9077,2.15035
2017-10-12,10:20:00,2.0115,2.0155,2.3999
2017-10-12,10:40:00,2.1585,2.1748,2.2079
2017-10-12,11:00:00,2.1223,2.1376,2.3565
2017-10-12,11:20:00,2.8877,2.9232,3.4713
2017-10-12,11:40:00,2.63715,2.65645,3.11035
2017-10-12,12:00:00,2.9087,2.9547,2.9074
2017-10-12,12:20:00,2.4204,2.4375,3.1012
2017-10-12,12:40:00,3.24485,3.30765,3.54305
2017-10-12,13:00:00,2.10475,2.1094,2.04135
2017-10-12,13:20:00,1.48695,1.4963,1.65805
2017-10-12,13:40:00,1.8312,1.8443,2.3644
2017-10-12,14:00:00,2.92755,2.95365,3.1228
2017-10-12,14:20:00,1.50405,1.5146,1.7302
2017-10-12,14:40:00,1.657,1.66755,1.76245
2017-10-12,15:00:00,1.2511,1.2575,1.2647
2017-10-12,15:20:00,1.1427,1.1485,1.2319
2017-10-12,15:40:00,1.00245,1.007,1.17645
2017-10-12,16:00:00,1.0517,1.05615,1.0676
2017-10-12,16:20:00,0.33715,0.33765,0.28405
2017-10-12,16:40:00,0.1565,0.14815,0.1517
2017-10-12,17:00:00,0.12325,0.11585,0.10345
2017-10-12,17:20:00,0.02605,0.0266,0.01555
2017-10-12,17:40:00,0.00305,0.0111,0.00925
2017-10-12,18:00:00,0,0.0001,0
2017-10-12,18:20:00,0,0,0
2017-10-12,18:40:00,0,0,0
2017-10-12,19:00:00,0,0,0
2017-10-12,19:20:00,0,0,0
2017-10-12,19:40:00,0,0,0
2017-10-12,20:00:00,0,0,0
2017-10-12,20:20:00,0,0,0
2017-10-12,20:40:00,0,0,0
2017-10-12,21:00:00,0,0,0
2017-10-12,21:20:00,0,0,0
2017-10-12,21:40:00,0,0,0
2017-10-12,22:00:00,0,0,0
2017-10-12,22:20:00,0,0,0
2017-10-12,22:40:00,0,0,0
2017-10-12,23:00:00,0,0,0
2017-10-12,23:20:00,0,0,0
2017-10-12,23:40:00,0,0,0
