﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1638000178PV-5000W-V 10D1638000178胡聰明#1,10D1636000153PV-5000W-V 10D1636000153胡聰明#2
2018-01-18,00:00:00,0,0
2018-01-18,00:20:00,0,0
2018-01-18,00:40:00,0,0
2018-01-18,01:00:00,0,0
2018-01-18,01:20:00,0,0
2018-01-18,01:40:00,0,0
2018-01-18,02:00:00,0,0
2018-01-18,02:20:00,0,0
2018-01-18,02:40:00,0,0
2018-01-18,03:00:00,0,0
2018-01-18,03:20:00,0,0
2018-01-18,03:40:00,0,0
2018-01-18,04:00:00,0,0
2018-01-18,04:20:00,0,0
2018-01-18,04:40:00,0,0
2018-01-18,05:00:00,0,0
2018-01-18,05:20:00,0,0
2018-01-18,05:40:00,0,0
2018-01-18,06:00:00,0,0
2018-01-18,06:20:00,0,0
2018-01-18,06:40:00,0.0091,0.0065
2018-01-18,07:00:00,0.08375,0.0899
2018-01-18,07:20:00,0.32445,0.33505
2018-01-18,07:40:00,0.3977,0.40995
2018-01-18,08:00:00,0.4752,0.48925
2018-01-18,08:20:00,0.5615,0.57325
2018-01-18,08:40:00,1.0569,1.07865
2018-01-18,09:00:00,1.04445,1.06515
2018-01-18,09:20:00,1.2203,1.2446
2018-01-18,09:40:00,1.64315,1.67265
2018-01-18,10:00:00,1.69375,1.7193
2018-01-18,10:20:00,2.5227,2.55765
2018-01-18,10:40:00,2.3843,2.4246
2018-01-18,11:00:00,1.8861,1.91025
2018-01-18,11:20:00,1.9384,1.96315
2018-01-18,11:40:00,1.8913,1.9221
2018-01-18,12:00:00,2.101,2.18
2018-01-18,12:20:00,1.471,1.4942
2018-01-18,12:40:00,1.2962,1.3179
2018-01-18,13:00:00,1.293,1.3167
2018-01-18,13:20:00,2.05375,2.101
2018-01-18,13:40:00,1.45385,1.4819
2018-01-18,14:00:00,1.43685,1.46195
2018-01-18,14:20:00,1.36655,1.39865
2018-01-18,14:40:00,1.03635,1.0581
2018-01-18,15:00:00,1.16345,1.1903
2018-01-18,15:20:00,0.76555,0.85045
2018-01-18,15:40:00,0.36955,0.4186
2018-01-18,16:00:00,0.31735,0.32735
2018-01-18,16:20:00,0.19165,0.20055
2018-01-18,16:40:00,0.10195,0.10975
2018-01-18,17:00:00,0.03245,0.03345
2018-01-18,17:20:00,0.0005,0.0015
2018-01-18,17:40:00,0,0
2018-01-18,18:00:00,0,0
2018-01-18,18:20:00,0,0
2018-01-18,18:40:00,0,0
2018-01-18,19:00:00,0,0
2018-01-18,19:20:00,0,0
2018-01-18,19:40:00,0,0
2018-01-18,20:00:00,0,0
2018-01-18,20:20:00,0,0
2018-01-18,20:40:00,0,0
2018-01-18,21:00:00,0,0
2018-01-18,21:20:00,0,0
2018-01-18,21:40:00,0,0
2018-01-18,22:00:00,0,0
2018-01-18,22:20:00,0,0
2018-01-18,22:40:00,0,0
2018-01-18,23:00:00,0,0
2018-01-18,23:20:00,0,0
2018-01-18,23:40:00,0,0
