﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151416000002PV-5000W-V 1151416000002國姓林月敏一場9.12kW,1151416000003PV-5000W-V 1151416000003國姓林月敏一場
2017-10-25,00:00:00,0,0
2017-10-25,00:20:00,0,0
2017-10-25,00:40:00,0,0
2017-10-25,01:00:00,0,0
2017-10-25,01:20:00,0,0
2017-10-25,01:40:00,0,0
2017-10-25,02:00:00,0,0
2017-10-25,02:20:00,0,0
2017-10-25,02:40:00,0,0
2017-10-25,03:00:00,0,0
2017-10-25,03:20:00,0,0
2017-10-25,03:40:00,0,0
2017-10-25,04:00:00,0,0
2017-10-25,04:20:00,0,0
2017-10-25,04:40:00,0,0
2017-10-25,05:00:00,0,0
2017-10-25,05:20:00,0,0
2017-10-25,05:40:00,0,0
2017-10-25,06:00:00,0.0154,0.01605
2017-10-25,06:20:00,0.08985,0.09025
2017-10-25,06:40:00,0.2233,0.1927
2017-10-25,07:00:00,0.5294,0.41385
2017-10-25,07:20:00,0.8105,0.59005
2017-10-25,07:40:00,1.11655,0.78245
2017-10-25,08:00:00,1.4008,1.39265
2017-10-25,08:20:00,1.6515,1.69975
2017-10-25,08:40:00,1.90125,1.96225
2017-10-25,09:00:00,2.1143,2.1841
2017-10-25,09:20:00,2.30035,2.29235
2017-10-25,09:40:00,2.4572,2.58635
2017-10-25,10:00:00,2.5964,2.7763
2017-10-25,10:20:00,2.73475,2.94635
2017-10-25,10:40:00,2.8445,3.10065
2017-10-25,11:00:00,2.93785,3.23055
2017-10-25,11:20:00,2.98385,3.29155
2017-10-25,11:40:00,2.96345,3.3053
2017-10-25,12:00:00,2.9633,3.42755
2017-10-25,12:20:00,2.88315,3.4158
2017-10-25,12:40:00,2.58795,3.3151
2017-10-25,13:00:00,2.3593,3.2264
2017-10-25,13:20:00,2.33555,3.08875
2017-10-25,13:40:00,1.99635,2.9292
2017-10-25,14:00:00,1.90005,2.7526
2017-10-25,14:20:00,1.85865,2.4991
2017-10-25,14:40:00,1.76885,2.20945
2017-10-25,15:00:00,1.4506,1.8971
2017-10-25,15:20:00,0.7759,1.53995
2017-10-25,15:40:00,0.5419,1.2146
2017-10-25,16:00:00,0.3967,0.87675
2017-10-25,16:20:00,0.2057,0.54535
2017-10-25,16:40:00,0.1009,0.12205
2017-10-25,17:00:00,0.04105,0.0481
2017-10-25,17:20:00,0.016,0.00915
2017-10-25,17:40:00,0.0041,0.0027
2017-10-25,18:00:00,0,0
2017-10-25,18:20:00,0,0
2017-10-25,18:40:00,0,0
2017-10-25,19:00:00,0,0
2017-10-25,19:20:00,0,0
2017-10-25,19:40:00,0,0
2017-10-25,20:00:00,0,0
2017-10-25,20:20:00,0,0
2017-10-25,20:40:00,0,0
2017-10-25,21:00:00,0,0
2017-10-25,21:20:00,0,0
2017-10-25,21:40:00,0,0
2017-10-25,22:00:00,0,0
2017-10-25,22:20:00,0,0
2017-10-25,22:40:00,0,0
2017-10-25,23:00:00,0,0
2017-10-25,23:20:00,0,0
2017-10-25,23:40:00,0,0
