﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10L1442000033PV-4000W-V 10L1442000033內門蔡宗憲,10D1438000336PV-5000W-V 10D1438000336 內門蔡宗憲,10D1431000287PV-5000W-V 10D1431000287內門蔡宗憲
2017-11-16,00:00:00,0,0,0
2017-11-16,00:20:00,0,0,0
2017-11-16,00:40:00,0,0,0
2017-11-16,01:00:00,0,0,0
2017-11-16,01:20:00,0,0,0
2017-11-16,01:40:00,0,0,0
2017-11-16,02:00:00,0,0,0
2017-11-16,02:20:00,0,0,0
2017-11-16,02:40:00,0,0,0
2017-11-16,03:00:00,0,0,0
2017-11-16,03:20:00,0,0,0
2017-11-16,03:40:00,0,0,0
2017-11-16,04:00:00,0,0,0
2017-11-16,04:20:00,0,0,0
2017-11-16,04:40:00,0,0,0
2017-11-16,05:00:00,0,0,0
2017-11-16,05:20:00,0,0,0
2017-11-16,05:40:00,0,0,0
2017-11-16,06:00:00,0,0,0
2017-11-16,06:20:00,0.0193,0.0187,0.02645
2017-11-16,06:40:00,0.1156,0.10885,0.12035
2017-11-16,07:00:00,0.18215,0.17725,0.2221
2017-11-16,07:20:00,0.318,0.3174,0.36705
2017-11-16,07:40:00,0.566,0.56525,0.7126
2017-11-16,08:00:00,0.9291,0.9388,1.1345
2017-11-16,08:20:00,1.44675,1.45245,1.65095
2017-11-16,08:40:00,1.763,1.76885,2.02095
2017-11-16,09:00:00,2.0197,2.02205,2.25745
2017-11-16,09:20:00,2.01695,2.01325,2.0607
2017-11-16,09:40:00,2.21285,2.22565,2.7223
2017-11-16,10:00:00,2.43065,2.4485,2.66
2017-11-16,10:20:00,2.1001,2.1131,2.4434
2017-11-16,10:40:00,2.5842,2.60735,2.8291
2017-11-16,11:00:00,2.98895,2.9899,3.3214
2017-11-16,11:20:00,2.90155,2.9257,3.2891
2017-11-16,11:40:00,3.0506,3.06605,3.3658
2017-11-16,12:00:00,2.9537,2.9592,3.2787
2017-11-16,12:20:00,2.89255,2.91925,3.1661
2017-11-16,12:40:00,2.6119,2.63865,2.95725
2017-11-16,13:00:00,2.6683,2.6885,2.9136
2017-11-16,13:20:00,2.54275,2.556,2.80985
2017-11-16,13:40:00,2.42655,2.4413,2.596
2017-11-16,14:00:00,2.17,2.18635,2.37995
2017-11-16,14:20:00,1.64135,1.6613,1.8167
2017-11-16,14:40:00,1.5381,1.54475,1.65915
2017-11-16,15:00:00,1.34775,1.3572,1.4457
2017-11-16,15:20:00,0.9714,0.98895,1.00445
2017-11-16,15:40:00,0.6467,0.6524,0.6767
2017-11-16,16:00:00,0.475,0.47725,0.49885
2017-11-16,16:20:00,0.31205,0.31215,0.29945
2017-11-16,16:40:00,0.14125,0.13655,0.1148
2017-11-16,17:00:00,0.03455,0.03435,0.02165
2017-11-16,17:20:00,0.00345,0.0109,0.0088
2017-11-16,17:40:00,0,0,0
2017-11-16,18:00:00,0,0,0
2017-11-16,18:20:00,0,0,0
2017-11-16,18:40:00,0,0,0
2017-11-16,19:00:00,0,0,0
2017-11-16,19:20:00,0,0,0
2017-11-16,19:40:00,0,0,0
2017-11-16,20:00:00,0,0,0
2017-11-16,20:20:00,0,0,0
2017-11-16,20:40:00,0,0,0
2017-11-16,21:00:00,0,0,0
2017-11-16,21:20:00,0,0,0
2017-11-16,21:40:00,0,0,0
2017-11-16,22:00:00,0,0,0
2017-11-16,22:20:00,0,0,0
2017-11-16,22:40:00,0,0,0
2017-11-16,23:00:00,0,0,0
2017-11-16,23:20:00,0,0,0
2017-11-16,23:40:00,0,0,0
