﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11C1525000225沙田路-01_無Cap 關AFD,11C1525000202沙田路-02_加Cap 開AFD,11C1520000140沙田路-03_加Cap 開AFD,11C1520000179沙田路-04_加Cap 關AFD,11C1525000201沙田路-05_加Cap 關AFD,11C1520000174沙田路-06_無Cap 關AFD,11D1507000056PV-3000N-V 11D1507000056 沙田路-07,11D1507000013PV-3000N-V 11D1507000013 沙田路-08,11D1507000050PV-3000N-V 11D1507000050 沙田路-09,11D1507000059PV-3000N-V 11D1507000059 沙田路-10,11D1507000060PV-3000N-V 11D1507000060 沙田路-11,11D1507000004PV-3000N-V 11D1507000004 沙田路-12
2018-02-19,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,00:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,00:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,01:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,01:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,02:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,02:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,03:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,03:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,04:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,04:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,04:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,05:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,05:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,05:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,06:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,06:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,06:40:00,0.04585,0.04975,0.0513,0.04455,0.0562,0.0576,0,0,0,0,0,0
2018-02-19,07:00:00,0.26735,0.27715,0.26755,0.2711,0.28975,0.29985,0,0,0,0,0,0
2018-02-19,07:20:00,0.5828,0.60545,0.5826,0.59985,0.61225,0.62715,0,0,0,0,0,0
2018-02-19,07:40:00,0.95915,0.983,0.9559,0.9769,0.9896,1.0145,0,0,0,0,0,0
2018-02-19,08:00:00,1.42565,1.4502,1.4133,1.4349,1.4496,1.49395,0,0,0,0,0,0
2018-02-19,08:20:00,1.37015,1.3784,1.37,1.38215,1.3878,1.4452,0,0,0,0,0,0
2018-02-19,08:40:00,0.98715,0.98735,0.9847,0.98875,0.9818,1.03205,0,0,0,0,0,0
2018-02-19,09:00:00,1.1954,1.1943,1.1899,1.1954,1.18665,1.2425,0,0,0,0,0,0
2018-02-19,09:20:00,1.371,1.37065,1.36655,1.3685,1.35815,1.42975,0,0,0,0,0,0
2018-02-19,09:40:00,1.72325,1.722,1.7127,1.7198,1.71435,1.80115,0,0,0,0,0,0
2018-02-19,10:00:00,2.1894,2.18025,2.1911,2.19705,2.1816,2.29505,0,0,0,0,0,0
2018-02-19,10:20:00,2.3591,2.3373,2.32765,2.32815,2.3158,2.4371,0,0,0,0,0,0
2018-02-19,10:40:00,2.25935,2.2415,2.23425,2.2361,2.224,2.3412,0,0,0,0,0,0
2018-02-19,11:00:00,2.68645,2.6599,2.6519,2.65415,2.6348,2.7627,0,0,0,0,0,0
2018-02-19,11:20:00,2.7245,2.697,2.6962,2.68775,2.67885,2.81975,0,0,0,0,0,0
2018-02-19,11:40:00,2.6999,2.6709,2.66515,2.6625,2.6503,2.78975,0,0,0,0,0,0
2018-02-19,12:00:00,2.5837,2.5582,2.55995,2.5548,2.5419,2.6789,0,0,0,0,0,0
2018-02-19,12:20:00,2.95285,2.9144,2.92375,2.91615,2.90085,3.04885,0,0,0,0,0,0
2018-02-19,12:40:00,2.7813,2.7457,2.7444,2.7326,2.7215,2.875,0,0,0,0,0,0
2018-02-19,13:00:00,3.82585,3.7774,3.79505,3.7646,3.75725,3.94145,0,0,0,0,0,0
2018-02-19,13:20:00,3.77785,3.7253,3.7581,3.7253,3.7082,3.89915,0,0,0,0,0,0
2018-02-19,13:40:00,3.36655,3.33415,3.33885,3.32855,3.32095,3.47815,0,0,0,0,0,0
2018-02-19,14:00:00,3.3453,3.30445,3.32755,3.30265,3.3002,3.4601,0,0,0,0,0,0
2018-02-19,14:20:00,3.1514,3.1351,3.1447,3.129,3.1359,3.28185,0,0,0,0,0,0
2018-02-19,14:40:00,2.8722,2.8756,2.88725,2.8768,2.89315,3.02375,0,0,0,0,0,0
2018-02-19,15:00:00,2.702,2.66085,2.7114,2.67655,2.67055,2.78715,0,0,0,0,0,0
2018-02-19,15:20:00,2.3457,2.30735,2.3686,2.32885,2.32715,2.42825,0,0,0,0,0,0
2018-02-19,15:40:00,2.00755,1.97315,2.03905,1.99595,1.997,2.0871,0,0,0,0,0,0
2018-02-19,16:00:00,1.607,1.576,1.638,1.59415,1.59615,1.6089,0,0,0,0,0,0
2018-02-19,16:20:00,1.23495,1.21045,1.26745,1.22585,1.1503,0.36875,0,0,0,0,0,0
2018-02-19,16:40:00,0.7712,0.74995,0.77325,0.73675,0.65625,0.30265,0,0,0,0,0,0
2018-02-19,17:00:00,0.42905,0.39185,0.39445,0.30525,0.3319,0.22695,0,0,0,0,0,0
2018-02-19,17:20:00,0.1587,0.14035,0.18085,0.1199,0.1594,0.1324,0,0,0,0,0,0
2018-02-19,17:40:00,0.02465,0.02735,0.03085,0.02,0.0248,0.0277,0,0,0,0,0,0
2018-02-19,18:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,18:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,18:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,19:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,19:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,19:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,20:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,20:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,20:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,21:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,21:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,21:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,22:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,22:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,22:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,23:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,23:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,23:40:00,0,0,0,0,0,0,0,0,0,0,0,0
