﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151416000002PV-5000W-V 1151416000002國姓林月敏一場9.12kW,1151416000003PV-5000W-V 1151416000003國姓林月敏一場
2017-12-22,00:00:00,0,0
2017-12-22,00:20:00,0,0
2017-12-22,00:40:00,0,0
2017-12-22,01:00:00,0,0
2017-12-22,01:20:00,0,0
2017-12-22,01:40:00,0,0
2017-12-22,02:00:00,0,0
2017-12-22,02:20:00,0,0
2017-12-22,02:40:00,0,0
2017-12-22,03:00:00,0,0
2017-12-22,03:20:00,0,0
2017-12-22,03:40:00,0,0
2017-12-22,04:00:00,0,0
2017-12-22,04:20:00,0,0
2017-12-22,04:40:00,0,0
2017-12-22,05:00:00,0,0
2017-12-22,05:20:00,0,0
2017-12-22,05:40:00,0,0
2017-12-22,06:00:00,0,0
2017-12-22,06:20:00,0,0
2017-12-22,06:40:00,0.0168,0.01655
2017-12-22,07:00:00,0.09925,0.09985
2017-12-22,07:20:00,0.22635,0.23495
2017-12-22,07:40:00,0.44565,0.4339
2017-12-22,08:00:00,0.8092,0.6521
2017-12-22,08:20:00,1.0705,0.81735
2017-12-22,08:40:00,1.3243,1.2425
2017-12-22,09:00:00,1.5781,1.6143
2017-12-22,09:20:00,1.79465,1.8466
2017-12-22,09:40:00,1.97445,2.04515
2017-12-22,10:00:00,2.13035,2.151
2017-12-22,10:20:00,2.27175,2.29805
2017-12-22,10:40:00,2.3657,2.45445
2017-12-22,11:00:00,2.4573,2.6129
2017-12-22,11:20:00,2.37645,2.73965
2017-12-22,11:40:00,2.32725,2.80065
2017-12-22,12:00:00,2.5035,2.84585
2017-12-22,12:20:00,2.5192,2.83175
2017-12-22,12:40:00,2.35475,2.78935
2017-12-22,13:00:00,2.15105,2.8236
2017-12-22,13:20:00,2.23145,2.70295
2017-12-22,13:40:00,2.0596,2.5321
2017-12-22,14:00:00,1.93205,2.3855
2017-12-22,14:20:00,1.71965,2.1936
2017-12-22,14:40:00,0.9969,1.96945
2017-12-22,15:00:00,0.43355,1.679
2017-12-22,15:20:00,0.31395,1.3487
2017-12-22,15:40:00,0.298,0.9665
2017-12-22,16:00:00,0.23455,0.63995
2017-12-22,16:20:00,0.13935,0.34705
2017-12-22,16:40:00,0.0815,0.13355
2017-12-22,17:00:00,0.02485,0.02575
2017-12-22,17:20:00,0.016,0.0091
2017-12-22,17:40:00,0.00095,0.00085
2017-12-22,18:00:00,0,0
2017-12-22,18:20:00,0,0
2017-12-22,18:40:00,0,0
2017-12-22,19:00:00,0,0
2017-12-22,19:20:00,0,0
2017-12-22,19:40:00,0,0
2017-12-22,20:00:00,0,0
2017-12-22,20:20:00,0,0
2017-12-22,20:40:00,0,0
2017-12-22,21:00:00,0,0
2017-12-22,21:20:00,0,0
2017-12-22,21:40:00,0,0
2017-12-22,22:00:00,0,0
2017-12-22,22:20:00,0,0
2017-12-22,22:40:00,0,0
2017-12-22,23:00:00,0,0
2017-12-22,23:20:00,0,0
2017-12-22,23:40:00,0,0
