﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10L1442000033PV-4000W-V 10L1442000033內門蔡宗憲,10D1438000336PV-5000W-V 10D1438000336 內門蔡宗憲,10D1431000287PV-5000W-V 10D1431000287內門蔡宗憲
2017-12-28,00:00:00,0,0,0
2017-12-28,00:20:00,0,0,0
2017-12-28,00:40:00,0,0,0
2017-12-28,01:00:00,0,0,0
2017-12-28,01:20:00,0,0,0
2017-12-28,01:40:00,0,0,0
2017-12-28,02:00:00,0,0,0
2017-12-28,02:20:00,0,0,0
2017-12-28,02:40:00,0,0,0
2017-12-28,03:00:00,0,0,0
2017-12-28,03:20:00,0,0,0
2017-12-28,03:40:00,0,0,0
2017-12-28,04:00:00,0,0,0
2017-12-28,04:20:00,0,0,0
2017-12-28,04:40:00,0,0,0
2017-12-28,05:00:00,0,0,0
2017-12-28,05:20:00,0,0,0
2017-12-28,05:40:00,0,0,0
2017-12-28,06:00:00,0,0,0
2017-12-28,06:20:00,0,0,0
2017-12-28,06:40:00,0.0059,0.01075,0.0072
2017-12-28,07:00:00,0.0435,0.0621,0.05025
2017-12-28,07:20:00,0.17245,0.2129,0.2163
2017-12-28,07:40:00,0.3008,0.36075,0.37375
2017-12-28,08:00:00,0.846,1.12605,1.14275
2017-12-28,08:20:00,1.0687,0.9537,1.1019
2017-12-28,08:40:00,0.92415,1.1269,1.1636
2017-12-28,09:00:00,1.5707,1.7109,1.841
2017-12-28,09:20:00,1.3776,1.3238,1.40165
2017-12-28,09:40:00,1.5644,1.5845,1.8258
2017-12-28,10:00:00,1.80845,1.8925,2.0587
2017-12-28,10:20:00,1.3284,1.44715,1.5224
2017-12-28,10:40:00,2.2876,2.66675,2.8252
2017-12-28,11:00:00,2.4803,2.4166,2.69285
2017-12-28,11:20:00,2.1649,2.0499,2.3003
2017-12-28,11:40:00,1.5269,1.8097,1.8171
2017-12-28,12:00:00,2.25335,2.11895,2.4152
2017-12-28,12:20:00,1.5917,1.63775,1.7294
2017-12-28,12:40:00,2.06755,2.2544,2.5304
2017-12-28,13:00:00,2.1339,2.32595,2.44895
2017-12-28,13:20:00,2.4643,2.293,2.58505
2017-12-28,13:40:00,1.62475,1.51005,1.7219
2017-12-28,14:00:00,1.0687,1.0383,1.152
2017-12-28,14:20:00,0.8159,0.8237,0.90915
2017-12-28,14:40:00,0.72165,0.70195,0.78575
2017-12-28,15:00:00,0.523,0.54745,0.5881
2017-12-28,15:20:00,0.45195,0.3922,0.4539
2017-12-28,15:40:00,0.2795,0.28925,0.31115
2017-12-28,16:00:00,0.18685,0.15085,0.173
2017-12-28,16:20:00,0.10535,0.0837,0.0832
2017-12-28,16:40:00,0.03615,0.03,0.025
2017-12-28,17:00:00,0.01495,0.0119,0.01115
2017-12-28,17:20:00,0.0018,0.0111,0.0106
2017-12-28,17:40:00,0,0.0005,0.00105
2017-12-28,18:00:00,0,0,0
2017-12-28,18:20:00,0,0,0
2017-12-28,18:40:00,0,0,0
2017-12-28,19:00:00,0,0,0
2017-12-28,19:20:00,0,0,0
2017-12-28,19:40:00,0,0,0
2017-12-28,20:00:00,0,0,0
2017-12-28,20:20:00,0,0,0
2017-12-28,20:40:00,0,0,0
2017-12-28,21:00:00,0,0,0
2017-12-28,21:20:00,0,0,0
2017-12-28,21:40:00,0,0,0
2017-12-28,22:00:00,0,0,0
2017-12-28,22:20:00,0,0,0
2017-12-28,22:40:00,0,0,0
2017-12-28,23:00:00,0,0,0
2017-12-28,23:20:00,0,0,0
2017-12-28,23:40:00,0,0,0
