﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1638000178PV-5000W-V 10D1638000178胡聰明#1,10D1636000153PV-5000W-V 10D1636000153胡聰明#2
2017-12-01,00:00:00,0,0
2017-12-01,00:20:00,0,0
2017-12-01,00:40:00,0,0
2017-12-01,01:00:00,0,0
2017-12-01,01:20:00,0,0
2017-12-01,01:40:00,0,0
2017-12-01,02:00:00,0,0
2017-12-01,02:20:00,0,0
2017-12-01,02:40:00,0,0
2017-12-01,03:00:00,0,0
2017-12-01,03:20:00,0,0
2017-12-01,03:40:00,0,0
2017-12-01,04:00:00,0,0
2017-12-01,04:20:00,0,0
2017-12-01,04:40:00,0,0
2017-12-01,05:00:00,0,0
2017-12-01,05:20:00,0,0
2017-12-01,05:40:00,0,0
2017-12-01,06:00:00,0,0
2017-12-01,06:20:00,0.00415,0.0046
2017-12-01,06:40:00,0.05155,0.0511
2017-12-01,07:00:00,0.15115,0.157
2017-12-01,07:20:00,0.31685,0.3271
2017-12-01,07:40:00,0.61565,0.6268
2017-12-01,08:00:00,0.92065,0.9425
2017-12-01,08:20:00,1.23935,1.25735
2017-12-01,08:40:00,1.2258,1.23915
2017-12-01,09:00:00,1.84975,1.8694
2017-12-01,09:20:00,1.4482,1.46075
2017-12-01,09:40:00,1.8714,1.88805
2017-12-01,10:00:00,2.45995,2.48545
2017-12-01,10:20:00,2.42845,2.44465
2017-12-01,10:40:00,2.01095,2.0256
2017-12-01,11:00:00,1.71635,1.7285
2017-12-01,11:20:00,1.668,1.68215
2017-12-01,11:40:00,2.31605,2.3425
2017-12-01,12:00:00,2.42015,2.46945
2017-12-01,12:20:00,2.6153,2.64535
2017-12-01,12:40:00,1.66575,1.6981
2017-12-01,13:00:00,1.44075,1.49205
2017-12-01,13:20:00,1.32,1.3274
2017-12-01,13:40:00,1.4296,1.4416
2017-12-01,14:00:00,0.92515,0.93265
2017-12-01,14:20:00,0.88735,0.89525
2017-12-01,14:40:00,0.64555,0.65135
2017-12-01,15:00:00,0.4901,0.49585
2017-12-01,15:20:00,0.2451,0.25075
2017-12-01,15:40:00,0.31785,0.3237
2017-12-01,16:00:00,0.30035,0.3095
2017-12-01,16:20:00,0.08895,0.09285
2017-12-01,16:40:00,0.0104,0.0113
2017-12-01,17:00:00,0,0
2017-12-01,17:20:00,0,0
2017-12-01,17:40:00,0,0
2017-12-01,18:00:00,0,0
2017-12-01,18:20:00,0,0
2017-12-01,18:40:00,0,0
2017-12-01,19:00:00,0,0
2017-12-01,19:20:00,0,0
2017-12-01,19:40:00,0,0
2017-12-01,20:00:00,0,0
2017-12-01,20:20:00,0,0
2017-12-01,20:40:00,0,0
2017-12-01,21:00:00,0,0
2017-12-01,21:20:00,0,0
2017-12-01,21:40:00,0,0
2017-12-01,22:00:00,0,0
2017-12-01,22:20:00,0,0
2017-12-01,22:40:00,0,0
2017-12-01,23:00:00,0,0
2017-12-01,23:20:00,0,0
2017-12-01,23:40:00,0,0
