﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10L1442000033PV-4000W-V 10L1442000033內門蔡宗憲,10D1438000336PV-5000W-V 10D1438000336 內門蔡宗憲,10D1431000287PV-5000W-V 10D1431000287內門蔡宗憲
2017-10-18,00:00:00,0,0,0
2017-10-18,00:20:00,0,0,0
2017-10-18,00:40:00,0,0,0
2017-10-18,01:00:00,0,0,0
2017-10-18,01:20:00,0,0,0
2017-10-18,01:40:00,0,0,0
2017-10-18,02:00:00,0,0,0
2017-10-18,02:20:00,0,0,0
2017-10-18,02:40:00,0,0,0
2017-10-18,03:00:00,0,0,0
2017-10-18,03:20:00,0,0,0
2017-10-18,03:40:00,0,0,0
2017-10-18,04:00:00,0,0,0
2017-10-18,04:20:00,0,0,0
2017-10-18,04:40:00,0,0,0
2017-10-18,05:00:00,0,0,0
2017-10-18,05:20:00,0,0,0
2017-10-18,05:40:00,0,0,0
2017-10-18,06:00:00,0.00865,0.00845,0.01485
2017-10-18,06:20:00,0.0903,0.08715,0.10555
2017-10-18,06:40:00,0.2131,0.21095,0.25645
2017-10-18,07:00:00,0.308,0.30915,0.3599
2017-10-18,07:20:00,0.42405,0.4246,0.49535
2017-10-18,07:40:00,0.41265,0.41285,0.4294
2017-10-18,08:00:00,0.43,0.42915,0.51175
2017-10-18,08:20:00,0.581,0.57905,0.64665
2017-10-18,08:40:00,0.80615,0.8062,1.0092
2017-10-18,09:00:00,1.2893,1.2868,1.63385
2017-10-18,09:20:00,2.30285,2.31185,2.46165
2017-10-18,09:40:00,2.01755,2.0338,2.4943
2017-10-18,10:00:00,2.34715,2.35425,2.2283
2017-10-18,10:20:00,2.55725,2.5762,3.1178
2017-10-18,10:40:00,2.4779,2.48355,2.96205
2017-10-18,11:00:00,1.8517,1.85205,1.92475
2017-10-18,11:20:00,2.9554,2.97505,3.43205
2017-10-18,11:40:00,2.88285,2.88655,3.174
2017-10-18,12:00:00,3.2626,3.3072,3.6771
2017-10-18,12:20:00,3.2099,3.22765,3.38355
2017-10-18,12:40:00,2.0188,2.03025,2.39555
2017-10-18,13:00:00,2.90455,2.92495,3.0774
2017-10-18,13:20:00,2.78685,2.8211,3.2324
2017-10-18,13:40:00,2.5495,2.5696,2.53655
2017-10-18,14:00:00,1.9177,1.94715,2.44125
2017-10-18,14:20:00,2.3987,2.4148,2.6132
2017-10-18,14:40:00,2.0797,2.09235,2.28525
2017-10-18,15:00:00,1.79765,1.8075,1.96305
2017-10-18,15:20:00,1.54985,1.55875,1.66205
2017-10-18,15:40:00,1.21315,1.2198,1.2915
2017-10-18,16:00:00,0.8821,0.88705,0.92445
2017-10-18,16:20:00,0.5647,0.56725,0.5764
2017-10-18,16:40:00,0.3013,0.3008,0.2873
2017-10-18,17:00:00,0.11685,0.1122,0.0916
2017-10-18,17:20:00,0.0187,0.0189,0.01225
2017-10-18,17:40:00,0.0013,0.00955,0.00765
2017-10-18,18:00:00,0,0,0
2017-10-18,18:20:00,0,0,0
2017-10-18,18:40:00,0,0,0
2017-10-18,19:00:00,0,0,0
2017-10-18,19:20:00,0,0,0
2017-10-18,19:40:00,0,0,0
2017-10-18,20:00:00,0,0,0
2017-10-18,20:20:00,0,0,0
2017-10-18,20:40:00,0,0,0
2017-10-18,21:00:00,0,0,0
2017-10-18,21:20:00,0,0,0
2017-10-18,21:40:00,0,0,0
2017-10-18,22:00:00,0,0,0
2017-10-18,22:20:00,0,0,0
2017-10-18,22:40:00,0,0,0
2017-10-18,23:00:00,0,0,0
2017-10-18,23:20:00,0,0,0
2017-10-18,23:40:00,0,0,0
