﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10R1634000104PV-3000N-V 10R1634000104台西海產路#1,10R1634000096PV-3000N-V 10R1634000096台西海產路#2,10R1634000099PV-3000N-V 10R1634000099台西海產路#3,10R1634000079PV-3000N-V 10R1634000079台西海產路#4,10R1631000069PV-3000N-V 10R1631000069台西海產路#5,10R1634000081PV-3000N-V 10R1634000081台西海產路#6
2017-12-21,00:00:00,0,0,0,0,0,0
2017-12-21,00:20:00,0,0,0,0,0,0
2017-12-21,00:40:00,0,0,0,0,0,0
2017-12-21,01:00:00,0,0,0,0,0,0
2017-12-21,01:20:00,0,0,0,0,0,0
2017-12-21,01:40:00,0,0,0,0,0,0
2017-12-21,02:00:00,0,0,0,0,0,0
2017-12-21,02:20:00,0,0,0,0,0,0
2017-12-21,02:40:00,0,0,0,0,0,0
2017-12-21,03:00:00,0,0,0,0,0,0
2017-12-21,03:20:00,0,0,0,0,0,0
2017-12-21,03:40:00,0,0,0,0,0,0
2017-12-21,04:00:00,0,0,0,0,0,0
2017-12-21,04:20:00,0,0,0,0,0,0
2017-12-21,04:40:00,0,0,0,0,0,0
2017-12-21,05:00:00,0,0,0,0,0,0
2017-12-21,05:20:00,0,0,0,0,0,0
2017-12-21,05:40:00,0,0,0,0,0,0
2017-12-21,06:00:00,0,0,0,0,0,0
2017-12-21,06:20:00,0,0,0,0,0,0
2017-12-21,06:40:00,0.00015,5.0E-5,0.00105,0.0008,0.0001,0.00045
2017-12-21,07:00:00,0.02485,0.0221,0.0295,0.0262,0.02115,0.02295
2017-12-21,07:20:00,0.10555,0.0984,0.10575,0.09655,0.08615,0.08755
2017-12-21,07:40:00,0.20595,0.1928,0.15365,0.18375,0.1653,0.1673
2017-12-21,08:00:00,0.3253,0.2992,0.0239,0.2817,0.254,0.25885
2017-12-21,08:20:00,0.41005,0.3772,0.07935,0.3535,0.319,0.32635
2017-12-21,08:40:00,0.6128,0.56795,0.48905,0.53105,0.47875,0.49685
2017-12-21,09:00:00,1.111,1.02185,1.0695,0.96125,0.8667,0.8947
2017-12-21,09:20:00,1.2718,1.16795,1.2309,1.1042,0.9995,1.0344
2017-12-21,09:40:00,1.4143,1.29845,1.3716,1.2296,1.1156,1.1531
2017-12-21,10:00:00,1.54375,1.4147,1.49975,1.3421,1.22005,1.26
2017-12-21,10:20:00,1.65535,1.516,1.61275,1.4409,1.31205,1.35525
2017-12-21,10:40:00,1.73525,1.6027,1.70465,1.52395,1.39035,1.43585
2017-12-21,11:00:00,1.79895,1.6592,1.7672,1.5775,1.4412,1.4879
2017-12-21,11:20:00,1.83505,1.69265,1.8053,1.60925,1.47205,1.52015
2017-12-21,11:40:00,1.866,1.7177,1.83785,1.6341,1.49445,1.542
2017-12-21,12:00:00,1.86975,1.72345,1.8384,1.6383,1.49895,1.5468
2017-12-21,12:20:00,1.8424,1.69655,1.81105,1.6121,1.47525,1.5226
2017-12-21,12:40:00,1.81125,1.66865,1.7792,1.5845,1.44975,1.4967
2017-12-21,13:00:00,1.7495,1.6132,1.7132,1.52885,1.39825,1.4442
2017-12-21,13:20:00,1.681,1.5483,1.6444,1.4672,1.3403,1.38565
2017-12-21,13:40:00,1.57925,1.45455,1.5406,1.3753,1.2559,1.29945
2017-12-21,14:00:00,1.47385,1.35625,1.4321,1.2799,1.1664,1.20815
2017-12-21,14:20:00,1.3173,1.2113,1.2766,1.14145,1.0389,1.07785
2017-12-21,14:40:00,1.1615,1.07145,1.11795,1.0046,0.91005,0.94765
2017-12-21,15:00:00,1.0195,0.93945,0.676,0.8771,0.79595,0.82945
2017-12-21,15:20:00,0.8374,0.7714,0.39245,0.71685,0.65205,0.68005
2017-12-21,15:40:00,0.65215,0.59625,0.6104,0.55035,0.50115,0.52295
2017-12-21,16:00:00,0.45435,0.40785,0.2591,0.3738,0.3484,0.36325
2017-12-21,16:20:00,0.26265,0.2093,0.06015,0.1964,0.18725,0.21215
2017-12-21,16:40:00,0.09515,0.08545,0.08565,0.0742,0.074,0.08375
2017-12-21,17:00:00,0.00685,0.0061,0.00965,0.0082,0.00625,0.0074
2017-12-21,17:20:00,0,0,0.0001,0,0,0
2017-12-21,17:40:00,0,0,0,0,0,0
2017-12-21,18:00:00,0,0,0,0,0,0
2017-12-21,18:20:00,0,0,0,0,0,0
2017-12-21,18:40:00,0,0,0,0,0,0
2017-12-21,19:00:00,0,0,0,0,0,0
2017-12-21,19:20:00,0,0,0,0,0,0
2017-12-21,19:40:00,0,0,0,0,0,0
2017-12-21,20:00:00,0,0,0,0,0,0
2017-12-21,20:20:00,0,0,0,0,0,0
2017-12-21,20:40:00,0,0,0,0,0,0
2017-12-21,21:00:00,0,0,0,0,0,0
2017-12-21,21:20:00,0,0,0,0,0,0
2017-12-21,21:40:00,0,0,0,0,0,0
2017-12-21,22:00:00,0,0,0,0,0,0
2017-12-21,22:20:00,0,0,0,0,0,0
2017-12-21,22:40:00,0,0,0,0,0,0
2017-12-21,23:00:00,0,0,0,0,0,0
2017-12-21,23:20:00,0,0,0,0,0,0
2017-12-21,23:40:00,0,0,0,0,0,0
